"clave_original","bloque_original","disposición_final","resultado_documentado","evidencia_principal","destino_canónico","prioridad_final","desencadenante","delta_auditoria_2026_08_08","huella_inicial_sha256"
"BN-001","15.1","CONSERVADA_REFORMULADA","Existe defensa conceptual posterior a 2020 y señal planctomicetotal temprana; no prueba la variante neomurana planctobacteriana completa.","Devos 2021, 10.1093/molbev/msab186; Bernabeu et al. 2026, 10.1038/s41586-026-10639-9.","BN-001 estrechada a prueba primaria discriminante de la hipótesis completa.","P2","Fuente posterior al corte que satisfaga el blanco literal; vigilancia condicionada sin búsqueda intensiva en ausencia del desencadenante.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; CAMBIO_CANONICO_DOCUMENTADO; campos=filas relacionadas; inicial_sha256=3344b27b88ffdf78fbe08f11f5b24c81051b3e302d94738507995507bd561b31; final_sha256=128c2ea25d4d1f0cfe1651cf216bb720d26b5380819adf2ee81e050e2f87b384","4516456bcfc95dda301c5eef8abd266620109e333b53b4b7a6ee6bfc0a6ad11d"
"BN-002","15.1","CONSERVADA_REFORMULADA","La función celular nativa de tubulinas Asgard está demostrada en Lokiarchaeia, no la localización y función de OdinTubulin en Odinarchaeota.","Akıl et al. 2022, S43; Wollweber et al. 2025, 10.1016/j.cell.2025.02.027.","BN-002 conserva solo el residual específico de Odinarchaeota.","P0","Nueva evidencia primaria que pueda resolver o reformular el blanco literal.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; CAMBIO_CANONICO_DOCUMENTADO; campos=filas relacionadas; inicial_sha256=25a8a92cf2c81be345ec0ebbe70863d86853766294762a464542ca2c9bb26f1e; final_sha256=e143f2b795dcc0da5db22044a6b0f10cc22c386bbf0cbfd02aaaeb852ed20583","de37e89002faf5338411f681999790cc6a9449b71b106653c96d3c54d0dc4816"
"BN-003","15.1","CONSERVADA_REFORMULADA","Hay filogenia, bioquímica y función heteróloga de Arf/GTPasas Asgard y vesículas nativas; falta colocalización y perturbación causal en la misma célula Asgard.","Tran et al. 2024, S44; Vargová 2025; Zhu 2025; MacLeod 2025 preprint.","BN-003 convertida en escalera probatoria con residual causal nativo.","P0","Nueva evidencia primaria que pueda resolver o reformular el blanco literal.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; CAMBIO_CANONICO_DOCUMENTADO; campos=filas relacionadas; inicial_sha256=4ef6616de17c2cc8ccd8404eb6b1b7c29bfb1985eca141fee7ad57be8d7ab3dc; final_sha256=bd4631d942ca85f9ba49c1f7b05869de606f1bc52ae018cd282ded32f7f85b25","0f4380823d52bbfb5f1bf640f29b9dc454c886d863c56c2419113a4e231eec1d"
"BN-004","15.1","CONSERVADA_REFORMULADA","Varias clases Asgard ya tienen MAG, procedencia y rutas inferidas, pero la cobertura y circunscripción no son uniformes y Shennonarchaeia sigue sin ficha primaria suficiente.","Fuentes clase por clase auditadas en el informe filogenético; SeqCode solo acredita el nombre.","BN-004 separada por clase, sin tratar ausencia registral como ausencia biológica.","P0","Nueva evidencia primaria que pueda resolver o reformular el blanco literal.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; CAMBIO_CANONICO_DOCUMENTADO; campos=filas relacionadas; inicial_sha256=39dd73ca265b998bf8cf730b16f8ca2a9b2daa50226563def06eb4569e6b1cb0; final_sha256=bc977e5efb93810e8bbffe4a11656e69a1027b32b9dc924c35a0ff16013e6ada","f8bbab32cb97ae10522ea81512b1fb09762238997a92f2f07b3cb6cbd70e84b8"
"BN-005","15.1","CONSERVADA_CONFIRMADA","Ninguna familia alfaproteobacteriana extante muestreada es hermana inequívoca de las mitocondrias.","S46–S49 recuperan topologías o criterios incompatibles.","BN-005 conservada como incertidumbre topológica fechada.","P1","Nuevo protocolo o dataset comparable, o una síntesis causal pertinente.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; CAMBIO_CANONICO_DOCUMENTADO; campos=filas relacionadas; inicial_sha256=e676e79475ae936f9a50bf1de6eb2805abcdf471c7003cd554b5d4c1e8325bbd; final_sha256=57286d864fc0d951c60a08b88a336319779ca8badc296c85f8756708dcbafbda","cda76ebf3a01a890ac67467b56bed71eef9e7f5a9c0cca284aca8b266b20ea27"
"BN-006","15.1","CONSERVADA_CONFIRMADA","Los cultivos Asgard localizados son cocultivos o enriquecimientos, no axénicos.","Promethearchaeum, Lokiarchaeum y Nerearchaeum mantienen socios o enriquecimiento incompleto.","BN-006 conserva fecha de corte y distingue cultivo puro de axenia.","P0","Nueva evidencia primaria que pueda resolver o reformular el blanco literal.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; CAMBIO_CANONICO_DOCUMENTADO; campos=filas relacionadas; inicial_sha256=7c805d9c11ddac500aef93cff553cb50b56d2dda16a885f68ed28fcd467c332f; final_sha256=7b71e940e08b8babc014c3fb1ef0200bc92fd4841c9b14e77a56ac087af7c272","1e4b11ab3aa7e265c6426c1d3544dd20c22b8aa5f1336a8b7a7a24003b3d2f7b"
"BN-007","15.1","CONSERVADA_REFORMULADA","Existe una ruta cuantitativa físicamente plausible de fusión heteroquiral, pero no evidencia que la seleccione como ruta histórica única.","Mascotti et al. 2025, 10.1021/acs.jpcb.5c05957; S16, S17 y S21.","BN-007 estrechada a poder discriminante histórico.","P2","Fuente posterior al corte que satisfaga el blanco literal; vigilancia condicionada sin búsqueda intensiva en ausencia del desencadenante.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; CAMBIO_CANONICO_DOCUMENTADO; campos=filas relacionadas; inicial_sha256=c7108b26c159fe107448c67168e16c4dbb10062c6ee66480c496e6b00f8469c0; final_sha256=8b134873f06b6b0d711880461d3c1b87c2567f506e8a3020547c601067453414","35e51b28f9260024c0821b0c199203285b2bc062f910ac696b711fd46b787304"
"BN-010","15.2","RETIRADA_RESUELTA","LBCA y LACA tienen introducción explícita localizada en Wächtershäuser; FECA en Makarova et al.","Wächtershäuser 2003, 10.1046/j.1365-2958.2003.03267.x; S51.","Prioridades acotadas integradas en C-155 y C-401.","RETIRADA","Solo reabrir si cambia la disposición histórica o aparece evidencia que invalida el cierre documentado.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_FILA_CANONICA_EN_AMBOS_CORTES","03a125d06a061839c10bacb7b6858df6ba53fadd11dc65441dc45e55bc9829d9"
"BN-011","15.2","CONSERVADA_CONFIRMADA","FECA y LECA son nodos reconstruidos; toda duración publicada depende de reloj, calibraciones, topología y priors.","S56; Kay et al. 2026, S58.","BN-011 reformulada como límite de observabilidad, no fallo de buscador.","P2","Fuente posterior al corte que satisfaga el blanco literal; vigilancia condicionada sin búsqueda intensiva en ausencia del desencadenante.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; CAMBIO_CANONICO_DOCUMENTADO; campos=filas o fuente; inicial_sha256=41265cdf8989d1fb5aa4817b36a6ab227ea244b667e37bfbfb4dc18c2b288fb3; final_sha256=e844369aee5beb228c9ab1c72e493f86b3a28b2118c1ba27e57ff95c0a9ab2f7","b08820200a801c2118c50fa73770b121eeaf45ee603b03f31d75c1edba562a38"
"BN-012","15.2","RETIRADA_DUPLICADA_FUSIONADA","El coste ancestral de envoltura nuclear es un componente del presupuesto de núcleo completo ya controlado.","S307 y C-1177; mismo objeto cuantitativo que BN-049.","Fusionada en BN-049 con componentes separados.","RETIRADA","Solo reabrir si cambia la disposición histórica o aparece evidencia que invalida el cierre documentado.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_FILA_CANONICA_EN_AMBOS_CORTES","49a0619ec7729a6e434727d6f1a7c55db6b9417aff198abb5a18ba770f22c94c"
