"caso","hospedador","socio","qué aporta","antigüedad estimada","transmisión","genoma o reducción","EGT o importación","estado","filas"
"*Lenisia limosa*–*Arcobacter*","*Lenisia limosa*","*Arcobacter* epibionte","Consumo de H₂/equivalentes reductores; N₂O como aceptor.","n/a","No hay transmisión vertical demostrada","n/a","n/a","sintrofía externa funcional","C-986; C-993–C-1006"
"ANME–SRB","arquea ANME","bacteria reductora de sulfato","Transferencia de electrones; acoplamiento de oxidación de metano y reducción de sulfato.","n/a","No hereditaria conjunta","n/a","n/a","consorcio extracelular","C-1007–C-1013"
"*Pelomyxa*–metanógenos","*Pelomyxa*","arqueas metanógenas y otros procariotas","Consumo de H₂ mediante metanogénesis hidrogenotrófica.","n/a","n/a","n/a","n/a","endosimbiosis metabólica","C-1014–C-1021"
"ciliados anaerobios–metanógenos","ciliados anaerobios","arqueas metanógenas","n/a","orígenes múltiples","Vertical o mixta según el linaje estudiado","n/a","n/a","adquisición múltiple y transmisión mixta","C-1022–C-1027"
"*Angomonas deanei*–*Kinetoplastibacterium*","*Angomonas deanei*","*Candidatus Kinetoplastibacterium*","División controlada por proteínas del hospedador.","n/a","División sincronizada con el ciclo celular del hospedador","aprox. 0,8 Mb","EGT de OCD al núcleo; ETP9 nuclear controla la división","dependencia integrada con división controlada por el hospedador","C-1028–C-1035"
"*Paramoeba*–*Perkinsela*","*Paramoeba*","*Perkinsela*","Complementación metabólica; ingestión de citoplasma del hospedador.","n/a","n/a","núcleo aprox. 9,5 Mb; mitocondria conserva 6 genes proteicos","Interdependencia metabólica sin fusión genómica completa","endosimbiosis eucariota obligada","C-1036–C-1042"
"*Paulinella chromatophora*–cromatóforo","*Paulinella chromatophora*","cianobacteria del linaje del cromatóforo","Endosimbiosis fotosintética; EGT, HGT compensatoria e importación de proteínas.","90–140 Ma","Vertical","1,02 Mb; 867 proteínas","EGT 0,3–0,8 % inicial; importación masiva","integración funcional con transmisión vertical","C-1043–C-1053"
"*Braarudosphaera bigelowii*–UCYN-A","*Braarudosphaera bigelowii*","UCYN-A / nitroplasto","Fijación de N₂ por nitrógeno reducido; carbono desde el hospedador.","asociación ancestral inferida hacia el Cretácico tardío a partir de divergencia UCYN-A1/A2 de aprox. 91 Ma; no es fecha directa de captura","División coordinada con el ciclo celular del hospedador","n/a","Importación de proteínas nucleares","orgánulo fijador de nitrógeno propuesto","C-1054–C-1061; C-1638–C-1639; S455"
"*Hatena arenicola*–*Nephroselmis*","*Hatena arenicola*","*Nephroselmis*","Remodelación intracelular del simbionte capturado.","n/a","Vertical incompleta; readquisición horizontal","n/a","30 posibles candidatos de EGT en informe de proyecto; sin localización y validación funcional publicadas (BN-040)","asociación reversible por linaje celular","C-1062–C-1067; C-1071; S511"
"*Rhopalodia*/*Epithemia*–cuerpo esferoidal","*Rhopalodia gibba* y *Epithemia turgida*","cuerpo esferoidal cianobacteriano no fotosintético","Fijación de nitrógeno con pérdida de fotosíntesis.","aprox. 12 Ma para el origen único inferido de Rhopalodiaceae muestreadas","n/a","Genoma cianobacteriano reducido y no fotosintético","n/a","cuerpo esferoidal con genoma reducido especializado en fijación de nitrógeno","C-1068–C-1070; C-1637"
"*Mesodinium rubrum*–criptófita","*Mesodinium rubrum*","criptófita ingerida","Plastos, mitocondrias, nucleomorfos y núcleos secuestrados.","n/a","Reposición por alimentación periódica","Orgánulos y núcleo retenidos con dinámica dependiente de alimentación","n/a","adquisición trófica de orgánulos y núcleo criptófitos","C-1072–C-1074"
"*Dinophysis*–plastos criptófitos","*Dinophysis*","plastos obtenidos vía *Mesodinium*","Función fotosintética con fotoaclimatación limitada.","n/a","Adquisición trófica vía *Mesodinium*","n/a","n/a","retención selectiva principalmente de plastos","C-1075–C-1077"
"*Elysia*/*Plakobranchus*–plastos","*Elysia chlorotica* y *Plakobranchus ocellatus*","plastos de algas","función fotosintética temporal","n/a","Adquisición alimentaria sin transferencia hereditaria de genes nucleares","n/a","Sin HGT nuclear extensa demostrada en los genomas examinados","adquisición fenotípica no genética","C-1078–C-1081"
"criptófitos/cloraracniófitos–nucleomorfo","criptófitos y cloraracniófitos","núcleo de alga roja o verde incorporada","Genomas nucleomórficos reducidos retenidos.","n/a","n/a","373 kb/331 genes en *Bigelowiella*; 551 kb en *Guillardia*","n/a","dos orígenes endosimbióticos eucariotas independientes","C-990; C-1082–C-1087"
"dinotomos–endosimbionte diatomeo","*Durinskia baltica* o *Kryptoperidinium foliaceum*","diatomea terciaria intracelular","Compartimentos eucariotas retenidos, incluidas mitocondrias.","n/a","n/a","mitocondrias endosimbiontes: 34.242/34.742 bp y 58/59 genes","9 candidatos EGT en dinotomos","endosimbiosis terciaria obligada con núcleo retenido","C-1206–C-1212"
"kareniáceos–plasto haptófito","*Karlodinium veneficum* y Kareniaceae","plasto terciario derivado de haptófita","Plasto terciario de origen haptófito; EGT candidata.","n/a","n/a","142.981 bp en *K. veneficum*; 70 proteínas, 30 ARNt, 3 ARNr","90 candidatos EGT en kareniáceos","origen haptófito; una o varias adquisiciones no resueltas","C-1211; C-1213–C-1214"
"*Tremblaya*–*Moranella*–piojo harinoso","piojo harinoso; *Tremblaya* como hospedador interno","*Tremblaya* y *Moranella*","Rutas metabólicas tripartitas y genes bacterianos en insecto.","n/a","Reemplazos históricos del endosimbionte interno en distintos linajes","138.927 bp y 538.294 bp","HGT bacteriana al insecto","dependencia anidada con reemplazo","C-1089–C-1095"
"áfido–*Buchnera aphidicola*","áfido","*Buchnera aphidicola*","Aminoácidos esenciales.","80–150 Ma para divergencia de cepas comparadas","Vertical materna","640.681 bp en APS; rango moderno 412–646 kb","n/a","dependencia obligada","C-1096–C-1102"
"hospedadores–*Wolbachia*","artrópodos y nematodos según caso","*Wolbachia*","Manipulación reproductiva o aporte mutualista.","n/a","Materna y horizontal entre hospedadores","Variable; hasta 10 % de elementos de inserción en algunos genomas","n/a","parasitismo, mutualismo facultativo u obligado","C-1103–C-1107"
