"modelo A","modelo B","relación","punto exacto","observación que los distinguiría","fila"
"H12 hipótesis del hidrógeno","H13 hipótesis sintrófica revisada","parcialmente compatibles","Comparten sintrofía anaerobia, pero H12 usa hospedador arqueano y flujo alfa→arquea; H13 revisada usa hospedador bacteriano y montaje tripartito.","Una filogenia celular que identificara inequívocamente qué membrana ancestral envolvió a las demás y una reconstrucción metabólica del hospedador distinguirían los montajes.","C-358"
"H12 hipótesis del hidrógeno","H14 modelo inside-out","parcialmente compatibles","H12 especifica metabolismo; H14 especifica geometría. Chocan solo si H12 exige internalización directa incompatible con ectosimbiosis prolongada.","Homologías de orientación de membranas y evidencia de asociación alfa extracelular anterior a la internalización discriminarían la geometría sin alterar el flujo de H₂.","C-359"
"H12 hipótesis del hidrógeno","H15 modelo autógeno fagotrófico","mutuamente excluyentes","H12 requiere mitocondria antes de fagocitosis compleja; H15 requiere fagocitosis y núcleo antes de mitocondria.","Una cronología robusta que coloque fagocitosis funcional antes o después de mFECA distinguiría el orden.","C-360"
"H12 hipótesis del hidrógeno","H16 modelo de flujo inverso","parcialmente compatibles","Ambas usan sintrofía anaerobia y hospedador arqueano, pero postulan direcciones opuestas del flujo reductor.","La reconstrucción segura del metabolismo del hospedador y del simbionte ancestral distinguiría quién producía y quién consumía H₂ o equivalentes reductores.","C-361"
"H12 hipótesis del hidrógeno","H17 modelo E3","parcialmente compatibles","H12 aporta el intercambio metabólico; E3 aporta la geometría de internalización. Son compatibles si el socio productor de H₂ es el bacteriano entrelazado.","La identificación del metabolismo del socio entrelazado y del hospedador establecería si E3 puede implementar el flujo de H12.","C-362"
"H12 hipótesis del hidrógeno","H18 hipótesis de invasión de intrones","compatibles","H12 explica la asociación mitocondrial y H18 una consecuencia nuclear posterior de intrones transferidos por el endosimbionte.","El orden intrones→envoltura puede evaluarse sin cambiar el montaje metabólico de H12.","C-363"
"H12 hipótesis del hidrógeno","H19 hipótesis viral del núcleo","compatibles","H12 no excluye una contribución viral adicional al núcleo, siempre que el virus no sustituya al hospedador arqueano ni al endosimbionte.","Filogenias de genes nucleares podrían distinguir contribución viral parcial de origen completo del compartimento.","C-364"
"H12 hipótesis del hidrógeno","H20 hipótesis autógena de invaginación nuclear","compatibles","H12 especifica metabolismo y H20 geometría nuclear autógena; pueden ocurrir en etapas distintas.","El orden relativo de invaginación nuclear e integración mitocondrial distinguiría variantes, no la compatibilidad básica.","C-365"
"H12 hipótesis del hidrógeno","H21 submodelo nuclear inside-out","parcialmente compatibles","H12 y H21 comparten hospedador arqueano, pero H21 exige una topología exteriorizada que H12 no especifica.","La orientación homóloga de membranas del núcleo, retículo y plasma decidiría si el montaje H12 puede insertarse en H21.","C-366"
"H12 hipótesis del hidrógeno","H22 hipótesis del protocoatómero","compatibles","H22 explica la ascendencia de maquinaria de membrana y no fija metabolismo ni orden mitocondrial.","La homología del protocoatómero puede probarse independientemente del flujo de H₂.","C-367"
"H13 hipótesis sintrófica revisada","H14 modelo inside-out","parcialmente compatibles","H13 revisada asigna el hospedador envolvente a una bacteria sulfatorreductora; H14 asigna el cuerpo ancestral al asgard.","La procedencia de membranas nucleares, citoplasmáticas y plasmáticas distinguiría qué participante fue el compartimento envolvente.","C-368"
"H13 hipótesis sintrófica revisada","H15 modelo autógeno fagotrófico","mutuamente excluyentes","H13 inicia con un consorcio procariótico y no con un protoeucariota fagocítico; H15 requiere fagocitosis premitocondrial.","Una fagocitosis funcional inequívocamente anterior a la asociación tripartita excluiría H13 en su forma estricta.","C-369"
"H13 hipótesis sintrófica revisada","H16 modelo de flujo inverso","parcialmente compatibles","Ambas usan sintrofía y un asgard que puede producir equivalentes reductores, pero difieren en hospedador y número de socios.","La identidad del compartimento hospedador y la necesidad de una bacteria sulfatorreductora distinguirían los modelos.","C-370"
"H13 hipótesis sintrófica revisada","H17 modelo E3","parcialmente compatibles","E3 puede proporcionar un mecanismo de internalización dentro de un consorcio, pero H13 asigna el hospedador principal a una bacteria y E3 a Asgard.","La topología de membranas y el papel celular de la bacteria sulfatorreductora discriminarían la combinación.","C-371"
"H13 hipótesis sintrófica revisada","H18 hipótesis de invasión de intrones","compatibles","La sintrofía revisada puede preceder a una invasión de intrones desde el progenitor mitocondrial.","El donante de intrones y su fecha relativa pueden evaluarse dentro del montaje H13.","C-372"
"H13 hipótesis sintrófica revisada","H19 hipótesis viral del núcleo","compatibles","H13 no excluye aportes virales parciales durante o después de la integración.","La dirección de homologías virales no afecta por sí sola el montaje metabólico tripartito.","C-373"
"H13 hipótesis sintrófica revisada","H20 hipótesis autógena de invaginación nuclear","compatibles","H13 especifica participantes y ecología; H20 puede explicar una invaginación nuclear posterior.","La procedencia bacteriana o arqueana de la membrana que se invagina distinguiría variantes internas.","C-374"
"H13 hipótesis sintrófica revisada","H21 submodelo nuclear inside-out","mutuamente excluyentes","H13 revisada coloca al asgard dentro de un hospedador bacteriano; H21 requiere que el cuerpo asgard ancestral sea el núcleo y origen topológico central.","Una asignación inequívoca de la membrana nuclear ancestral a Asgard o a la bacteria resolvería el choque.","C-375"
"H13 hipótesis sintrófica revisada","H22 hipótesis del protocoatómero","compatibles","La homología de coatómeros y poros puede evolucionar dentro de un montaje tripartito.","Las relaciones estructurales de H22 no fijan la identidad del hospedador de H13.","C-376"
"H14 modelo inside-out","H15 modelo autógeno fagotrófico","parcialmente compatibles","Ambas permiten complejidad premitocondrial, pero H14 internaliza por protrusiones alrededor de ectosimbiontes y H15 por fagocitosis.","Evidencia del mecanismo de internalización y del estado de fagocitosis premitocondrial distinguiría las variantes.","C-377"
"H14 modelo inside-out","H16 modelo de flujo inverso","compatibles","H16 especifica flujo metabólico arquea→bacteria y H14 puede alojar esa asociación como ectosimbiosis entre protrusiones.","La geometría y el metabolismo son predicciones independientes salvo que el flujo requiera una posición imposible.","C-378"
"H14 modelo inside-out","H17 modelo E3","parcialmente compatibles","Ambas usan protrusiones asgard y evitan fagocitosis moderna; H14 deriva citoplasma y retículo de blebs, E3 enfatiza entrelazamiento y engullimiento.","La homología de los espacios interprotrusión y el mecanismo de cierre de membranas distinguirían los modelos.","C-379"
