"clase","caso","valor publicado","unidad","condiciones, método o límites","interpretación permitida","filas"
"división celular","Dictyostelium discoideum NC4","poco menos de 4","—","22 °C; SorMC; Klebsiella como alimento","—","C-1617"
"orden relativo de crecimiento","D. discoideum NC4 frente a AX2","aproximadamente dos veces más rápido","—","NC4 con bacterias frente a AX2 en HL5 axénico","—","C-1618"
"división celular","Choanoeca flexa","aproximadamente 8–10","—","—","—","C-1498"
"división nuclear","Sphaeroforma arctica","aproximadamente 11–12","—","12 °C; marine broth Difco 37.4 g/L","—","C-1508; C-1668"
"división celular","Apusomonadida; Thecamonas trahens y Hexatilemonas jangsaensis como casos recuperados","NO LOCALIZADO EN ESTA SESIÓN","n/a","ATCC: 18–25 °C y repique quincenal para Thecamonas; Hexatilemonas en cultivo estable sin curva de crecimiento","mantenimiento o repique no equivalen a tiempo de generación","C-1619; C-1669–C-1670; BN-108"
"tallo reconstruido","nFECA–LECA","aproximadamente 1.1","Gyr; mediana","—","duración inferida del tallo nuclear","C-196"
"tallo reconstruido","mFECA–LECA","aproximadamente 0.6","Gyr; mediana","—","duración inferida del tallo mitocondrial","C-197"
"intervalo geológico","«aburrido millardo»","aproximadamente 1.8–0.8","Ga","—","—","C-821"
"glaciación","Sturtiana","aproximadamente 717–659","Ma","—","—","C-823"
"glaciación","Marinoana","inicio después de ~659 y antes de ~639; final 635.2 ± 0.6","Ma","sucesiones distintas; U–Pb para el final","inicio menos constreñido que final","C-824–C-825"
"cambio redox de cuenca","OAE2, Tarfaya","~70 inicio; ~90 pico; ~200 meseta; ~440 recuperación","kyr","—","—","C-1631–C-1632"
"cambio redox de cuenca","OAE1a, La Bédoule","~390 inicio; ~600 pico; ~1.340 meseta; ~380 recuperación","kyr","—","—","C-1633–C-1635"
