"clave","tipo","participantes con su papel","entidad resultante si la hay","intervalo temporal","# de las filas que lo sostienen","qué fuente lo describe como evento","desenlace"
"E01","divergencia","Archaea sensu inclusivo (población parental); Eukaryota (linaje resultante); otros linajes asgard (linaje resultante)","Eukaryota y ramas asgard hermanas","intervalo no fechado en esta parte","C-021; C-043–C-044","S10 figs. 1–3; S25 fig. 1; S26 fig. 3","no determinado"
"E02","endosimbiosis","linaje hospedador arqueano no identificado (hospedador); simbionte alfaproteobacteriano ancestral no muestreado (endosimbionte)","linaje eucariota con mitocondria ancestral","tallo eucariota; intervalo no tratado en esta parte","C-149; C-161","S45, S46, S47, S48 tesis general","integración heredable"
"E03","transferencia génica endosimbiótica","simbionte alfaproteobacteriano ancestral no muestreado (donante); linaje hospedador arqueano no identificado (receptor)","genoma eucariota quimérico","tallo eucariota; intervalo no tratado en esta parte","C-068–C-078","S18, S19, S20, S21","integración heredable"
"E04","adquisición de rasgo","Escherichia coli experimental (receptor); genes de biosíntesis lipídica arqueana (donante)","membrana heteroquiral experimental","experimento publicado en 2018","C-058–C-060","S16 Results; figs. 2–5","transitoria"
"E05","asociación no heredable","Promethearchaeum syntrophicum (simbionte extracelular); metanógeno o socio consumidor (simbionte extracelular)","cocultivo sintrofo estable","actual; crecimiento completo aproximado de tres meses","C-092; C-095; C-098","S34 Results; S35 fisiología","dependencia"
"E06","asociación no heredable","Nerearchaeum marumarumayae (simbionte extracelular); Stromatodesulfovibrio nilemahensis (simbionte extracelular)","enriquecimiento conjunto","actual; duración no localizada","C-108–C-110","S38 resumen; fig. 1","dependencia"
"E07","adquisición de rasgo","Lokiarchaeum ossiferum (linaje resultante)","red celular de filamentos de actina arqueana","origen evolutivo no fechado; observación actual","C-104; C-133","S36 figs. 3–4","no determinado"
"E08","divergencia","población LUCA reconstruida (población parental); población LBCA reconstruida (linaje resultante); población LACA reconstruida (linaje resultante)","Bacteria y Archaea vivientes","antes de los intervalos tratados; fecha no reconstruida aquí","C-179; C-180; C-181","S55 fig. 1; S51 fig. 1","no determinado"
"E09","divergencia","último ancestro común Eukaryota–Asgard (población parental); población FECA nuclear no muestreada (linaje resultante)","tallo nuclear eucariota","nFECA 3.05–2.79 Ga en S58","C-184; C-193","S56 líneas 318–321; S58 fig. 1","no determinado"
"E10","divergencia","último ancestro común mitocondria–Alphaproteobacteria (población parental); población FMCA no muestreada (linaje resultante)","tallo mitocondrial","mFECA 2.37–2.13 Ga en S58","C-186; C-194","S56 línea 319; S58 fig. 1","no determinado"
