"#","Afirmación","Sujeto","Predicado","Objeto","Atribución","Fuente","Aceptación","Fuerza","Motivo","Resolución","Vigencia"
"C-1617","La cepa silvestre NC4 de Dictyostelium discoideum duplicó su población en poco menos de 4 h a 22 °C en SorMC con Klebsiella como alimento.","Dictyostelium discoideum NC4","tiene_valor_medido","tiempo de duplicación inferior a 4 h a 22 °C en SorMC con Klebsiella","expresa","S447 §Growth of wild type cells; fig. 1B","no evaluado","alta","El valor y las condiciones de cultivo están declarados por el experimento.","resuelta","vigente"
"C-1618","En el mismo estudio, NC4 alimentada con bacterias creció aproximadamente dos veces más rápido que AX2 en medio axénico HL5.","crecimiento de Dictyostelium discoideum","tiene_orden_relativo*","NC4 con bacterias más rápido que AX2 axénica","expresa","S447 §Growth of wild type cells; fig. 1B","no evaluado","alta","La comparación se realizó en el mismo trabajo, pero cambia cepa y medio.","resuelta","vigente"
"C-1619","No se localizó una tasa de división o tiempo de generación publicado para un apusomonádido bajo condiciones cuantificadas.","Apusomonadida","tiene_valor_medido","NO LOCALIZADO EN ESTA SESIÓN","glosa","BN-108","no evaluado","desconocida","La ficha de Thecamonas informa mantenimiento y repique, y el estudio de Hexatilemonas describe cultivo y alimentación, pero ninguno publica una curva de crecimiento con tasa comparable.","información insuficiente","vigente"
"C-1620","Los tiempos de duplicación de protistas no son constantes de la especie porque dependen de cepa, temperatura, salinidad, alimento, medio y fase de crecimiento.","tiempo de duplicación de protistas","depende_de*","cepa y condiciones de cultivo","sintesis(C-1617, C-1618, C-1498, C-1508)","S447; S424; S207","consenso amplio","alta","Los valores comparados proceden de condiciones experimentales distintas.","resuelta","vigente"
"C-1621","Saxer et al. estimaron para el ADN nuclear de Dictyostelium discoideum una tasa de 2.9 × 10^-11 mutaciones por sitio y generación celular.","ADN nuclear de Dictyostelium discoideum","tiene_valor_medido","2.9 × 10^-11 mutaciones por sitio y generación celular","expresa","S448 resumen; §Nuclear mutations","no evaluado","media","La estimación se basó en una sola mutación nuclear detectada y tiene un intervalo de confianza amplio.","parcialmente resuelta","vigente"
"C-1622","El intervalo de confianza de Poisson para la tasa nuclear de Dictyostelium discoideum fue 7.4 × 10^-13–1.6 × 10^-10 por sitio y generación celular.","tasa nuclear de Dictyostelium discoideum","tiene_incertidumbre*","7.4 × 10^-13–1.6 × 10^-10 por sitio y generación celular","expresa","S448 resumen; §Nuclear mutations","no evaluado","alta","El intervalo fue publicado junto con el estimador.","resuelta","vigente"
"C-1623","Saxer et al. estimaron para el ADN mitocondrial de Dictyostelium discoideum 6.76 × 10^-9 mutaciones por nucleótido y generación.","ADN mitocondrial de Dictyostelium discoideum","tiene_valor_medido","6.76 × 10^-9 mutaciones por nucleótido y generación","expresa","S448 resumen; §Mitochondrial mutations","no evaluado","alta","La estimación se basó en 19 mutaciones y publicó un intervalo de Poisson de 4.1 × 10^-9–9.5 × 10^-9.","resuelta","vigente"
"C-1624","Sung et al. estimaron para el genoma germinal de Paramecium tetraurelia 1.94 ± 0.36 × 10^-11 sustituciones de base por sitio y división celular.","genoma germinal de Paramecium tetraurelia","tiene_valor_medido","1.94 ± 0.36 × 10^-11 sustituciones por sitio y división celular","expresa","S449 Results; tabla 1","no evaluado","alta","Se secuenciaron siete líneas tras aproximadamente 3.300 divisiones y se detectaron 29 sustituciones.","resuelta","vigente"
"C-1625","Long et al. estimaron para el genoma germinal de Tetrahymena thermophila 7.61 × 10^-12 sustituciones de base por sitio y división asexual.","genoma germinal de Tetrahymena thermophila","tiene_valor_medido","7.61 × 10^-12 sustituciones por sitio y división asexual","expresa","S450 resumen; §Mutation Rate","no evaluado","media","Cinco sustituciones validadas en ocho líneas determinan un intervalo de confianza amplio.","parcialmente resuelta","vigente"
"C-1626","Lee et al. estimaron para Escherichia coli silvestre aproximadamente 2.2 × 10^-10 sustituciones de base por nucleótido y generación.","Escherichia coli silvestre","tiene_valor_medido","aproximadamente 2.2 × 10^-10 sustituciones por nucleótido y generación","expresa","S451 Results; tabla 1","no evaluado","media","La unidad por sitio permite comparación formal con experimentos de acumulación, sin equiparar condiciones.","resuelta","vigente"
"C-1627","Lee et al. estimaron para Escherichia coli silvestre aproximadamente 1 × 10^-3 mutaciones por genoma y generación.","Escherichia coli silvestre","tiene_valor_medido","aproximadamente 1 × 10^-3 mutaciones por genoma y generación","expresa","S451 resumen; Results","no evaluado","alta","La cifra por genoma usa un denominador distinto de la tasa por nucleótido.","resuelta","vigente"
"C-1628","Kucukyildirim et al. estimaron para Acidobacterium capsulatum 1.22 × 10^-10 sustituciones de base por sitio y generación.","Acidobacterium capsulatum","tiene_valor_medido","1.22 × 10^-10 sustituciones por sitio y generación","expresa","S452 resumen; §Base-substitution mutations","no evaluado","alta","La estimación procede de 69 líneas tras un promedio aproximado de 2.900 divisiones; el IC 95 % publicado fue 0.98–1.51 × 10^-10.","resuelta","vigente"
"C-1629","Kucukyildirim et al. estimaron para Acidobacterium capsulatum 0.43 × 10^-10 inserciones o deleciones por sitio y generación.","Acidobacterium capsulatum","tiene_valor_medido","0.43 × 10^-10 indels por sitio y generación","expresa","S452 resumen","no evaluado","alta","La clase mutacional se informó por separado de las sustituciones.","resuelta","vigente"
"C-1630","Las tasas publicadas por sitio no justifican una única tasa de mutación para procariotas ni para eucariotas unicelulares.","tasa de mutación por sitio","no_equivale_a*","constante de dominio","sintesis(C-1621, C-1624, C-1625, C-1626, C-1628)","S448–S452","consenso amplio","alta","Los experimentos difieren en especie, compartimento, clase mutacional, condiciones y número de eventos detectados.","resuelta","vigente"
"C-1631","Beil et al. estimaron para OAE2 en el núcleo SN°4 de la cuenca de Tarfaya un inicio de aproximadamente 70 kyr, un pico de aproximadamente 90 kyr, una meseta de aproximadamente 200 kyr y una recuperación de aproximadamente 440 kyr.","fases de OAE2 en la cuenca de Tarfaya","tiene_valor_medido","~70, ~90, ~200 y ~440 kyr","expresa","S459 resumen; §§3.5–3.6; tabla 3","no evaluado","media","Las duraciones proceden de cicloestratigrafía y dependen de la definición de puntos de cambio.","parcialmente resuelta","vigente"
"C-1632","Beil et al. estimaron en el mismo registro una duración total aproximada de 790 kyr para la excursión positiva de δ13C de OAE2 incluida la recuperación.","excursión positiva de δ13C de OAE2 en SN°4","tiene_valor_medido","aproximadamente 790 kyr incluida la recuperación","expresa","S459 resumen; §3.5","no evaluado","baja","El valor es una duración de señal estratigráfica calibrada orbitalmente, no una medición directa del oxígeno de toda la cuenca.","parcialmente resuelta","vigente"
"C-1633","Beil et al. estimaron para OAE1a fases de inicio, pico, meseta y recuperación de aproximadamente 390, 600, 1.340 y 380 kyr, respectivamente.","fases de OAE1a en La Bédoule","tiene_valor_medido","~390, ~600, ~1.340 y ~380 kyr","expresa","S459 resumen; §§3.4 y 3.6","no evaluado","media","Las duraciones proceden de cicloestratigrafía de un registro cretácico.","parcialmente resuelta","vigente"
"C-1634","Las duraciones de OAE1a y OAE2 muestran que un cambio redox asociado con una cuenca puede resolverse en decenas a centenares de miles de años, pero no fijan una constante aplicable al Proterozoico.","duración de cambio redox de cuenca","tiene_orden_relativo*","decenas a centenares de kyr en los análogos cretácicos recuperados","sintesis(C-1631, C-1632, C-1633)","S459","no evaluado","media","Los eventos, proxies, cuencas y condiciones de frontera difieren de los ambientes proterozoicos.","parcialmente resuelta","vigente"
"C-1635","Jia et al. proponen oxigenación oceánica relativamente sostenida entre aproximadamente 1,4 y 1,3 Ga, pero no se localizó una duración única de transición redox aplicable a todas las cuencas proterozoicas.","transición redox de cuenca proterozoica","posee_alcance_cuantitativo_local*","intervalo local reconstruido, no constante universal","glosa","BN-109","no evaluado","media","El intervalo integra una formación y una síntesis de proxies; no fecha el comienzo y final de toda transición de cuenca, y los análogos cretácicos son más jóvenes.","parcialmente resuelta","vigente"
"C-1636","La endosimbiosis que originó el cromatóforo de Paulinella se sitúa entre 90 y 140 Ma en el análisis comparado recuperado.","origen del cromatóforo de Paulinella","tiene_edad_estimada","90–140 Ma","expresa","S245 resumen; resultados","no evaluado","baja","Es una edad filogenética y no mide la duración de cada etapa de integración.","parcialmente resuelta","vigente"
"C-1637","Nakayama et al. situaron el origen único de los cuerpos esferoidales de Rhopalodiaceae aproximadamente en 12 Ma mediante filogenias de hospedador y simbionte e información fósil.","origen de cuerpos esferoidales de Rhopalodiaceae","tiene_edad_estimada","aproximadamente 12 Ma","expresa","S454 resumen; fig. 2","no evaluado","media","La estimación combina reconstrucción filogenética y calibración fósil.","parcialmente resuelta","vigente"
