"etiqueta","hueco","términos exactos","consecuencia documental"
"NO LOCALIZADO EN ESTA SESIÓN","Sinapomorfía morfológica diagnóstica de Amorphea","`Amorphea morphological synapomorphy fossil`; `Amorphea diagnostic morphology`","No se asignó ningún fósil al nodo por un carácter morfológico exclusivo."
"NO LOCALIZADO EN ESTA SESIÓN","Sinapomorfía morfológica diagnóstica de Obazoa","`Obazoa morphological synapomorphy`; `Obazoa fossil record`","Se mantuvo `SIN SINAPOMORFÍA MORFOLÓGICA PUBLICADA LOCALIZADA` fuera de cualquier inferencia."
"NO LOCALIZADO EN ESTA SESIÓN","Fósil diagnóstico de Filozoa o Choanozoa sensu stricto","`Filozoa fossil diagnostic`; `choanoflagellate animal common ancestor fossil`; `Apoikozoa fossil`","Las celdas nodales se marcaron como no localizadas."
"NO LOCALIZADO EN ESTA SESIÓN","Intervalos nodales comparables de Amorphea, Obazoa, Holozoa y Filozoa en una sola matriz de reloj","`Amorphea Obazoa Holozoa Filozoa molecular clock supplementary table`; `holozoan divergence times relaxed clock`","No se produjo una tabla nodal completa ni una interpolación."
"NO LOCALIZADO EN ESTA SESIÓN","Temperatura media global mesoproterozoica comparable entre proxies","`Mesoproterozoic global mean temperature proxy estimate`; `Mesoproterozoic temperature quantitative reconstruction`","La sección 7 conserva el hueco sin cifra."
"NO LOCALIZADO EN ESTA SESIÓN","Serie homogénea de Mo, Fe, Cu, Zn, Ni y Co para todo el Proterozoico","`Proterozoic trace metal Mo Fe Cu Zn Ni Co quantitative time series`; `Proterozoic seawater trace metals compilation`","No se ensambló una curva sintética entre proxies incompatibles."
"NO LOCALIZADO EN ESTA SESIÓN","Fracciones globales únicas de océano óxico, ferruginoso y euxínico","`global fraction oxic ferruginous euxinic Proterozoic ocean`; `Mesoproterozoic ocean redox area fraction`","Se conservaron reconstrucciones cualitativas y compilaciones, sin porcentaje inventado."
"NO LOCALIZADO EN ESTA SESIÓN","Densidad celular de comunidades proterozoicas atribuibles al corredor","`Proterozoic microbial eukaryote cell density abundance estimate`; `Mesoproterozoic protist abundance cells`","Se declaró ausencia de estimación localizada."
"NO LOCALIZADO EN ESTA SESIÓN","Escala geográfica única de dispersión de eucariotas microbianos del corredor","`choanoflagellate biogeography distance population structure`; `filasterean dispersal population genetics`; `ichthyosporean biogeography`","Los estudios recuperados fueron específicos de especie y marcador."
"NO LOCALIZADO EN ESTA SESIÓN","Umbral universal de EroS","`EroS dose threshold Salpingoeca rosetta chondroitinase concentration`; `Vibrio fischeri EroS units mating dose`","Se registraron tiempos de respuesta, no una dosis universal."
"NO LOCALIZADO EN ESTA SESIÓN","Cinética comparable de reversión al retirar RIF-1, EroS o condiciones de agregación","`Salpingoeca rosetta RIF withdrawal reversibility`; `EroS washout mating reversal`; `Capsaspora aggregate reversal kinetics`","No se equipararon respuestas con protocolos distintos."
"NO LOCALIZADO EN ESTA SESIÓN","Tasas comparables de ingestión y aclaramiento para todos los linajes solicitados","`Monosiga Salpingoeca clearance rate bacteria`; `apusomonad feeding rate`; `breviate ingestion rate`; `filasterean clearance rate`; `ichthyosporean feeding rate`","Solo se retuvieron relaciones de tamaño y mecanismos observados."
"NO LOCALIZADO EN ESTA SESIÓN","Costes energéticos directos de rosetas, agregados y coenocitos","`Salpingoeca rosette energetic cost`; `Capsaspora aggregation ATP cost`; `Sphaeroforma coenocyte energetic cost`","No se reemplazó el hueco con analogías bioenergéticas."
"NO LOCALIZADO EN ESTA SESIÓN","Fichas primarias completas de *Ichthyophonus*, *Abeoforma*, *Pirum*, *Entamoeba*, *Pelomyxa* y *Mastigamoeba*","`Ichthyophonus hoferi life cycle host primary`; `Abeoforma Pirum ecology primary`; `Pelomyxa methanogen endosymbiont primary`; `Mastigamoeba ecology primary`","Quedaron explícitamente pendientes para la siguiente parte ecológica/asociativa."
"NO LOCALIZADO EN ESTA SESIÓN","Tamaños auditables de mimivirus, pandoravirus, medusavirus y pitovirus en una misma fuente","`mimivirus pandoravirus medusavirus pithovirus genome size comparison primary`","Se evitó compilar valores de fuentes heterogéneas sin localizador común."
"NO BUSCADO","Glaciación huroniana con cronología y temperatura detalladas","n/a","Se priorizaron el intervalo mesoproterozoico y las glaciaciones criogénicas en esta parte; queda para ampliación ambiental."
"NO BUSCADO","Excursiones isotópicas de carbono distintas de Lomagundi–Jatuli","n/a","El cierre ambiental completo queda para la integración de la sección 7."
