"nombres","relación","motivo","etiqueta preferida","filas"
"Eucarya / Eukarya / Eukaryota","Adl et al. 2019 usa Eukaryota como nombre del conjunto eucariota.","—","Eukaryota","C-1737–C-1741"
"Unikonta / Amorphea","La oposición Unikonta–Bikonta no coincide exactamente con Amorphea frente a los demás eucariotas.","—","Amorphea","C-1742–C-1746; C-1751"
"Podiata","Podiata sensu Cavalier-Smith y Podiata usado para Amorphea+CRuMs no tienen necesariamente la misma circunscripción.","—","—","C-1747"
"Sulcozoa / Obazoa","Sulcozoa no es un sinónimo moderno de Obazoa.","—","Obazoa para el clado","C-1748–C-1749; C-1761–C-1762"
"Varisulca / CRuMs","Varisulca reunió linajes que hoy no constituyen CRuMs bajo la misma circunscripción.","—","—","C-1750"
"Holomycota / Nucletmycea","Holomycota y Nucletmycea compiten como nombres para conjuntos ampliamente solapados del lado fúngico de Opisthokonta.","Clados solapados con preferencias de autor","—","C-1756"
"Holozoa / Filozoa","Holozoa designa el clado opisthokonto que contiene Metazoa y sus parientes unicelulares más próximos frente a Holomycota.","—","—","C-1757–C-1760"
"Choanozoa histórico / Choanozoa s.s.","Choanozoa sensu stricto y Choanozoa sensu histórico no tienen la misma circunscripción.","El histórico excluye Metazoa","Choanozoa sensu stricto","C-1763–C-1764; C-1768"
"Choanozoa s.s. / Apoikozoa","Adl et al. 2019 prefirió Choanozoa sensu stricto para el clado Metazoa+Choanoflagellata.","—","Choanozoa s.s. ≈ Apoikozoa","C-1764–C-1770"
"Pluriformea / Corallochytrea / Corallochytrium","Pluriformea, Corallochytrea y Corallochytrium se conservan como entidades separadas en el corpus.","Clado amplio, clado contenido y género","—","C-1771–C-1776"
