"magnitud","valor tal como lo publica la fuente","unidad original","organismo, nodo o intervalo al que se aplica","método o proxy","incertidumbre publicada","observado o inferido","fuente con localizador","#"
"especies incluidas en la versión descrita de EukProt","993","especies","EukProt","recuento de base de datos","n/a","observado","S03 resumen; Data set description","C-003"
"genes analizados por Cox et al.","53","genes","matriz multigénica de los tres dominios","selección de marcadores","n/a","observado","S08 resumen; Methods","C-022"
"taxones en la matriz combinada de rRNA","40","taxones","análisis de Cox et al.","muestreo taxonómico","n/a","observado","S08 Methods: Ribosomal RNA analyses","C-023"
"caracteres en la matriz combinada de rRNA","1.048","caracteres alineados","análisis de Cox et al.","alineamiento SSU+LSU","n/a","observado","S08 Methods: Ribosomal RNA analyses","C-023"
"genes de la matriz original de Williams et al.","35","genes","comparación dos frente a tres dominios","matriz concatenada","n/a","observado","S10 Methods; tabla 1","C-028"
"log-verosimilitud de dos dominios bajo LG+G4+F","−684701.2","log-verosimilitud","topología de dos dominios","LG+G4+F","no consta en la fuente como incertidumbre","inferido","S10 tabla 1","C-029"
"log-verosimilitud de tres dominios bajo LG+G4+F","−684716.1","log-verosimilitud","topología de tres dominios","LG+G4+F","no consta en la fuente como incertidumbre","inferido","S10 tabla 1","C-029"
"p de prueba AU para dos dominios bajo LG+G4+F","0.771","p AU","topología de dos dominios","prueba approximately unbiased","n/a","inferido","S10 tabla 1","C-030"
"p de prueba AU para tres dominios bajo LG+G4+F","0.229","p AU","topología de tres dominios","prueba approximately unbiased","n/a","inferido","S10 tabla 1","C-030"
"p de prueba AU para tres dominios bajo LG+C60+G4+F","0.036","p AU","topología de tres dominios","LG+C60+G4+F y prueba AU","n/a","inferido","S10 tabla 1","C-031"
"probabilidad posterior de dos dominios bajo CAT y SR4","0.98","probabilidad posterior","topología de dos dominios","CAT con recodificación SR4","n/a","inferido","S10 Supplementary analyses","C-033"
"proteínas universales en matriz ampliada","21","proteínas","Williams et al. 2020","concatenación","n/a","observado","S10 Methods","C-034"
"proteínas arqueano-eucariotas en matriz ampliada","43","proteínas","Williams et al. 2020","concatenación","n/a","observado","S10 Methods","C-034"
"genomas en matrices ampliadas","125","genomas","Williams et al. 2020","muestreo taxonómico","n/a","observado","S10 Methods","C-034"
"probabilidad posterior del clado LC3","0.95","probabilidad posterior","LC3 de Williams et al.","análisis bayesiano","n/a","inferido","S10 fig. 3","C-036"
"proteínas universales reanalizadas por Da Cunha et al.","36","proteínas","análisis de Da Cunha et al.","selección de marcadores","n/a","observado","S11 Results","C-037"
"Woese proteins","11","proteínas","subconjunto de Da Cunha et al.","partición de marcadores","n/a","observado","S11 Results","C-037"
"eocyte proteins","25","proteínas","subconjunto de Da Cunha et al.","partición de marcadores","n/a","observado","S11 Results","C-037"
"posiciones en Woese proteins","3.499","posiciones de aminoácidos","subconjunto de 11 proteínas","alineamiento concatenado","n/a","observado","S11 Results; fig. 1","C-038"
"posiciones en eocyte proteins","4.869","posiciones de aminoácidos","subconjunto de 25 proteínas","alineamiento concatenado","n/a","observado","S11 Results; fig. 2","C-038"
"bootstrap de monofilia arqueana","100","% bootstrap","subconjunto de 11 proteínas tras retirada de secuencias rápidas","bootstrap filogenético","n/a","inferido","S11 fig. 1","C-039"
"bootstrap Eukaryota–Lokiarchaeota para SecY","84","% bootstrap","árbol individual SecY","bootstrap filogenético","n/a","inferido","S11 Results","C-040"
"bootstrap Eukaryota–Lokiarchaeota para EF2","100","% bootstrap","árbol individual EF2","bootstrap filogenético","n/a","inferido","S11 Results","C-040"
"fracción máxima de lípidos arqueanos en E. coli modificada","aproximadamente 30","% de lípidos","Escherichia coli con membrana heteroquiral","lipidómica","aproximada","observado","S16 Results; figs. 2–4","C-058"
"genomas eucariotas comparados por Brueckner y Martin","150","genomas","Eukaryota","genómica comparada","n/a","observado","S20 Methods","C-070"
