"control","valor"
"número total de fuentes distintas","523"
"número de oraciones marcadas `[SIN FUENTE]`","0"
"número de filas del registro","1952"
"número de celdas con `SIN CIFRA PUBLICADA LOCALIZADA`","31"
"número de entidades consolidadas","1500"
"número de eventos consolidados","109"
"número de hipótesis consolidadas","81"
"número de fechas consolidadas","215"
"número de magnitudes consolidadas","562"
"número de búsquedas negativas","68"
"referencias `C-…` indefinidas","0"
"referencias `S…` indefinidas","0"
"referencias `E…` indefinidas","0"
"referencias `H…` indefinidas","0"
"referencias `BN-…` indefinidas","0"
"síntesis que dependen de una fila posterior","0"
"fuentes locales deduplicadas por identidad bibliográfica","59"
"pares de registros bibliográficos duplicados consolidados en esta integración","4"
"conflictos bibliográficos no resueltos","0"
"número inicial de afirmaciones que dependían de una sola fuente","1106"
"número de fuentes que eran soporte único de al menos una afirmación en el corte inicial","403"
"número actual de afirmaciones que dependen de una sola fuente","1195"
"número actual de fuentes que son soporte único de al menos una afirmación","428"
"número actual de fuentes citadas en una sola C","83"
"número actual de fuentes sin uso en una C","10"
