"nodo","qué linajes quedan dentro","qué linaje queda fuera (grupo hermano)","caracteres morfológicos o ultraestructurales propuestos como sinapomorfía, con fuente","caracteres moleculares o genómicos propuestos (fusiones génicas, inserciones y deleciones raras, sintenia, dominios proteicos), con fuente","tipo de evidencia que sostiene el nodo","soporte cuantitativo transcrito literalmente","edad estimada con intervalo","método de la estimación","# de la fila del registro que sostiene cada celda sustantiva"
"Eukaryota","todos los eucariotas vivientes y la población LECA reconstruida","linaje asgard más próximo a Eukaryota no resuelto","envoltura nuclear, poro nuclear, endomembranas, citoesqueleto y mitocondria atribuidos a LECA [S56 fig. 2]","paralogías profundas y repertorios celulares reconstruidos; S56 [S56 §§Reconstrucción]","filogenómica comparada y reconstrucción ancestral","la posición de la raíz interna está discutida [S102 resumen]","1.679–1.866 Ga en S139; 1.958–2.386 Ga en S140; no existe estimación de consenso","relojes relajados con calibraciones y raíces diferentes","C-511, C-512, C-513, C-514, C-515, C-516, C-517, C-518"
"Amorphea","Amoebozoa y Obazoa","CRuMs en S108 y S109","definición de nodo especificada por Homo sapiens, Neurospora crassa y Dictyostelium discoideum; no depende de un estado ameboide o pseudopodial universal [C-521; S124 definición]","recuperación mediante análisis filogenómico multigénico [S108 Results; fig. 1]","filogenómica multigénica","soporte máximo para CRuMs+Amorphea en S108; Amorphea cerca de 100 % durante retirada de sitios rápidos","S126: intervalo 1.089,7–1.361,5 Ma bajo raíz 1,5 Ga; S548: mediana 1.773 Ma, máximo/mínimo de medianas 1.934/1.703 Ma","S126: MCMCTree, 10 calibraciones, sensibilidad a raíz 1,9 Ga; S548: TreePL, 77 calibraciones, 32 árboles, 100 réplicas","C-484, C-487, C-519, C-520, C-522, C-523, C-524, C-525, C-526, C-786–C-791"
"Amoebozoa","Discosea y Tevosa, con sus linajes componentes según S112","Obazoa","heterogeneidad de formas celulares y modos de locomoción entre los linajes muestreados [S112 Results; fig. 3]","325 genes y 63.157 posiciones en S112 [S112 Methods; fig. 3]","descripción morfológica acotada y filogenómica concatenada","BPP = 1.0 y MLBS = 99 para el respaldo principal citado en S112","intervalo 872,9–1.297,8 Ma bajo raíz 1,5 Ga","MCMCTree; 10 calibraciones; raíz 1,5 Ga; S126 Table S7 nodo 5; sensibilidad a raíz 1,9 Ga","C-527, C-528, C-529, C-530, C-531, C-532, C-533, C-534"
"Obazoa","Breviatea, Apusomonadida y Opisthokonta","Amoebozoa","n/a documental: C-537 registra la recuperación filogenómica; los caracteres celulares se resumen por linaje en las tablas siguientes","matriz de 159 proteínas y 43.615 aminoácidos [S111 Methods]","filogenómica basada en una matriz concatenada","clado fuertemente respaldado en S111; cerca de 100 % durante retirada de sitios rápidos en S108","intervalo 1.077,1–1.334,8 Ma bajo raíz 1,5 Ga","MCMCTree; 10 calibraciones; raíz 1,5 Ga; S126 Table S7 nodo 346; sensibilidad a raíz 1,9 Ga","C-535, C-536, C-537, C-538, C-539, C-540, C-541, C-542"
"Apusomonadida","Thecamonas y otros apusomonádidos muestreados","Opisthokonta en la topología de trabajo de S109","dorsal theca, dos cinetosomas y raíces microtubulares caracterizan taxones estudiados; exclusividad nodal no demostrada [S113 Results; figs. 2–8]","filogenómica de Obazoa y muestreo ampliado de flagelados [S111; S109]","ultraestructura taxonómica y filogenómica","soporte alto en S109; valor numérico exacto no transcrito","corona no estimable; tallo Apusomonadida–Opisthokonta 1.036,8–1.277,6 Ma","MCMCTree; nodo 345 con un solo terminal apusomonádido; tallo, no corona; sensibilidad de raíz en C-551; BN-025","C-543, C-544, C-545, C-546, C-547, C-548, C-549, C-550, C-551"
"Breviatea","Breviata, Pygsuia y linajes breviados reconocidos","Apusomonadida+Opisthokonta en la topología de trabajo de S109","dos cuerpos basales, raíces microtubulares y orgánulo relacionado con la mitocondria descritos en Breviata [S114 Results]","filogenómica de Obazoa y marcadores posteriores [S111; S109]","filogenómica, genómica y ultraestructura de taxones","soporte de Obazoa alto; orden interno varía entre estudios y valor exacto no localizado","intervalo 803,0–1.237,6 Ma bajo raíz 1,5 Ga","MCMCTree; 10 calibraciones; raíz 1,5 Ga; S126 Table S7 nodo 6; sensibilidad a raíz 1,9 Ga","C-552, C-553, C-554, C-555, C-556, C-557, C-558, C-559"
"Opisthokonta","Holomycota y Holozoa","Apusomonadida en la topología de trabajo de S109","cilio posterior en las células flageladas y crestas mitocondriales planas se propusieron como caracteres; existen pérdidas y estados no flagelados [S137 revisión; S144 discusión]","indels históricos, múltiples matrices filogenómicas y contenido génico [S122; S126]","filogenómica, cambios genómicos raros y ultraestructura comparada","C-653 registra 85 % de congruencia global entre 18 árboles; no se trata como soporte cuantitativo específico de Opisthokonta [C-565]","1.083,2 Ma; IC 95 % 978,7–1.187,6 Ma","MCMCTree, reloj relajado no correlacionado, 10 calibraciones fósiles, raíz fijada en 1,5 Ga","C-560, C-561, C-562, C-563, C-564, C-565, C-566, C-567"
"Holomycota","Nucleariida, Fungi y parientes unicelulares próximos","Holozoa","morfologías y trofismos heterogéneos; diagnóstico completo molecular/filogenómico, no una morfología universal exclusiva [S542; S543; BN-027]","filogenómica y trayectorias de contenido génico; Nucleariida hermana del resto en S126 [S126 Results; S143]","comparación celular, filogenómica de proteínas y genómica comparada","Nucleariida hermana del resto recuperada consistentemente en S126; clado Holomycota estable en matrices principales","996 Ma; IC 95 % 890,1–1.101,9 Ma","MCMCTree, reloj relajado no correlacionado, 10 calibraciones fósiles, raíz fijada en 1,5 Ga","C-568, C-569, C-570, C-571, C-572, C-573, C-574, C-575"
"Holozoa","Pluriformea, Ichthyosporea y Filozoa","Holomycota","diversidad de estados celulares flagelados y filopodiales en los taxones muestreados [S130 Results; fig. 1]","fusión ubiquitina–proteína ribosomal S30 propuesta en S130; filogenómica de múltiples matrices [S130 Results; S126]","observaciones celulares acotadas, filogenómica y caracteres moleculares","monofilia amplia estable; raíz interna produce topologías Pluriformea-sister, Teretosporea-sister e Ichthyosporea-sister","1.003,8 Ma; IC 95 % 913,8–1.093,9 Ma","MCMCTree, reloj relajado no correlacionado, 10 calibraciones fósiles, raíz fijada en 1,5 Ga","C-576, C-577, C-578, C-579, C-580, C-581, C-582, C-583"
"Ichthyosporea","Ichthyophonida, Dermocystida y otros linajes según circunscripción de S133","variable entre Filozoa, Pluriformea o el resto de Holozoa según matriz","paredes celulares o estadios multinucleados en varios linajes revisados [S133 §§Diversity y Life cycles]","filogenómica de S128, S129, S130 y síntesis genómica de S133 [S128, S129, S130; S133]","caracteres celulares acotados, filogenómica y genómica comparada","ninguna de las tres posiciones profundas tiene concordancia génica suficiente para resolver el nodo en S126","intervalo 671,3–920,0 Ma bajo raíz 1,5 Ga","MCMCTree; 10 calibraciones; raíz 1,5 Ga; S126 Table S7 nodo 124; sensibilidad a raíz 1,9 Ga","C-584, C-585, C-586, C-587, C-588, C-589, C-590, C-591"
