"clave","etiqueta","hueco","términos exactos","resultado o motivo"
"BN-049","NO LOCALIZADO EN ESTA SESIÓN","presupuesto integrado de construcción y operación de un núcleo ancestral completo","""energetic cost whole nucleus ancestral eukaryote""; ""ATP cost nucleus LECA""; ""nucleocytoplasmic transport GTP energetic cost""","S307 y S312/S313 cuantifican membrana y poros; Scott et al. 2024 (10.1083/jcb.202308152) demuestra dependencia de Ran-GTP del transporte. Ninguna fuente integra envoltura, poros, cromatina, nucléolo, transporte, reparación y recambio para FECA o LECA."
"BN-050","NO LOCALIZADO EN ESTA SESIÓN","presupuesto total del sistema endomembranoso ancestral","""energetic cost entire endomembrane system""; ""ATP budget ER Golgi vesicles protist""; ""ancestral proto-ER fitness pinocytosis""","S342, ya publicado en Cell Reports en 2025 (10.1016/j.celrep.2025.115533), modela proto-RE y pinocitosis: el primero puede mejorar aptitud y la segunda no lo hace en los rangos examinados. El modelo no suma RE, Golgi, endosomas, lisosomas, motores, contenidos y regulación del sistema completo."
"BN-051","NO LOCALIZADO EN ESTA SESIÓN","ATP neto por evento de fagocitosis en un holozoo unicelular","""ATP per phagocytosis event protist""; ""energetic cost ingestion choanoflagellate""; ""ATP consumption endocytosis particle cell""","Los estudios localizados demuestran suministro o consumo relativo de ATP durante fagocitosis/endocitosis en células animales, pero no normalizan por partícula ni corrigen resíntesis. No se localizó ATP por presa en coanoflagelados, filastereos o ictiospóreos."
"BN-052","NO LOCALIZADO EN ESTA SESIÓN","presupuesto de construcción, importación, operación y recambio de un peroxisoma completo","""ATP cost whole peroxisome""; ""peroxisome energy budget PEX import""; ""PEX1 PEX6 ATP per import""","PEX1/PEX6 y el reciclado de PEX5 demuestran pasos dependientes de ATP, pero no aportan ATP por importación ni un balance que integre membrana, proteoma, metabolitos, división y pexofagia."
"BN-053","NO LOCALIZADO EN ESTA SESIÓN","comparación energética de mitosis abierta, cerrada y semiabierta bajo un denominador común","""energy cost open closed mitosis ATP protist""; ""closed mitosis energetic cost""; ""open versus closed mitosis calorimetry""","La literatura compara arquitectura y ciclo vital; la calorimetría embrionaria localizada integra replicación, mitosis y división y no aísla la modalidad nuclear. No se encontró una comparación en células equivalentes con el mismo genoma, ploidía y tiempo de ciclo."
"BN-054","NO LOCALIZADO EN ESTA SESIÓN","balance neto integrado de una mitocondria ancestral","""total energetic cost mitochondrion construction operation""; ""proto-mitochondrion cost budget""; ""mitochondrion net energetic balance import turnover""","Se publicaron términos de membrana, potencial, importación y presupuestos celulares actuales, pero no una suma de biogénesis, operación y recambio que reste el ATP producido por el proto-mitocondrio."
"BN-055","NO LOCALIZADO EN ESTA SESIÓN","coste energético de adhesión en coanoflagelados o filastereos","""ATP cost adhesion choanoflagellate""; ""Capsaspora adhesion energetic cost""; ""Cupidon adhesion growth fitness""","Se cuantificaron mecanismo, reversibilidad, reagrupamiento y proliferación; el preprint Cupidon de 2026 (10.64898/2026.06.27.734982) no detectó defecto de proliferación por adhesión ectópica en el ensayo. Es un proxy de aptitud, no ATP ni presupuesto energético de adhesión (C-1359)."
"BN-056","NO LOCALIZADO EN ESTA SESIÓN","presupuesto energético total de señalización en un organismo del corredor","""energetic cost signaling choanoflagellate""; ""ATP budget signaling protist""; ""choanoflagellate p38 calcium signaling energy cost""","Se resolvieron rutas funcionales p38, Ca²⁺ y Cupidon, además de ciclos locales de nucleótidos, pero ninguna fuente suma ATP/GTP, gradientes, receptores y efectores para la red completa."
"BN-057","NO LOCALIZADO EN ESTA SESIÓN","presupuesto que asigne exhaustivamente todos los rasgos en un mismo protista","""complete ATP budget organelles protist nucleus mitochondria cytoskeleton""; ""whole-cell ATP budget protist residual""","S341 ofrece el mejor control integrado localizado: 6,0 × 10^11 ATP por célula y ciclo de 5,3 h en Trypanosoma brucei, con un 5,5 % residual publicado. Solo se conservan esas cifras y se retiró la fracción asignada reconstruida en una versión anterior. Incluye extrapolaciones y no descompone exhaustivamente los rasgos del corredor, por lo que no cierra la solicitud exacta."
"BN-058","NO LOCALIZADO EN ESTA SESIÓN","presupuesto energético homogéneo y descompuesto de FECA o LECA","""LECA energy budget ATP""; ""FECA bioenergetic budget reconstruction""; ""ancestral eukaryote modular energy budget""","Existen módulos cuantitativos para membranas/poros, proto-RE, mitocondria, flagelo y un protista moderno, pero usan organismos y denominadores incompatibles. No se localizó una suma publicada y homogénea para FECA o LECA."
