"clave","sección","estado","hueco","términos exactos o motivo","resultado o motivo","filas relacionadas"
"BN-001","15.4.1. Punto de partida y participantes celulares","NO LOCALIZADO EN ESTA SESIÓN","Prueba primaria que seleccione la hipótesis neomurana planctobacteriana completa frente a modelos Asgard de dos dominios.","`""neomuran hypothesis"" 2021 2022 2023 2024 2025 2026 primary research`; `""planctobacterial origin of neomura""`; `""Planctomycetota early donor eukaryogenesis host""`","S530 aporta una defensa conceptual independiente y S59 una señal planctomicetotal temprana; ninguna identifica hospedador, endosimbiosis ni discrimina la hipótesis completa.","C-051; S530; S59"
"BN-002","15.4.1. Punto de partida y participantes celulares","NO LOCALIZADO EN ESTA SESIÓN","Localización y perturbación funcional de OdinTubulin en una célula de Odinarchaeota nativa.","`""OdinTubulin native localization cell""`; `""Odinarchaeota tubulin in vivo perturbation""`; `""Asgard tubulin native cell microscopy""`","S531 demuestra microtúbulos nativos en Lokiarchaeia y S532 reconstituye tubulina Heimdallarchaeales; OdinTubulin sigue limitada a proteína recombinante de S43.","C-141; S43; S531–S532"
"BN-003","15.4.1. Punto de partida y participantes celulares","NO LOCALIZADO EN ESTA SESIÓN","Colocalización y perturbación causal de una GTPasa pequeña Asgard con cambio cuantificado de tráfico o vesículas en la célula nativa.","`""Asgard small GTPase native cell trafficking perturbation""`; `""Asgard Arf in vivo vesicle localization""`; `""TRAPPC3 Asgard native cell""`","S533–S534 muestran función de membrana in vitro y heteróloga; S535 describe vesículas nativas en un preprint, sin localizar ni perturbar causalmente la GTPasa.","C-146; S533–S535"
"BN-004","15.4.1. Punto de partida y participantes celulares","NO LOCALIZADO EN ESTA SESIÓN","Fuente primaria accesible bajo el nombre exacto Shennonarchaeia y reconciliación de la circunscripción Freyarchaeia/Jordarchaeia antes de crear fichas independientes.","`""Shennonarchaeia metabolism ecology""`; `""Freyarchaeia Jordarchaeia synonym taxonomy""`; `""Asgardarchaeia class metabolism""`","S24, S27 y S536–S538 permiten perfiles genómicos o transcriptómicos para ocho nombres auditados; Shennonarchaeia conserva sólo registro nominal y Frey/Jordarchaeia requiere reconciliación.","C-171; S24; S27; S50; S536–S538"
"BN-005","15.4.1. Punto de partida y participantes celulares","LA LITERATURA DECLARA QUE NO SE SABE","Familia alfa-proteobacteriana viviente que sea el grupo hermano inequívoco de la mitocondria.","`""closest extant alphaproteobacterial relative mitochondria unresolved""`; `""mitochondria sister known Alphaproteobacteria""`; `""mitochondria branch within Alphaproteobacteria""`","S46, S47, S48 y S49 recuperan topologías o criterios incompatibles; ningún trabajo resuelve una familia viviente única.","C-159–C-160"
"BN-006","15.4.1. Punto de partida y participantes celulares","LA LITERATURA DECLARA QUE NO SE SABE","Cultivo axénico de una arquea asgard.","`""axenic culture Asgard archaea 2026""`; `""pure culture Asgardarchaeota axenic""`; `""cultivated Asgard archaea pure isolate""`","S34–S38 y la revisión de autoridad S546 distinguen cocultivos y enriquecimientos; ninguno es axénico al corte 2026-08-08.","C-092; C-102; C-108–C-109; S546"
"BN-007","15.4.1. Punto de partida y participantes celulares","NO LOCALIZADO EN ESTA SESIÓN","Evidencia cuantitativa que seleccione una ruta histórica única para cruzar la divisoria lipídica y descarte las alternativas.","`""eukaryogenesis lipid divide quantitative transition ancestral membrane experimental""`; `""archaeal host bacterial membrane replacement experiment""`; `""heterochiral membrane eukaryogenesis pathway""`","S539 aporta un mecanismo cuantitativo candidato de fusión con bicapa mixta; S16–S17 y S539 demuestran plausibilidad o costes, pero no identifican participantes, orden ni unicidad histórica.","C-060; C-063–C-067; S539"
"BN-011","15.4.2. Eucariogénesis","LA LITERATURA DECLARA QUE NO SE SABE","Duración FECA–LECA observada directamente e independiente de reloj, topología y definición de FECA","`FECA LECA stem duration direct measurement`; `FECA to LECA duration without molecular clock`; `observed duration eukaryogenesis stem`","El tallo carece de descendientes vivos identificados y de extremos fósiles diagnósticos; S56 y S58 sólo permiten intervalos inferidos dependientes de modelo.","C-429; S56; S58"
"BN-014","15.4.2. Eucariogénesis","LA LITERATURA DECLARA QUE NO SE SABE","Orden completo y robusto a modelos de las innovaciones FECA–LECA, más allá de una cronología parcial de duplicaciones","`order of events FECA LECA nucleus mitochondria phagocytosis`; `eukaryogenesis order unresolved`; `dated duplications eukaryogenesis rate critique`","S58 propone una cronología parcial para citoesqueleto, tráfico, compartimentos y núcleo; S541 discute la interpretación de tasas. No se fecha directamente el orden fenotípico completo.","C-417; S56; S58; S541"
"BN-015","15.4.2. Eucariogénesis","LA LITERATURA DECLARA QUE NO SE SABE","Mecanismo completo de origen del núcleo","`mechanism origin eukaryotic nucleus unknown`; `viral origin nucleus controversial mechanism`","Takemura declara que el mecanismo permanece desconocido y la hipótesis viral es controvertida; los modelos explican subconjuntos distintos sin selección decisiva.","C-332; S95 Introduction; Conclusion"
"BN-016","15.4.2. Eucariogénesis","LA LITERATURA DECLARA QUE NO SE SABE","Envolvimiento completo, internalización y persistencia heredable del socio en un análogo moderno del modelo E3","`Prometheoarchaeum E3 engulfment observed`; `Nerearchaeum nanotube vesicle engulfment`; `E3 endogenization direct observation`","S34 observa protrusiones y sintrofía; S38 añade cadenas de vesículas, fibras y nanotubos intercelulares. Ninguna fuente muestra engullimiento completo o endogenización.","C-315; C-319; S34; S38"
"BN-017","15.4.2. Eucariogénesis","LA LITERATURA DECLARA QUE NO SE SABE","Fagotrofia funcional de LECA, distinguida de maquinaria endocítica o fagosomal","`LECA phagocytosis ancestral state`; `last eukaryotic common ancestor nonphagocytic phagosome`; `LECA phagotrophy functional reconstruction`","S79 no reconstruye fagotrofia funcional en LECA; S59 reconstruye maquinaria compatible con endocitosis/fagosomas. Ninguna observa la conducta ancestral.","C-251; C-418; S79; S59"
"BN-018","15.4.2. Eucariogénesis","LA LITERATURA DECLARA QUE NO SE SABE","Posición exacta de los linajes ancestrales hospedador y mitocondrial respecto de todos los taxones extantes y extinguidos","`closest archaeal host eukaryogenesis exact lineage`; `closest alphaproteobacteria mitochondrial ancestor unresolved`","Topologías Asgard y mitocondriales incompatibles y posible extinción impiden identificar los organismos históricos concretos; una especie o familia extante no es el ancestro.","C-413–C-414; S25–S27; S46–S48; S56–S57"
