csv_path,fila,columna,contenido_sha256,contenido,afirmaciones,base_semantica,estado_revision,nota_adjudicacion
data/tablas/02/table-01-2-1-2-por-que-el-modelo-cambia-el-arbol.csv,2,modelo o prueba,b220ea4a4ad690aaa18943d9867ce0928dffaf17909b06e1a74210f4d8cca190,35 genes; LG+G4+F [C-028; C-029],C-028; C-029,cita_en_celda,REVISADA,Citas C explícitas añadidas tras comprobar equivalencia semántica y cobertura bidireccional de la magnitud o convención.
data/tablas/02/table-01-2-1-2-por-que-el-modelo-cambia-el-arbol.csv,2,resultado publicado,8114587b34f1d1ad0e180082a53d6adc863e95c2a2cbbbff38d7af57d3be0cd2,dos dominios tuvo mejor log-verosimilitud que tres dominios,C-029,Afirmación+SPO+Motivo+Resolución,REVISADA,Adjudicación semántica explícita: cada C indicada cubre este valor concreto; no se heredó la fila completa.
data/tablas/02/table-01-2-1-2-por-que-el-modelo-cambia-el-arbol.csv,2,soporte transcrito,7d1443cb441e11238ccbcf840d64b45c9db596fd1f76980c7752d7b068bb801c,−684701.2 frente a −684716.1,C-029,Afirmación+SPO+Motivo+Resolución,REVISADA,Adjudicación semántica explícita: cada C indicada cubre este valor concreto; no se heredó la fila completa.
data/tablas/02/table-01-2-1-2-por-que-el-modelo-cambia-el-arbol.csv,2,interpretación limitada,bec69ad625d845fec9dc26de444f466dda80b5fae7b092f48524b021bd5d7e32,Los valores se transcriben sin convertirlos a otra medida.,C-029,Afirmación+SPO+Motivo,REVISADA,Adjudicación explícita coordinada tras reformular la celda para repetir únicamente la proposición de C-029; no se heredó el rango de la fila.
data/tablas/02/table-01-2-1-2-por-que-el-modelo-cambia-el-arbol.csv,3,modelo o prueba,1e14a07a417a0cb9e2c1ef1bf986539d78c4b88b9a724b9df0a31059db37a904,prueba AU bajo LG+G4+F,C-030,Afirmación+Sujeto,REVISADA,Adjudicación explícita conservadora tras cotejo del valor con Afirmación+Sujeto; no se heredaron todas las C de la fila.
data/tablas/02/table-01-2-1-2-por-que-el-modelo-cambia-el-arbol.csv,3,resultado publicado,34e8b1850408b32216ec725152eafb4acf636fc43f1106c7d4a09bbf35c82c97,AU = 0.771 para dos dominios y 0.229 para tres dominios,C-030,Afirmación+SPO+Motivo,REVISADA,Adjudicación explícita coordinada tras reformular la celda para repetir únicamente la proposición de C-030; no se heredó el rango de la fila.
data/tablas/02/table-01-2-1-2-por-que-el-modelo-cambia-el-arbol.csv,3,soporte transcrito,c4612553b2e82de2c24438586fba4bf957c1fdef32ded986a023021132b9c763,0.771 frente a 0.229,C-030,Afirmación+SPO+Motivo+Resolución,REVISADA,Adjudicación semántica explícita: cada C indicada cubre este valor concreto; no se heredó la fila completa.
data/tablas/02/table-01-2-1-2-por-que-el-modelo-cambia-el-arbol.csv,3,interpretación limitada,4456ede8b944c8ea53ff07579dc686b31d593c4274b13eb8e8306ae6102dc500,Valores publicados de una prueba de topología.,C-030,Afirmación+SPO+Motivo,REVISADA,Adjudicación explícita coordinada tras reformular la celda para repetir únicamente la proposición de C-030; no se heredó el rango de la fila.
data/tablas/02/table-01-2-1-2-por-que-el-modelo-cambia-el-arbol.csv,4,modelo o prueba,98710ca45520c393ed81279b7e3a4f74727732c22598848040a2ea0d324d5095,LG+C60+G4+F,C-031,Afirmación+Objeto,REVISADA,Adjudicación explícita conservadora tras cotejo del valor con Afirmación+Objeto; no se heredaron todas las C de la fila.
data/tablas/02/table-01-2-1-2-por-que-el-modelo-cambia-el-arbol.csv,4,resultado publicado,0d308323dab172c7a8c12de9f95988b3fb14effc3059bc36c88a059146c7a590,rechazo de tres dominios,C-031,Afirmación,REVISADA,Adjudicación explícita conservadora tras cotejo del valor con Afirmación; no se heredaron todas las C de la fila.
data/tablas/02/table-01-2-1-2-por-que-el-modelo-cambia-el-arbol.csv,4,soporte transcrito,f63623175e52e90cf2b2eb28538788d823842ffa7abdcfe113f35caee9d4009d,AU = 0.036,C-031,Afirmación+Objeto,REVISADA,Adjudicación explícita conservadora tras cotejo del valor con Afirmación+Objeto; no se heredaron todas las C de la fila.
data/tablas/02/table-01-2-1-2-por-que-el-modelo-cambia-el-arbol.csv,4,interpretación limitada,329b88a40458600b7e2ef883680c28d5cade701ac3f1fb63276e1427b59edcfd,Bajo LG+C60+G4+F se rechazó la topología de tres dominios con AU = 0.036.,C-031,Afirmación+SPO+Motivo,REVISADA,Adjudicación explícita coordinada tras reformular la celda para repetir únicamente la proposición de C-031; no se heredó el rango de la fila.
data/tablas/02/table-01-2-1-2-por-que-el-modelo-cambia-el-arbol.csv,5,modelo o prueba,d2c307458a8f8e8c34e11ede8f31e6d319b3b664f76343e000e0a33b8355a852,CAT+GTR+G4,C-032,Afirmación+Sujeto,REVISADA,Adjudicación explícita conservadora tras cotejo del valor con Afirmación+Sujeto; no se heredaron todas las C de la fila.
data/tablas/02/table-01-2-1-2-por-que-el-modelo-cambia-el-arbol.csv,5,resultado publicado,4f56390452a2951b0400c920b6baab1069cd7b6961dccd66e20e57792a8e3d04,dos dominios,C-032,Afirmación+Sujeto,REVISADA,Adjudicación explícita conservadora tras cotejo del valor con Afirmación+Sujeto; no se heredaron todas las C de la fila.
data/tablas/02/table-01-2-1-2-por-que-el-modelo-cambia-el-arbol.csv,5,soporte transcrito,2e3e7cf3620267fa39b107d1e0e4dd63243ba0d44b36549b605c5adac7b6d92c,apoyo posterior máximo,C-032,Afirmación,REVISADA,Adjudicación explícita conservadora tras cotejo del valor con Afirmación; no se heredaron todas las C de la fila.
data/tablas/02/table-01-2-1-2-por-que-el-modelo-cambia-el-arbol.csv,5,interpretación limitada,b30a7e157b901bc33f05fad03d9d03a0a900fadc288fcbeed7258326256f1e2d,El resultado depende de un modelo sitio-heterogéneo.,C-032,Afirmación+SPO+Motivo+Resolución,REVISADA,Adjudicación semántica explícita: cada C indicada cubre este valor concreto; no se heredó la fila completa.
data/tablas/02/table-01-2-1-2-por-que-el-modelo-cambia-el-arbol.csv,6,modelo o prueba,8260344f3b5774a386b30a7691dc0e11129d8b860087b6189e1b94401ae79238,CAT con recodificación SR4,C-033,Afirmación,REVISADA,Adjudicación explícita conservadora tras cotejo del valor con Afirmación; no se heredaron todas las C de la fila.
data/tablas/02/table-01-2-1-2-por-que-el-modelo-cambia-el-arbol.csv,6,resultado publicado,4f56390452a2951b0400c920b6baab1069cd7b6961dccd66e20e57792a8e3d04,dos dominios,C-033,Afirmación+Sujeto,REVISADA,Adjudicación explícita conservadora tras cotejo del valor con Afirmación+Sujeto; no se heredaron todas las C de la fila.
data/tablas/02/table-01-2-1-2-por-que-el-modelo-cambia-el-arbol.csv,6,soporte transcrito,b849705c5b0fd54bc9f4c2326faca512e0a1b35389c13a909d34447472e2f791,PP = 0.98,C-033,Objeto,REVISADA,Adjudicación explícita conservadora tras cotejo del valor con Objeto; no se heredaron todas las C de la fila.
data/tablas/02/table-01-2-1-2-por-que-el-modelo-cambia-el-arbol.csv,6,interpretación limitada,b01a60f1bc8e918771f3d0b60c9805e9c799cf60e975ed0c289e182b60051f2a,La recodificación de aminoácidos (*amino-acid recoding*) fue una prueba contra sesgo composicional.,C-033,Afirmación+SPO+Motivo+Resolución,REVISADA,Adjudicación semántica explícita: cada C indicada cubre este valor concreto; no se heredó la fila completa.
data/tablas/02/table-01-2-1-2-por-que-el-modelo-cambia-el-arbol.csv,7,modelo o prueba,b864e07fd25239d9f9010d53a85c6ec2a67a4d27efa4d98eda48de49d845131b,21 proteínas universales; 43 arqueano-eucariotas; 125 genomas,C-034,Afirmación,REVISADA,Adjudicación explícita conservadora tras cotejo del valor con Afirmación; no se heredaron todas las C de la fila.
data/tablas/02/table-01-2-1-2-por-que-el-modelo-cambia-el-arbol.csv,7,resultado publicado,b15a692cdeb5724a07bdd5a4f7108ee2336ccb042c4dd6059009afc4cbc6328d,Eukaryota dentro de Asgard,C-035,Afirmación+SPO+Motivo+Resolución,REVISADA,Adjudicación semántica explícita: cada C indicada cubre este valor concreto; no se heredó la fila completa.
data/tablas/02/table-01-2-1-2-por-que-el-modelo-cambia-el-arbol.csv,7,soporte transcrito,dc5c688702f0053915618c4fb8fde41505ca9f51b148f9e58448c46b189b6f94,máximo para la asociación con Heimdallarchaeia; LC3 PP = 0.95,C-035; C-036,Afirmación+SPO+Motivo+Resolución,REVISADA,Adjudicación semántica explícita: cada C indicada cubre este valor concreto; no se heredó la fila completa.
data/tablas/02/table-01-2-1-2-por-que-el-modelo-cambia-el-arbol.csv,7,interpretación limitada,9909e9d0761cc10956c26ead7a3c07931fae671ab44754c6df04a4c64e5b1f84,La división asgard concreta fue modificada por estudios posteriores.,C-035,Afirmación+SPO+Motivo+Resolución,REVISADA,Adjudicación semántica explícita: cada C indicada cubre este valor concreto; no se heredó la fila completa.
data/tablas/02/table-02-2-2-1-quimica-de-membrana.csv,2,química de membrana coordinada,f61762bcada219b895e08cbe732b86f67f1d899d9938ffbaaa66f09225421fdf,isoprenoides–éter–glicerol-1-fosfato,C-052,Afirmación+SPO+Motivo,REVISADA,Adjudicación explícita coordinada tras reformular la celda para repetir únicamente la proposición de C-052; no se heredó el rango de la fila.
data/tablas/02/table-02-2-2-1-quimica-de-membrana.csv,3,química de membrana coordinada,a8078bafa7e20f57dbd44f9d8662301f59a4cadf00a1ec8238a98338ebcc2e22,ácidos grasos–éster–glicerol-3-fosfato,C-053,Afirmación+SPO+Motivo,REVISADA,Adjudicación explícita coordinada tras reformular la celda para repetir únicamente la proposición de C-053; no se heredó el rango de la fila.
