"clase o nombre relacionado","marca","evidencia celular localizada","ecología o metabolismo localizado","estado en esta sesión","filas"
"Asgardarchaeia","[F]","diez MAG de Guaymas/Pescadero","Para Asgardarchaeia se localizó un perfil genómico de procedencia y potencial metabólico en MAG de Guaymas y Pescadero.","reconstrucción genómica; no fisiología de cultivo","C-082–C-085; C-162; C-171"
"Atabeyarchaeia","[F]","dos genomas completos y metatranscriptómica de suelo de humedal","Para Atabeyarchaeia se localizaron dos genomas y evidencia metatranscriptómica de suelo de humedal.","evidencia genómica/transcriptómica; no aislamiento","C-082–C-085; C-163; C-171"
"Baldrarchaeia","[F]","MAG de agua de la fosa de Yap","Para Baldrarchaeia se localizó un perfil genómico de MAG de la fosa de Yap.","rutas y temperatura inferidas, no medidas en cultivo","C-082–C-085; C-164; C-171"
"Borrarchaeia","[F]","MAG de agua de la fosa de Yap","Para Borrarchaeia se localizó un perfil genómico de MAG de la fosa de Yap.","rutas y temperatura inferidas, no medidas en cultivo","C-082–C-085; C-165; C-171"
"Freyarchaeia","[F]","genoma completo y metatranscriptómica de humedal","Para Freyarchaeia se localizó un perfil genómico y metatranscriptómico de humedal.","perfil positivo; reconciliación nomenclatural pendiente","C-082–C-085; C-166; C-171"
"Heimdallarchaeia","[F] ⚠","MAG; observación CARD-FISH para Hodarchaeales afiliados","nichos microóxicos; potencial de respiración de O₂, hemo, ROS e hidrogenasas","muestreo metagenómico; 136 Heimdallarchaeia nuevos dentro de 404 MAG asgard","C-105–C-107; C-113; C-117–C-118"
"Hermodarchaeia","[F]","MAG","degradación potencial de alcanos y aromáticos","inferencia genómica","C-116"
"Hodarchaeia","[F] ⚠","MAG; células afiliadas observadas por CARD-FISH","temperatura óptima inferida; tamaño genómico mediano publicado","posición hermana de Eukaryota disputada","C-105–C-107; C-120–C-125; C-131"
"Jordiarchaeia/Jordarchaeia","[F]","MAG globales de sedimentos","Para Jordarchaeia/Jordiarchaeia se localizó un perfil genómico de MAG de sedimentos.","reconstrucción genómica; cotejar circunscripción con Freyarchaeia","C-082–C-085; C-167; C-171"
"Kariarchaeia","[F]","MAG del mar Rojo","Para Kariarchaeia se localizó un perfil genómico de MAG del mar Rojo.","potencial y temperatura inferidos; tamaño genómico mediano publicado","C-082–C-085; C-123; C-168; C-171"
"Lokiarchaeia","[F]","MAG; enriquecimiento de *Lokiarchaeum ossiferum*","La criotomografía de Lokiarchaeum ossiferum mostró un cuerpo celular con protrusiones ramificadas.","observación celular directa disponible para un enriquecimiento","C-079–C-080; C-102–C-104"
"Njordarchaeia","[F] ⚠","MAG","Zhang et al. detectaron en MAG atribuidos a Njordarchaeota fracciones de contigs afiliadas a TACK entre 22 % y 51 %.","algunos MAG cuestionados por quimerismo","C-121; C-123; C-130"
"Odinarchaeia","[F]","En la evidencia recuperada no se demostró la localización y función nativas de OdinTubulin en una célula de Odinarchaeota.","tubulina nativa demostrada en otros Asgard, no en Odinarchaeia [S531–S532]","localización y perturbación de OdinTubulin nativa pendientes","C-138, C-141; BN-002"
"Promethearchaeia","[F]","cocultivo puro de *Promethearchaeum syntrophicum*","catabolismo de aminoácidos y péptidos en sintrofía obligada","Promethearchaeum syntrophicum se mantiene en cocultivo puro con un metanógeno, pero no como cultivo axénico independiente.","C-092–C-100; C-172"
"Ranarchaeia","[F]","siete MAG de Guaymas, Bohai y cold seep","Para Ranarchaeia se localizaron perfiles genómicos de MAG de Guaymas, Bohai y un cold seep.","reconstrucción genómica; no fisiología de cultivo","C-082–C-085; C-169; C-171"
"Shennonarchaeia","[F]","registro nominal SeqCode bajo el nombre exacto","`NO LOCALIZADO EN ESTA SESIÓN` bajo el nombre exacto","fuente primaria ecológica/metabólica accesible pendiente; el registro no aporta fisiología","C-082–C-085; C-170; C-171; BN-004"
"Thorarchaeia","[F]","MAG","acetogénesis y reducción de azufre reconstruidas en sedimentos","potencial metabólico reconstruido en MAG; no fisiología medida","C-111"
"Sifarchaeia","≈ [F]","dos MAG en la fuente primaria localizada","polisacáridos y metilotrofia anaerobia","relación nomenclatural con la lista principal dependiente de circunscripción","C-084; C-115"
"Wukongarchaeia","≈ [F]","—","—","nombre alternativo o relacionado en el registro consultado","C-084–C-085"
