"clave","estado","hueco","términos exactos","resultado","filas relacionadas"
"BN-093","NO LOCALIZADO EN ESTA SESIÓN","Fósil diagnóstico o calibración segura de Filozoa o Choanozoa sensu stricto","`Filozoa fossil diagnostic`; `choanoflagellate animal common ancestor fossil`; `Apoikozoa fossil`","S500 describe un fósil putativo de coanoflagelado del Cenomaniano–Turoniano con célula, flagelo apical y sin collar preservado; la afinidad propuesta no constituye diagnóstico nodal ni calibración segura.","C-785"
"BN-095","NO LOCALIZADO EN ESTA SESIÓN","Temperatura media global mesoproterozoica comparable entre proxies","`Mesoproterozoic global mean temperature proxy estimate`; `Mesoproterozoic temperature quantitative reconstruction`","S501 estima 26,9 ± 0,4 °C para agua marina local de la Formación Xiamaling, aproximadamente a 1,36 Ga; no es una media global ni una síntesis homogénea entre proxies.","C-827"
"BN-096","NO LOCALIZADO EN ESTA SESIÓN","Serie homogénea de Mo, Fe, Cu, Zn, Ni y Co para todo el Proterozoico","`Proterozoic trace metal Mo Fe Cu Zn Ni Co quantitative time series`; `Proterozoic seawater trace metals compilation`","El Sedimentary Geochemistry and Paleoenvironments Project reúne mediciones heterogéneas de rocas sedimentarias, elementos, matrices y contextos; no constituye una curva homogénea de concentraciones del agua marina para los seis metales y todo el Proterozoico.","C-820"
"BN-097","NO LOCALIZADO EN ESTA SESIÓN","Fracciones de volumen y profundidades globales únicas para océano óxico, ferruginoso y euxínico","`global fraction oxic ferruginous euxinic Proterozoic ocean`; `Mesoproterozoic ocean redox area fraction`","S503 modela más de 54% del área del fondo marino bajo agua oxigenada durante el Miembro III de Gaoyuzhuang, aproximadamente a 1,57 Ga, y S189 modela áreas normalizadas de anoxia y euxinia; ninguno ofrece porcentajes de volumen, profundidades universales ni una partición cerrada de los tres estados.","C-813; C-842"
"BN-098","NO LOCALIZADO EN ESTA SESIÓN","Densidad celular de comunidades proterozoicas atribuibles al corredor","`Proterozoic microbial eukaryote cell density abundance estimate`; `Mesoproterozoic protist abundance cells`","S504 cuantifica ocurrencias y riqueza taxonómica de eucariotas proterozoicos; esas curvas no se convierten en células por volumen de agua ni aíslan comunidades del corredor.","C-835"
"BN-099","NO LOCALIZADO EN ESTA SESIÓN","Escala geográfica única de dispersión de eucariotas microbianos del corredor","`choanoflagellate biogeography distance population structure`; `filasterean dispersal population genetics`; `ichthyosporean biogeography`","S505 reconstruye distribuciones por estaciones, provincias y profundidad a partir de marcadores en el océano global, pero no estima distancias de dispersión ni una escala común a las poblaciones del corredor.","C-836"
"BN-100","NO LOCALIZADO EN ESTA SESIÓN","Umbral universal o EC50 de EroS","`EroS dose threshold Salpingoeca rosetta chondroitinase concentration`; `Vibrio fischeri EroS units mating dose`","S203 informa actividad inductora a 5 pM, la menor dosis activa ensayada; no es una EC50 ni un umbral universal fuera de esa cepa y protocolo.","C-865"
"BN-101","NO LOCALIZADO EN ESTA SESIÓN","Cinética comparable de reversión al retirar RIF-1, EroS o condiciones de agregación","`Salpingoeca rosetta RIF withdrawal reversibility`; `EroS washout mating reversal`; `Capsaspora aggregate reversal kinetics`","S427 cuantifica en Capsaspora inicio de agregación hacia 20 min, desagregación completa tras unas 26 h y reagregación hacia 10 min al reañadir suero; no hace comparables retirada de RIF-1, EroS y agregación entre protocolos.","C-930"
"BN-102","NO LOCALIZADO EN ESTA SESIÓN","Tasas comparables de ingestión y aclaramiento para todos los linajes solicitados","`Monosiga Salpingoeca clearance rate bacteria`; `apusomonad feeding rate`; `breviate ingestion rate`; `filasterean clearance rate`; `ichthyosporean feeding rate`","S506 mide 35–65 bacterias célula⁻¹ h⁻¹ para Salpingoeca asociada a diatomeas y S477 informa 0–3,1 bacterias individuo⁻¹ h⁻¹ para Choanoflagellida ambiental con microesferas; las presas, diseños y denominadores difieren y faltan medidas comparables para los demás linajes.","C-912; C-957–C-958"
"BN-108","NO LOCALIZADO EN ESTA SESIÓN","Tasa de división o tiempo de generación de un apusomonádido bajo condiciones cuantificadas","`Thecamonas trahens doubling time`; `Thecamonas trahens growth rate culture`; `apusomonad generation time`; `Apusomonadida cell division rate`","S519 da condiciones de mantenimiento y repique de Thecamonas trahens, no tiempo de generación; S507 describe distribución y alimentación de un apusomonádido sin publicar una curva de crecimiento con tasa comparable.","C-1619"
"BN-109","NO LOCALIZADO EN ESTA SESIÓN","Duración única aplicable a una transición redox de cualquier cuenca proterozoica","`Proterozoic basin redox transition duration kyr`; `ocean basin euxinic ferruginous transition timescale`; `how fast basin redox state changes Proterozoic`","S508 reconstruye oxigenación prolongada en un intervalo local de aproximadamente 1,4–1,3 Ga, pero el intervalo muestreado y sus proxies no equivalen a la duración universal de una transición de cuenca; los análogos cretácicos de S459 tampoco se transfieren como constante.","C-1634–C-1635"
"BN-112","NO LOCALIZADO EN ESTA SESIÓN","Recuento pan-eucariota de pérdidas independientes de fagocitosis con una codificación uniforme","`independent losses phagocytosis across eukaryotes count`; `phagocytosis loss ancestral state reconstruction eukaryotes`; `how many losses of phagotrophy eukaryotes`","S509 reconstruye cuatro transiciones independientes hacia especialización osmotrófica en Fungi, Teretosporea, Pseudofungi y Labyrinthulea; ese muestreo no es un inventario pan-eucariota uniforme de todas las pérdidas de fagocitosis.","C-1659"
