"table_id","origen","source_master_sha256","source_table_ordinal","source_start_line","source_end_line","source_header_sha256","canonical_path","transformaciones_documentadas"
"claims-00","maestro_v5","24c5495d85641d03a24c084a51a9b0b5887edf60d6698f94f19775c09c28cfe3","1","75","86","663b7fdb1869d38b78a433a05a8f16dc6942c3fbe5707ca49b7ff141683a2aea","data/afirmaciones/00.csv","Migración Markdown→CSV; correcciones bibliográficas, científicas y de claves registradas como delta en la auditoría 2026-08-08; no se exige igualdad byte a byte."
"claims-01","canónica_posterior","n/a","n/a","0","0","n/a","data/afirmaciones/01.csv","Tabla creada después del maestro v5; procedencia trazada por sus C/S y por las matrices de auditoría 2026-08-08."
"table-01-2-1-2-por-que-el-modelo-cambia-el-arbol","maestro_v5","24c5495d85641d03a24c084a51a9b0b5887edf60d6698f94f19775c09c28cfe3","2","155","162","46424e846554ecdcd941869aec13519e265ee8cfb0dc02609b2ca3ffcec5825e","data/tablas/02/table-01-2-1-2-por-que-el-modelo-cambia-el-arbol.csv","Migración Markdown→CSV; correcciones bibliográficas, científicas y de claves registradas como delta en la auditoría 2026-08-08; no se exige igualdad byte a byte."
"table-02-2-2-1-quimica-de-membrana","maestro_v5","24c5495d85641d03a24c084a51a9b0b5887edf60d6698f94f19775c09c28cfe3","3","190","194","15a427988943fb2283a32e53452c6ebf9bd42278448d4a8be46f3b365b11a390","data/tablas/02/table-02-2-2-1-quimica-de-membrana.csv","Migración Markdown→CSV; correcciones bibliográficas, científicas y de claves registradas como delta en la auditoría 2026-08-08; no se exige igualdad byte a byte. Cambio de cabecera documentado: conjunto celular | estereoisómero del glicerol | cadenas hidrófobas | enlace principal | relación con el problema | filas → conjunto celular | química de membrana coordinada | filas."
"table-03-2-2-3-soluciones-propuestas-y-estado-del-problema","maestro_v5","24c5495d85641d03a24c084a51a9b0b5887edf60d6698f94f19775c09c28cfe3","4","208","212","bbb9eb1804051851ded9791d284beef31a7fd905f80593dd02ef20608a3cc424","data/tablas/02/table-03-2-2-3-soluciones-propuestas-y-estado-del-problema.csv","Migración Markdown→CSV; correcciones bibliográficas, científicas y de claves registradas como delta en la auditoría 2026-08-08; no se exige igualdad byte a byte."
"table-04-2-4-2-divisiones-nombradas-y-clase-de-evidencia-localizada","maestro_v5","24c5495d85641d03a24c084a51a9b0b5887edf60d6698f94f19775c09c28cfe3","5","246","266","e2e45f6741f240dd1783b5837498901ad13bba19b69a980577f796bb110028d7","data/tablas/02/table-04-2-4-2-divisiones-nombradas-y-clase-de-evidencia-localizada.csv","Migración Markdown→CSV; correcciones bibliográficas, científicas y de claves registradas como delta en la auditoría 2026-08-08; no se exige igualdad byte a byte."
"table-05-2-7-proteinas-de-firma-eucariota-deteccion-y-funcion","maestro_v5","24c5495d85641d03a24c084a51a9b0b5887edf60d6698f94f19775c09c28cfe3","6","324","332","072ba38dfffc8e615bd865d68a175d405f1f8e814aad92e1c17bae618f02ea0c","data/tablas/02/table-05-2-7-proteinas-de-firma-eucariota-deteccion-y-funcion.csv","Migración Markdown→CSV; correcciones bibliográficas, científicas y de claves registradas como delta en la auditoría 2026-08-08; no se exige igualdad byte a byte."
"table-06-2-8-2-el-grupo-vivo-mas-proximo-no-esta-resuelto","maestro_v5","24c5495d85641d03a24c084a51a9b0b5887edf60d6698f94f19775c09c28cfe3","7","346","351","f5c22e93c62336abc91fa0375c6f1d35c139a2333ed9959b3682f87c6fb723d8","data/tablas/02/table-06-2-8-2-el-grupo-vivo-mas-proximo-no-esta-resuelto.csv","Migración Markdown→CSV; correcciones bibliográficas, científicas y de claves registradas como delta en la auditoría 2026-08-08; no se exige igualdad byte a byte."
"claims-02","maestro_v5","24c5495d85641d03a24c084a51a9b0b5887edf60d6698f94f19775c09c28cfe3","8","372","512","663b7fdb1869d38b78a433a05a8f16dc6942c3fbe5707ca49b7ff141683a2aea","data/afirmaciones/02.csv","Migración Markdown→CSV; correcciones bibliográficas, científicas y de claves registradas como delta en la auditoría 2026-08-08; no se exige igualdad byte a byte."
"table-08-3-1-1-etiquetas-y-alcance","maestro_v5","24c5495d85641d03a24c084a51a9b0b5887edf60d6698f94f19775c09c28cfe3","9","554","562","8f80d3c0473fa42052b94f6dce44cf7e7bf02cd02cf5386bdf373bab81ac70af","data/tablas/03/table-08-3-1-1-etiquetas-y-alcance.csv","Migración Markdown→CSV; correcciones bibliográficas, científicas y de claves registradas como delta en la auditoría 2026-08-08; no se exige igualdad byte a byte."
