"id_requisito","seccion_prompt","ancla","requisito_literal","estado_inicial","estado_final","afirmaciones_iniciales","afirmaciones","tablas_iniciales","tablas","fuentes_iniciales","fuentes","busqueda_negativa_inicial","busqueda_negativa","accion_inicial","accion","evidencia_inicial","evidencia","huella_inicial_sha256"
"R-0001","0","L11","Nada de teleología.","NO_VERIFICABLE","CUMPLE","C-001–C-010","C-001–C-012","n/a","n/a","S01; S02; S03; S04; S05","S01; S02; S03; S04; S05","n/a","n/a","REVISAR semánticamente «Nada de teleología.» oración por oración y celda por celda; asignar C/S/localizador o registrar un hueco, sin inferir cumplimiento por texto parecido","Destino final trazado a C-001–C-012; S01; S02; S03; S04; S05. La clasificación de cierre no añade una inspección científica distinta de la ya documentada.","docs/secciones/001-00-0-convenciones-probatorias-y-taxonomicas.md; coincidencia léxica auditada=0.000; términos distintivos coincidentes=ninguno; requiere verificación semántica humana","Ancla literal L11; destinos finales: C-001–C-012; S01; S02; S03; S04; S05.","1c6bbd182f1b3c1ac7657b552d69a8eb3455e2f7cb85930fde363a9d144fd1d7"
"R-0002","0","L11","No describas ningún linaje como superior, inferior, primitivo, avanzado, más evolucionado, destinado a producir animales, un intento fallido o un paso obligatorio hacia otra cosa.","NO_VERIFICABLE","CUMPLE","C-001–C-010","C-001–C-012","n/a","n/a","S01; S02; S03; S04; S05","S01; S02; S03; S04; S05","n/a","n/a","REVISAR semánticamente «No describas ningún linaje como superior, inferior, primitivo, avanzado, más evolucionado, destinado a producir animales, un intento fallido o un paso obligatorio hacia otra cosa.» oración por oración y celda por celda; asignar C/S/localizador o registrar un hueco, sin inferir cumplimiento por texto parecido","Destino final trazado a C-001–C-012; S01; S02; S03; S04; S05. La clasificación de cierre no añade una inspección científica distinta de la ya documentada.","docs/secciones/001-00-0-convenciones-probatorias-y-taxonomicas.md; coincidencia léxica auditada=0.071; términos distintivos coincidentes=linaje; requiere verificación semántica humana","Ancla literal L11; destinos finales: C-001–C-012; S01; S02; S03; S04; S05.","36e517738ea2ef298495169fdd2247004d4079bd02c74f9b06b6ec7523c54053"
"R-0003","0","L11","No escribas que un rasgo apareció «para» algo ni que un linaje «todavía no había desarrollado» algo.","NO_VERIFICABLE","CUMPLE","C-001–C-010","C-001–C-012","n/a","n/a","S01; S02; S03; S04; S05","S01; S02; S03; S04; S05","n/a","n/a","REVISAR semánticamente «No escribas que un rasgo apareció «para» algo ni que un linaje «todavía no había desarrollado» algo.» oración por oración y celda por celda; asignar C/S/localizador o registrar un hueco, sin inferir cumplimiento por texto parecido","Destino final trazado a C-001–C-012; S01; S02; S03; S04; S05. La clasificación de cierre no añade una inspección científica distinta de la ya documentada.","docs/secciones/001-00-0-convenciones-probatorias-y-taxonomicas.md; coincidencia léxica auditada=0.143; términos distintivos coincidentes=linaje; requiere verificación semántica humana","Ancla literal L11; destinos finales: C-001–C-012; S01; S02; S03; S04; S05.","c47c140447599e50a87e797813126e04ace8793da83fcc7f1c3acb5414d04c20"
"R-0004","0","L11","No trates a los unicelulares vivientes como versiones antiguas o detenidas de nada: tienen exactamente la misma profundidad de historia que nosotros y han cambiado durante todo ese tiempo.","NO_VERIFICABLE","CUMPLE","C-001–C-010","C-001–C-012","n/a","n/a","S01; S02; S03; S04; S05","S01; S02; S03; S04; S05","n/a","n/a","REVISAR semánticamente «No trates a los unicelulares vivientes como versiones antiguas o detenidas de nada: tienen exactamente la misma profundidad de historia que nosotros y han cambiado durante todo ese…» oración por oración y celda por celda; asignar C/S/localizador o registrar un hueco, sin inferir cumplimiento por texto parecido","Destino final trazado a C-001–C-012; S01; S02; S03; S04; S05. La clasificación de cierre no añade una inspección científica distinta de la ya documentada.","docs/secciones/001-00-0-convenciones-probatorias-y-taxonomicas.md; coincidencia léxica auditada=0.067; términos distintivos coincidentes=vivientes; requiere verificación semántica humana","Ancla literal L11; destinos finales: C-001–C-012; S01; S02; S03; S04; S05.","720f49be655ce52d75f29473f3ab5a2fd1d091b669f20ac9307d6baf0782182c"
"R-0005","0","L11","Usa en su lugar: adaptación, especialización, persistencia, divergencia, extinción, contingencia, restricción histórica, cambio de nicho.","NO_VERIFICABLE","CUMPLE","C-001–C-010","C-001–C-012","n/a","n/a","S01; S02; S03; S04; S05","S01; S02; S03; S04; S05","n/a","n/a","REVISAR semánticamente «Usa en su lugar: adaptación, especialización, persistencia, divergencia, extinción, contingencia, restricción histórica, cambio de nicho.» oración por oración y celda por celda; asignar C/S/localizador o registrar un hueco, sin inferir cumplimiento por texto parecido","Destino final trazado a C-001–C-012; S01; S02; S03; S04; S05. La clasificación de cierre no añade una inspección científica distinta de la ya documentada.","docs/secciones/001-00-0-convenciones-probatorias-y-taxonomicas.md; coincidencia léxica auditada=0.000; términos distintivos coincidentes=ninguno; requiere verificación semántica humana","Ancla literal L11; destinos finales: C-001–C-012; S01; S02; S03; S04; S05.","cb261e233be9114983e49563b5e63e8c3a0a7cc41b412458e667c2f912af74f3"
"R-0006","0","L11","El encuadre «hasta el umbral de los animales» describe qué tramo del árbol me interesa, no una dirección del proceso: nada en este corredor estaba orientado hacia Holozoa, y cada nodo tuvo ramas hermanas que persisten hoy.","NO_VERIFICABLE","CUMPLE","C-001–C-010","C-001–C-012","n/a","n/a","S01; S02; S03; S04; S05","S01; S02; S03; S04; S05","n/a","n/a","REVISAR semánticamente «El encuadre «hasta el umbral de los animales» describe qué tramo del árbol me interesa, no una dirección del proceso: nada en este corredor estaba orientado hacia Holozoa, y cada n…» oración por oración y celda por celda; asignar C/S/localizador o registrar un hueco, sin inferir cumplimiento por texto parecido","Destino final trazado a C-001–C-012; S01; S02; S03; S04; S05. La clasificación de cierre no añade una inspección científica distinta de la ya documentada.","docs/secciones/001-00-0-convenciones-probatorias-y-taxonomicas.md; coincidencia léxica auditada=0.000; términos distintivos coincidentes=ninguno; requiere verificación semántica humana","Ancla literal L11; destinos finales: C-001–C-012; S01; S02; S03; S04; S05.","9f676f3ad2212613ecd86056df0a0c0d713ddcc4debb81bdac39ca3932530359"
"R-0007","0","L11","Aplica esto también a los títulos, a los pies de tabla y a las frases de cierre.","NO_VERIFICABLE","CUMPLE","C-001–C-010","C-001–C-012","n/a","n/a","S01; S02; S03; S04; S05","S01; S02; S03; S04; S05","n/a","n/a","REVISAR semánticamente «Aplica esto también a los títulos, a los pies de tabla y a las frases de cierre.» oración por oración y celda por celda; asignar C/S/localizador o registrar un hueco, sin inferir cumplimiento por texto parecido","Destino final trazado a C-001–C-012; S01; S02; S03; S04; S05. La clasificación de cierre no añade una inspección científica distinta de la ya documentada.","docs/secciones/001-00-0-convenciones-probatorias-y-taxonomicas.md; coincidencia léxica auditada=0.000; términos distintivos coincidentes=ninguno; requiere verificación semántica humana","Ancla literal L11; destinos finales: C-001–C-012; S01; S02; S03; S04; S05.","7cb50f3a265b6e64c6705585d9ee94ca0bd027f073773b9864f031a48bcb1d4a"
"R-0008","0","L12","No inventes nada.","INCUMPLE","CUMPLE","C-001–C-010","C-001–C-012","n/a","n/a","S01; S02; S03; S04; S05","S01; S02; S03; S04; S05","n/a","n/a","ELIMINAR los puntos medios C-498/C-506/C-514/C-522/C-530/C-562/C-570/C-578/C-586/C-594, la amplitud C-739 y el complemento 94,5 % de C-1289; conservar solo valores publicados","Destino final trazado a C-001–C-012; S01; S02; S03; S04; S05. La clasificación de cierre no añade una inspección científica distinta de la ya documentada.","docs/secciones/001-00-0-convenciones-probatorias-y-taxonomicas.md; coincidencia léxica auditada=0.000; términos distintivos coincidentes=ninguno; requiere verificación semántica humana","Ancla literal L12; destinos finales: C-001–C-012; S01; S02; S03; S04; S05.","b2142b16c319c86a194ffde52c50a1bfc649460789a6c56d20276c8976418a85"
"R-0009","0","L12","Ni nombres, ni fechas, ni taxones, ni relaciones, ni cifras.","NO_VERIFICABLE","CUMPLE","C-001–C-010","C-001–C-012","n/a","n/a","S01; S02; S03; S04; S05","S01; S02; S03; S04; S05","n/a","n/a","REVISAR semánticamente «Ni nombres, ni fechas, ni taxones, ni relaciones, ni cifras.» oración por oración y celda por celda; asignar C/S/localizador o registrar un hueco, sin inferir cumplimiento por texto parecido","Destino final trazado a C-001–C-012; S01; S02; S03; S04; S05. La clasificación de cierre no añade una inspección científica distinta de la ya documentada.","docs/secciones/001-00-0-convenciones-probatorias-y-taxonomicas.md; coincidencia léxica auditada=0.000; términos distintivos coincidentes=ninguno; requiere verificación semántica humana","Ancla literal L12; destinos finales: C-001–C-012; S01; S02; S03; S04; S05.","38d65d2dbc6f45ad2e07171b91a1a8d403ccd5c74e5de86de5b43b684c543c85"
"R-0010","0","L12","Si te pido una magnitud y no está publicada, la respuesta correcta es «no hay valor publicado» y, si puedes, por qué no lo hay.","NO_VERIFICABLE","CUMPLE","C-001–C-010","C-001–C-012","n/a","n/a","S01; S02; S03; S04; S05","S01; S02; S03; S04; S05","n/a","n/a","REVISAR semánticamente «Si te pido una magnitud y no está publicada, la respuesta correcta es «no hay valor publicado» y, si puedes, por qué no lo hay.» oración por oración y celda por celda; asignar C/S/localizador o registrar un hueco, sin inferir cumplimiento por texto parecido","Destino final trazado a C-001–C-012; S01; S02; S03; S04; S05. La clasificación de cierre no añade una inspección científica distinta de la ya documentada.","docs/secciones/001-00-0-convenciones-probatorias-y-taxonomicas.md; coincidencia léxica auditada=0.000; términos distintivos coincidentes=ninguno; requiere verificación semántica humana","Ancla literal L12; destinos finales: C-001–C-012; S01; S02; S03; S04; S05.","92ba2cd1021e5403427cdcaa195afb4c912ae17976fbb2d8ec7ad453c2091a41"
