"clave","estado","hueco","términos exactos utilizados","resultado y motivo"
"BN-077","NO LOCALIZADO EN ESTA SESIÓN","Coste energético de mantener rosetas de Salpingoeca rosetta","""Salpingoeca rosetta rosette energetic cost ATP""; ""choanoflagellate colony maintenance oxygen consumption""; ""rosette growth rate cost""","Se localizaron geometría, inducción y morfogénesis, no un presupuesto energético por roseta."
"BN-078","NO LOCALIZADO EN ESTA SESIÓN","Tramposos y castigo en agregados de Capsaspora owczarzaki","""Capsaspora cheater cheating aggregation selection""; ""Capsaspora social conflict policing""","No se localizó evolución experimental de tramposos ni un mecanismo de castigo."
"BN-079","NO LOCALIZADO EN ESTA SESIÓN","Tramposos y castigo en agregados de Ministeria vibrans","""Ministeria vibrans cheater aggregation conflict""; ""Ministeria social evolution kin selection""","El sistema de agregación se publicó en 2026 y no se localizaron ensayos de conflicto genético."
"BN-080","NO LOCALIZADO EN ESTA SESIÓN","Tamaño de genoma y densidad de intrones de Ministeria vibrans en la versión del estudio de agregación","""Ministeria vibrans genome size introns 12127 genes""; ""Ministeria vibrans genome assembly statistics""","Se localizó el número de genes usado, no una tabla homogénea con tamaño e intrones."
"BN-081","NO LOCALIZADO EN ESTA SESIÓN","Métricas homogéneas de Thecamonas trahens","""Thecamonas trahens genome size gene count intron density""; ""GCA_000142905.1 annotation statistics""","Se recuperó el ensamblaje, no una publicación con las tres métricas solicitadas."
"BN-082","NO LOCALIZADO EN ESTA SESIÓN","Coste energético de matriz extracelular en holozoos unicelulares","""unicellular holozoan extracellular matrix energetic cost""; ""Capsaspora ECM biosynthesis ATP cost""","Las fuentes informan dominios, expresión y morfología, no presupuestos comparables."
"BN-083","LA LITERATURA DECLARA QUE NO SE SABE","Coste comparable de rutas clonal, agregativa y cenocítica","""cost comparison clonal aggregative coenocytic multicellularity""; ""energetic costs routes to multicellularity""","Las revisiones señalan compensaciones distintas y ausencia de una métrica común."
"BN-084","NO LOCALIZADO EN ESTA SESIÓN","Recuento único de orígenes por subtipo de multicelularidad","""independent origins clonal aggregative coenocytic multicellularity count""; ""how many origins aggregative multicellularity""","Los recuentos cambian con definición de colonia, agregado, cenocito y nivel taxonómico."
"BN-085","NO LOCALIZADO EN ESTA SESIÓN","Coste de inversión y agregación de Choanoeca flexa","""Choanoeca flexa energetic cost inversion aggregation""; ""Choanoeca flexa growth tradeoff salinity""","Se localizaron salinidad, cinética y morfología, no ATP ni tasa respiratoria por lámina."
"BN-086","NO LOCALIZADO EN ESTA SESIÓN","Coste por ciclo de celularización de Sphaeroforma arctica","""Sphaeroforma arctica cellularization energetic cost ATP""; ""Sphaeroforma oxygen consumption cellularization""","Se localizaron actomiosina y relación núcleo-citoplasma, no balance energético."
"BN-087","NO LOCALIZADO EN ESTA SESIÓN","Densidad de intrones de Salpingoeca rosetta en una unidad directamente comparable","""Salpingoeca rosetta introns per gene table""; ""Salpingoeca rosetta intron density CDS kbp""","La sesión recuperó tamaño, genes y soporte transcriptómico; no una cifra homogénea para la tabla."
"BN-088","NO BUSCADO","Topología interna y repertorios de Metazoa","Excluido por el alcance original.","Metazoa entra únicamente como nombre terminal."
"BN-089","NO LOCALIZADO EN ESTA SESIÓN","Correspondencia de estadios de Capsaspora con tipos celulares animales concretos","""Capsaspora stage homologous animal cell type""; ""temporal spatial transition Capsaspora direct homology""","Las fuentes proponen cooptación regulatoria, no equivalencias uno a uno."
"BN-090","NO LOCALIZADO EN ESTA SESIÓN","Valor de aptitud de agregación de Ministeria en competencia prolongada","""Ministeria vibrans aggregation fitness competition generations""; ""Ministeria aggregate selection coefficient""","Se localizaron beneficios funcionales propuestos, no coeficientes de selección."
