"id_segmento","tipo","ruta","localizador","columna","contenido","sha256_contenido","afirmaciones","metodo_mapeo","estado_revision"
"TC-00001","prosa","docs/secciones/001-00-0-convenciones-probatorias-y-taxonomicas.md","L5","n/a","La clasificación eucariota de esta parte adopta como autoridad taxonómica operativa la revisión de Adl et al. 2019. [C-001; S01 clasificación]","035bd7c8bb0a567e6d7af88ea49b2ef38e9ce04668a55f45016f50c0d83622c4","C-001","cita_en_segmento","REVISADA"
"TC-00002","prosa","docs/secciones/001-00-0-convenciones-probatorias-y-taxonomicas.md","L7","n/a","Los nombres cronoestratigráficos se contrastan con la Tabla Cronoestratigráfica Internacional, versión 2026/06 localizada para este corte. [C-002; S02 descripción de metadatos; encabezado de versión]","64921fb57fc368ae1df7f1d6fedcd2ca4b90a28504a1ed841b82adf8db7d7c38","C-002","cita_en_segmento","REVISADA"
"TC-00003","prosa","docs/secciones/001-00-0-convenciones-probatorias-y-taxonomicas.md","L9","n/a","EukProt aporta el conjunto publicado de 993 especies eucariotas usado como referencia genómica. [C-003; S03 resumen; Data set description] PR2 se trata como base curada de secuencias SSU rRNA con taxonomía asociada. [C-004; S04 resumen] UniEuk se trata como marco comunitario para armonizar nombres, conceptos taxonómicos y datos, no como código nomenclatural vinculante. [C-005; S05 tesis general]","8b2217807c05707a3ba8783f82a5ab991ff7ebae062c5ff2825e448c26775fa2","C-003; C-004; C-005","cita_en_segmento","REVISADA"
"TC-00004","prosa","docs/secciones/001-00-0-convenciones-probatorias-y-taxonomicas.md","L13","n/a","Un genoma ensamblado a partir de metagenomas (*metagenome-assembled genome*, MAG) reconstruye secuencias desde una comunidad y no constituye por sí mismo una observación de la célula, su morfología ni su fisiología en cultivo. [C-006; n/a]","791e025ab16afc0ebbeb49ff9f672be355827dc6f5351e751834246122932603","C-006","cita_en_segmento","REVISADA"
"TC-00005","prosa","docs/secciones/001-00-0-convenciones-probatorias-y-taxonomicas.md","L15","n/a","Un cultivo axénico (*axenic culture*) contiene un solo organismo. [C-007] Un cocultivo (*co-culture*) mantiene dos o más organismos juntos; un cultivo de enriquecimiento (*enrichment culture*) aumenta la proporción de un organismo sin garantizar que sea el único. [C-007; C-008–C-009; n/a]","9a490e5b77d932f5d8185b483fc4ce0c333ee1b6613cf9a73c98d5acf14b19ec","C-008; C-009; C-007","cita_en_segmento","REVISADA"
"TC-00006","prosa","docs/secciones/001-00-0-convenciones-probatorias-y-taxonomicas.md","L17","n/a","En esta parte, la evidencia genómica reconstruida desde una comunidad se mantiene separada de la evidencia procedente de cultivos axénicos, cocultivos y cultivos de enriquecimiento. [C-006–C-009; glosa documental]","c1324b7ccfca7eb201353e70c2a5b6e64622d22acc8f994cdda6d3e5757b488e","C-006; C-007; C-008; C-009","cita_en_segmento","REVISADA"
"TC-00007","prosa","docs/secciones/001-00-0-convenciones-probatorias-y-taxonomicas.md","L21","n/a","*Grupo corona* (*crown group*) designa aquí el último ancestro común de todos los representantes vivientes de un grupo y todos sus descendientes. [C-010; n/a]","b9923350b25e69ce4671537dcd85a615b8ce83b0cf023a27bc6a4a5734e63cf2","C-010","cita_en_segmento","REVISADA"
"TC-00008","prosa","docs/secciones/001-00-0-convenciones-probatorias-y-taxonomicas.md","L23","n/a","*Grupo tronco* (*stem group*) reúne linajes extinguidos más próximos a ese grupo corona que a cualquier grupo corona viviente externo. [C-011; n/a]","e129c344e5734cbaac642f5ac69ba73e6fe41d07c09925e79049811d999e0387","C-011","cita_en_segmento","REVISADA"
"TC-00009","prosa","docs/secciones/001-00-0-convenciones-probatorias-y-taxonomicas.md","L25","n/a","*Grupo total* (*total group*) es la suma del grupo corona y su grupo tronco. [C-012; n/a]","4ee433500e4e47102a4dd7258332430cab8dfcb8f8888f4c0252f73c9eda01b1","C-012","cita_en_segmento","REVISADA"
"TC-00010","prosa","docs/secciones/001-00-0-convenciones-probatorias-y-taxonomicas.md","L27; oración 2","n/a","Un fósil no entra en un tallo por ser antiguo, y un linaje viviente no puede convertirse en troncal respecto de otro linaje viviente por conservar una combinación particular de rasgos. [C-010–C-012; glosa documental]","d248632db03180dda6c2d31405e808dd1be6ff0d0d7793cdeae0ad502b308730","C-010; C-011; C-012","cita_en_segmento","REVISADA"
