"clave","estado","elemento","términos exactos buscados","resultado"
"BN-059","NO LOCALIZADO EN ESTA SESIÓN","Ciclo sexual observado de Capsaspora owczarzaki","""Capsaspora owczarzaki"" mating meiosis sexual cycle observed; Capsaspora karyogamy gametes; Capsaspora sex culture","Se localizaron repertorios genómicos y ciclos de agregación, no observación completa de sexo."
"BN-060","NO LOCALIZADO EN ESTA SESIÓN","Coste energético de un episodio sexual en holozoos unicelulares","choanoflagellate mating ATP cost; protist sex energetic cost per mating; Capsaspora meiosis energy budget","Las fuentes recuperadas discuten costes generales, no un presupuesto por episodio en esos linajes."
"BN-061","NO LOCALIZADO EN ESTA SESIÓN","Coste de encontrar pareja en Salpingoeca rosetta","Salpingoeca rosetta mate finding cost encounter rate field mating; choanoflagellate mating search time natural","Se localizaron inducciones en cultivo, no tasas naturales de encuentro ni coste de oportunidad."
"BN-062","NO LOCALIZADO EN ESTA SESIÓN","Secuencia sexual completa en Sphaeroforma, Creolimax, Abeoforma o Pirum","Sphaeroforma arctica sex meiosis mating; Creolimax fragrantissima sexual cycle; Abeoforma meiosis; Pirum sex karyogamy","Se localizaron ciclos celulares y revisiones de Ichthyosporea, no la secuencia completa solicitada."
"BN-063","NO LOCALIZADO EN ESTA SESIÓN","Reversibilidad temporal del efecto de EroS","EroS washout reversibility Salpingoeca mating cessation recovery; chondroitinase induced mating reversible","No se localizó un ensayo de retirada con tiempo de retorno cuantificado."
"BN-064","NO LOCALIZADO EN ESTA SESIÓN","Integración molecular de limitación nutricional y EroS","Salpingoeca nutrient limitation EroS pathway integration mating signaling receptor","Se localizaron dos condiciones inductoras, no una vía común demostrada."
"BN-065","LA LITERATURA DECLARA QUE NO SE SABE","Señal ambiental del sexo en LECA","LECA sexual cue ancestral environment mating signal; origin eukaryotic sex environmental trigger","Las revisiones declaran que el ciclo y la ecología de LECA no pueden reconstruirse con esa resolución."
"BN-066","NO LOCALIZADO EN ESTA SESIÓN","Duración total de meiosis en Salpingoeca rosetta","Salpingoeca rosetta meiosis duration hours haploid progeny time; choanoflagellate meiotic division timing","Se localizaron tiempos de enjambre y fusión, no duración completa de meiosis."
"BN-067","NO LOCALIZADO EN ESTA SESIÓN","Coste cuantitativo de la anisogamia en Salpingoeca rosetta","Salpingoeca rosetta anisogamy gamete size cost fecundity tradeoff measurements","Se localizó dimorfismo observado, no un balance cuantitativo de costes y beneficios."
"BN-068","NO BUSCADO","Topología interna de Metazoa y evolución de gametos animales","n/a","Metazoa es terminal por restricción expresa del encargo."
