"table_id","categoría","sección","título","ruta CSV","filas","columnas","política en informe de lectura","línea inicial en maestro v5","línea final en maestro v5"
"claims-00","claims","0","0.3. Registro de afirmaciones de la sección 0","data/afirmaciones/00.csv","12","12","link","75","86"
"claims-01","claims","1","1.1. Registro de afirmaciones de la sección 1","data/afirmaciones/01.csv","4","12","link","0","0"
"table-01-2-1-2-por-que-el-modelo-cambia-el-arbol","summary","2","2.1.2. Por qué el modelo cambia el árbol","data/tablas/02/table-01-2-1-2-por-que-el-modelo-cambia-el-arbol.csv","6","6","inline","155","162"
"table-02-2-2-1-quimica-de-membrana","summary","2","2.2.1. Química de membrana","data/tablas/02/table-02-2-2-1-quimica-de-membrana.csv","3","3","inline","190","194"
"table-03-2-2-3-soluciones-propuestas-y-estado-del-problema","summary","2","2.2.3. Soluciones propuestas y estado del problema","data/tablas/02/table-03-2-2-3-soluciones-propuestas-y-estado-del-problema.csv","3","6","inline","208","212"
"table-04-2-4-2-divisiones-nombradas-y-clase-de-evidencia-localizada","summary","2","2.4.2. Divisiones nombradas y clase de evidencia localizada","data/tablas/02/table-04-2-4-2-divisiones-nombradas-y-clase-de-evidencia-localizada.csv","19","6","inline","246","266"
"table-05-2-7-proteinas-de-firma-eucariota-deteccion-y-funcion","summary","2","2.7. Proteínas de firma eucariota: detección y función","data/tablas/02/table-05-2-7-proteinas-de-firma-eucariota-deteccion-y-funcion.csv","7","6","inline","324","332"
"table-06-2-8-2-el-grupo-vivo-mas-proximo-no-esta-resuelto","summary","2","2.8.2. El grupo vivo más próximo no está resuelto","data/tablas/02/table-06-2-8-2-el-grupo-vivo-mas-proximo-no-esta-resuelto.csv","4","5","inline","346","351"
"claims-02","claims","2","2.10. Registro de afirmaciones de la sección 2","data/afirmaciones/02.csv","156","12","link","372","512"
"table-08-3-1-1-etiquetas-y-alcance","summary","3","3.1.1. Etiquetas y alcance","data/tablas/03/table-08-3-1-1-etiquetas-y-alcance.csv","7","4","inline","554","562"
"table-09-3-2-7-matriz-de-caracteres-y-metodo-de-inferencia","summary","3","3.2.7. Matriz de caracteres y método de inferencia","data/tablas/03/table-09-3-2-7-matriz-de-caracteres-y-metodo-de-inferencia.csv","11","4","inline","730","742"
"table-10-3-3-orden-de-los-eventos-mitocondria-y-fagotrofia","summary","3","3.3. Orden de los eventos: mitocondria y fagotrofia","data/tablas/03/table-10-3-3-orden-de-los-eventos-mitocondria-y-fagotrofia.csv","7","4","inline","770","777"
"table-11-3-4-7-comparacion-del-montaje-inicial","summary","3","3.4.7. Comparación del montaje inicial","data/tablas/03/table-11-3-4-7-comparacion-del-montaje-inicial.csv","6","9","inline","926","933"
"table-12-3-5-5-comparacion-de-los-modelos-nucleares","summary","3","3.5.5. Comparación de los modelos nucleares","data/tablas/03/table-12-3-5-5-comparacion-de-los-modelos-nucleares.csv","4","7","inline","1007","1012"
"table-13-3-7-matriz-de-compatibilidad","summary","3","3.7. Matriz de compatibilidad","data/tablas/03/table-13-3-7-matriz-de-compatibilidad.csv","55","6","inline","1049","1105"
"claims-03","claims","3","3.9. Registro de afirmaciones","data/afirmaciones/03.csv","258","12","link","1141","1397"
"table-15-4-2-8-comparacion-de-las-raices","summary","4","4.2.8. Comparación de las raíces","data/tablas/04/table-15-4-2-8-comparacion-de-las-raices.csv","7","6","inline","1532","1540"
