"clave","etiqueta","hueco","términos exactos o fundamento"
"BN-020","NO LOCALIZADO EN ESTA SESIÓN","sinapomorfía morfológica exclusiva de Amorphea","""Amorphea morphological synapomorphy""; ""Amorphea ultrastructural synapomorphy"""
"BN-021","NO LOCALIZADO EN ESTA SESIÓN","edad nodal específica de Amorphea con intervalo y calibraciones verificables","""Amorphea divergence time molecular clock confidence interval"""
"BN-022","NO LOCALIZADO EN ESTA SESIÓN","edad de Amoebozoa que pudiera integrarse sin reabrir la sección 6","""Amoebozoa crown age relaxed clock calibration interval"""
"BN-023","NO LOCALIZADO EN ESTA SESIÓN","edad de Obazoa","""Obazoa divergence time molecular clock"""
"BN-024","NO LOCALIZADO EN ESTA SESIÓN","sinapomorfía morfológica exclusiva de Obazoa","""Obazoa morphological synapomorphy""; ""Obazoa ultrastructure synapomorphy"""
"BN-025","NO LOCALIZADO EN ESTA SESIÓN","edad de Apusomonadida","""Apusomonadida divergence time molecular clock"""
"BN-026","NO LOCALIZADO EN ESTA SESIÓN","edad de Breviatea","""Breviatea divergence time molecular clock"""
"BN-027","NO LOCALIZADO EN ESTA SESIÓN","sinapomorfía morfológica exclusiva de Holomycota","""Holomycota morphological synapomorphy"""
"BN-028","NO LOCALIZADO EN ESTA SESIÓN","sinapomorfía morfológica exclusiva de Holozoa","""Holozoa morphological synapomorphy"""
"BN-029","NO LOCALIZADO EN ESTA SESIÓN","edad de Ichthyosporea con intervalo y método","""Ichthyosporea divergence time molecular clock confidence interval"""
"BN-030","NO LOCALIZADO EN ESTA SESIÓN","edad de Pluriformea","""Pluriformea divergence time molecular clock"""
"BN-031","NO LOCALIZADO EN ESTA SESIÓN","edad de Corallochytrea","""Corallochytrea divergence time"""
"BN-032","NO LOCALIZADO EN ESTA SESIÓN","edad de Filasterea","""Filasterea divergence time molecular clock"""
"BN-033","NO LOCALIZADO EN ESTA SESIÓN","edad de Filozoa","""Filozoa divergence time molecular clock"""
"BN-034","LA LITERATURA DECLARA QUE NO SE SABE","raíz interna de Holozoa unicelular","S126 Results: señales débiles e incongruentes entre matrices y concordancia"
"BN-035","NO BUSCADO","topología interna de Metazoa","Fuera de alcance por restricción expresa del encargo"
"BN-036","NO LOCALIZADO EN ESTA SESIÓN","estudio filogenómico moderno que defina una raíz estrictamente Amorphea/Diaphoretickes incluyendo Excavata, CRuMs, Ancyromonadida y Malawimonadida","""root between Amorphea and Diaphoretickes""; ""Amorphea-Diaphoretickes root""; ""Amorphea bikont rooting"""
