"clave_inicial","clave_final","metadatos_iniciales","metadatos_finales","identidad_bibliografica","tipo_inicial","tipo_final","estado_editorial","acceso","doi_url_inicial","doi_url_final","uso_inicial","uso_final","soporte_unico_inicial","soporte_unico_final","correcciones_retractaciones","veredicto_inicial","veredicto","severidad_inicial","accion_inicial","accion_final","evidencia_auditoria_inicial","evidencia_final","estado_hallazgo","fecha_verificacion","huella_inicial_sha256","huella_corpus_inicial_sha256","huella_final_sha256"
"S01","S01","CROSSREF VERIFICADA: título=Revisions to the Classification, Nomenclature, and Diversity of Eukaryotes; autores=Sina M. Adl; David Bass; Christopher E. Lane; Julius Lukeš; Conrad L. Schoch; Alexey Smirnov; Sabine Agatha; Cedric Berney; Matthew W. Brown; Fabien Burki; Paco Cárdenas; Ivan Čepička; Lyudmila Chistyakova; Javier del Campo; Micah Dunthorn; Bente Edvardsen; Yana Eglit; Laure Guillou; Vladimír Hampl; Aaron A. Heiss; Mona Hoppenrath; Timothy Y. James; Anna Karnkowska; Sergey Karpov; Eunsoo Kim; Martin Kolisko; Alexander Kudryavtsev; Daniel J.G. Lahr; Enrique Lara; Line Le Gall; Denis H. Lynn; David G. Mann; Ramon Massana; Edward A.D. Mitchell; Christine Morrow; Jong Soo Park; Jan W. Pawlowski; Martha J. Powell; Daniel J. Richter; Sonja Rueckert; Lora Shadwick; Satoshi Shimano; Frederick W. Spiegel; Guifré Torruella; Noha Youssef; Vasily Zlatogursky; Qianqian Zhang; año=2019; contenedor=Journal of Eukaryotic Microbiology; publisher=Wiley","autores=Adl, S. M. et al.; año=2019; título=Revisions to the Classification, Nomenclature, and Diversity of Eukaryotes; publicación=Journal of Eukaryotic Microbiology 66:4–119","COINCIDE (similitud_título=1.000; primer_autor=coincide; año=coincide)","registrado=revisión; metadato externo=journal-article","revisión","Crossref relation={}; update-to=[]; requiere Crossmark/editor para exhaustividad","METADATOS VERIFICADOS; TEXTO COMPLETO/PASAJE NO INSPECCIONADO EN ESTA PASADA","https://doi.org/10.1111/jeu.12691","https://doi.org/10.1111/jeu.12691","56 afirmaciones; 41 referencias con texto posterior a la clave (heurística; no valida el pasaje)","57 afirmaciones finales","SI: soporte único de 10 afirmaciones","SI: única S de 10 afirmaciones","Crossref relation={}; update-to=[]; requiere Crossmark/editor para exhaustividad","CORREGIR","CORREGIDA","P2","ETIQUETAR en notas de calidad: soporte único de 10 afirmaciones, o añadir corroboración","METADATOS/NOTAS ACTUALIZADOS y uso final recalculado.","GET api.crossref.org/works/10.1111/jeu.12691: HTTP 200; metadatos sí; pasaje citado no inspeccionado","57 C finales citan la fuente; 10 tienen esta S como única S. No se infiere inspección de texto completo desde este recuento.","CERRADO","2026-08-08","f6e908cd6960df815ec36301c59d44d8c91316d8c5c9d7964f792b57226aad6f","85911d64a69b715f5523ea30dd8ad0449de99b081cc3e071d7d8584dcfff7567","d4e294ff49a1c7e1dfdf7161956610d2702f3e03fc836bad9ce1e3f7e9e72175"
"S02","S02","URL OFICIAL/EDITORIAL HTTP 200; título HTML=no expuesto; URL final=https://stratigraphy.org/chart/","autores=International Commission on Stratigraphy; año=2026; título=International Chronostratigraphic Chart, version 2026/06; publicación=International Commission on Stratigraphy","NO VERIFICABLE (similitud_título=0.000; metadatos HTML incompletos posibles)","registrado=otro; metadato externo=no inferido desde URL","otro","SIN ALERTA AUTOMÁTICA LOCALIZADA; Crossref no sustituye Crossmark ni revisión editorial manual","PÁGINA/ARCHIVO RESOLUBLE (text/html; charset=utf-8); pasaje no inspeccionado sistemáticamente","https://stratigraphy.org/chart/","https://stratigraphy.org/chart/","3 afirmaciones; 3 referencias con texto posterior a la clave (heurística; no valida el pasaje)","3 afirmaciones finales","SI: soporte único de 3 afirmaciones","SI: única S de 3 afirmaciones","SIN ALERTA AUTOMÁTICA LOCALIZADA; Crossref no sustituye Crossmark ni revisión editorial manual","CORREGIR","CORREGIDA","P2","ETIQUETAR en notas de calidad: soporte único de 3 afirmaciones, o añadir corroboración","METADATOS/NOTAS ACTUALIZADOS y uso final recalculado.","GET https://stratigraphy.org/chart/: HTTP 200; metadatos de página sí; pasaje citado no inspeccionado","3 C finales citan la fuente; 3 tienen esta S como única S. No se infiere inspección de texto completo desde este recuento.","CERRADO","2026-08-08","8f4d03c5ba12d55e0e26c0f03735ac5a9192eaf9eb113ff68b22c638a2c59e4a","f57d6d9b5b1ac05dbc11df7a9bc3dcf52e39e208e6adcca9814d11ecf17ff5ca","af468128cba0c8b6b3d540d826adde4eacf5ead465f1e84eb4df6419ed0c3cea"
"S03","S03","CROSSREF VERIFICADA: título=EukProt: A database of genome-scale predicted proteins across the diversity of eukaryotes; autores=Daniel J. Richter; Cédric Berney; Jürgen F. H. Strassert; Yu-Ping Poh; Emily K. Herman; Sergio A. Muñoz-Gómez; Jeremy G. Wideman; Fabien Burki; Colomban de Vargas; año=2022; contenedor=Peer Community Journal; publisher=Peer Community In","autores=Richter, D. J. et al.; año=2022; título=EukProt: a database of genome-scale predicted proteins across the diversity of eukaryotes; publicación=Peer Community Journal 2:e56","COINCIDE (similitud_título=1.000; primer_autor=coincide; año=coincide)","registrado=base de datos taxonómica; metadato externo=journal-article","base de datos taxonómica","Crossref relation={""has-preprint"":[{""asserted-by"":""subject"",""id"":""10.1101/2020.06.30.180687"",""id-type"":""doi""},{""asserted-by"":""object"",""id"":""10.1101/2020.06.30.180687"",""id-type"":""doi""}],""has-review"":[{""asserted-by"":""subject"",""id"":""10.24072/pci.genomics.100021"",""id-type"":""doi""}]}; update-to=[]; requiere Crossmark/editor para exhaustividad","METADATOS VERIFICADOS; TEXTO COMPLETO/PASAJE NO INSPECCIONADO EN ESTA PASADA","https://doi.org/10.24072/pcjournal.173","https://doi.org/10.24072/pcjournal.173","2 afirmaciones; 2 referencias con texto posterior a la clave (heurística; no valida el pasaje)","2 afirmaciones finales","SI: soporte único de 2 afirmaciones","SI: única S de 2 afirmaciones","Crossref relation={""has-preprint"":[{""asserted-by"":""subject"",""id"":""10.1101/2020.06.30.180687"",""id-type"":""doi""},{""asserted-by"":""object"",""id"":""10.1101/2020.06.30.180687"",""id-type"":""doi""}],""has-review"":[{""asserted-by"":""subject"",""id"":""10.24072/pci.genomics.100021"",""id-type"":""doi""}]}; update-to=[]; requiere Crossmark/editor para exhaustividad","CORREGIR","CORREGIDA","P2","ETIQUETAR en notas de calidad: soporte único de 2 afirmaciones, o añadir corroboración","METADATOS/NOTAS ACTUALIZADOS y uso final recalculado.","GET api.crossref.org/works/10.24072/pcjournal.173: HTTP 200; metadatos sí; pasaje citado no inspeccionado","2 C finales citan la fuente; 2 tienen esta S como única S. No se infiere inspección de texto completo desde este recuento.","CERRADO","2026-08-08","3ab75aff851aa27d90729c099a259ff4a9f2a937a17a0049f637b8d448e0c451","b91b167a9b79c2afebbb6964c8dec81003bcff67a9844be5f607af5dce4dfc65","558d1768126e39c2bde1f858b8959e6b252b418ce0d42dcfc89e1d84c6362a34"
"S04","S04","CROSSREF VERIFICADA: título=The Protist Ribosomal Reference database (PR2): a catalog of unicellular eukaryote Small Sub-Unit rRNA sequences with curated taxonomy; autores=Laure Guillou; Dipankar Bachar; Stéphane Audic; David Bass; Cédric Berney; Lucie Bittner; Christophe Boutte; Gaétan Burgaud; Colomban de Vargas; Johan Decelle; Javier del Campo; John R. Dolan; Micah Dunthorn; Bente Edvardsen; Maria Holzmann; Wiebe H.C.F. Kooistra; Enrique Lara; Noan Le Bescot; Ramiro Logares; Frédéric Mahé; Ramon Massana; Marina Montresor; Raphael Morard; Fabrice Not; Jan Pawlowski; Ian Probert; Anne-Laure Sauvadet; Raffaele Siano; Thorsten Stoeck; Daniel Vaulot; Pascal Zimmermann; Richard Christen; año=2012; contenedor=Nucleic Acids Research; publisher=Oxford University Press (OUP)","autores=Guillou, L. et al.; año=2013; título=The Protist Ribosomal Reference database (PR2): a catalog of unicellular eukaryote Small Sub-Unit rRNA sequences with curated taxonomy; publicación=Nucleic Acids Research 41:D597–D604","COINCIDE (similitud_título=1.000; primer_autor=coincide; año=discrepa)","registrado=base de datos taxonómica; metadato externo=journal-article","base de datos taxonómica","Crossref relation={}; update-to=[]; requiere Crossmark/editor para exhaustividad","METADATOS VERIFICADOS; TEXTO COMPLETO/PASAJE NO INSPECCIONADO EN ESTA PASADA","https://doi.org/10.1093/nar/gks1160","https://doi.org/10.1093/nar/gks1160","2 afirmaciones; 2 referencias con texto posterior a la clave (heurística; no valida el pasaje)","2 afirmaciones finales","SI: soporte único de 2 afirmaciones","SI: única S de 2 afirmaciones","Crossref relation={}; update-to=[]; requiere Crossmark/editor para exhaustividad","CORREGIR","CORREGIDA","P1","RECONCILIAR año de publicación online/impresa con Crossref/editor","METADATOS/NOTAS ACTUALIZADOS y uso final recalculado.","GET api.crossref.org/works/10.1093/nar/gks1160: HTTP 200; metadatos sí; pasaje citado no inspeccionado","2 C finales citan la fuente; 2 tienen esta S como única S. No se infiere inspección de texto completo desde este recuento.","CERRADO","2026-08-08","d68c12665ffa0908840531beadaa40d90213583c16efe73030254081ecc77669","bdae47a4f0881c9f5af9d87a114f3a6815c3c96d17f5e8f445e17d39d9a6cbcc","304744f4e253d090570941dbd99b4a4b52e8a4886d8ed02924d4332b4908fbac"
"S05","S05","CROSSREF VERIFICADA: título=<i>UniEuk</i>: Time to Speak a Common Language in Protistology!; autores=Cédric Berney; Andreea Ciuprina; Sara Bender; Juliet Brodie; Virginia Edgcomb; Eunsoo Kim; Jeena Rajan; Laura Wegener Parfrey; Sina Adl; Stéphane Audic; David Bass; David A. Caron; Guy Cochrane; Lucas Czech; Micah Dunthorn; Stefan Geisen; Frank Oliver Glöckner; Frédéric Mahé; Christian Quast; Jonathan Z. Kaye; Alastair G. B. Simpson; Alexandros Stamatakis; Javier del Campo; Pelin Yilmaz; Colomban de Vargas; año=2017; contenedor=Journal of Eukaryotic Microbiology; publisher=Wiley","autores=Berney, C. et al.; año=2017; título=UniEuk: Time to Speak a Common Language in Protistology!; publicación=Journal of Eukaryotic Microbiology 64:407–411","COINCIDE (similitud_título=1.000; primer_autor=coincide; año=coincide)","registrado=base de datos taxonómica; metadato externo=journal-article","base de datos taxonómica","Crossref relation={}; update-to=[]; requiere Crossmark/editor para exhaustividad","METADATOS VERIFICADOS; TEXTO COMPLETO/PASAJE NO INSPECCIONADO EN ESTA PASADA","https://doi.org/10.1111/jeu.12414","https://doi.org/10.1111/jeu.12414","5 afirmaciones; 5 referencias con texto posterior a la clave (heurística; no valida el pasaje)","5 afirmaciones finales","SI: soporte único de 2 afirmaciones","SI: única S de 2 afirmaciones","Crossref relation={}; update-to=[]; requiere Crossmark/editor para exhaustividad","CORREGIR","CORREGIDA","P2","ETIQUETAR en notas de calidad: soporte único de 2 afirmaciones, o añadir corroboración","METADATOS/NOTAS ACTUALIZADOS y uso final recalculado.","GET api.crossref.org/works/10.1111/jeu.12414: HTTP 200; metadatos sí; pasaje citado no inspeccionado","5 C finales citan la fuente; 2 tienen esta S como única S. No se infiere inspección de texto completo desde este recuento.","CERRADO","2026-08-08","ff328f102ed7618253aaa978370275980a87326363dc1e56640d01ada4d0f987","cb35baa07f1099d6632db27db53ad0a020e4f4686e61f5bed454ea9f38513cdc","52c02359a57db4f6b956d7abe6fb5e94627491db549fce43879f171e95076fca"
"S06","S06","CROSSREF VERIFICADA: título=Towards a natural system of organisms: proposal for the domains Archaea, Bacteria, and Eucarya.; autores=C R Woese; O Kandler; M L Wheelis; año=1990; contenedor=Proceedings of the National Academy of Sciences; publisher=National Academy of Sciences","autores=Woese, Kandler y Wheelis; año=1990; título=Towards a natural system of organisms: proposal for the domains Archaea, Bacteria, and Eucarya; publicación=Proceedings of the National Academy of Sciences USA","COINCIDE (similitud_título=1.000; primer_autor=coincide; año=coincide)","registrado=investigación primaria; metadato externo=journal-article","investigación primaria","Crossref relation={}; update-to=[]; requiere Crossmark/editor para exhaustividad","METADATOS VERIFICADOS; TEXTO COMPLETO/PASAJE NO INSPECCIONADO EN ESTA PASADA","https://doi.org/10.1073/pnas.87.12.4576","https://doi.org/10.1073/pnas.87.12.4576","5 afirmaciones; 4 referencias con texto posterior a la clave (heurística; no valida el pasaje)","5 afirmaciones finales","SI: soporte único de 2 afirmaciones","SI: única S de 2 afirmaciones","Crossref relation={}; update-to=[]; requiere Crossmark/editor para exhaustividad","CORREGIR","CORREGIDA","P2","ETIQUETAR en notas de calidad: soporte único de 2 afirmaciones, o añadir corroboración","METADATOS/NOTAS ACTUALIZADOS y uso final recalculado.","GET api.crossref.org/works/10.1073/pnas.87.12.4576: HTTP 200; metadatos sí; pasaje citado no inspeccionado","5 C finales citan la fuente; 2 tienen esta S como única S. No se infiere inspección de texto completo desde este recuento.","CERRADO","2026-08-08","08dffe001e6c45ba133ef907ca4205d762e40b80683f303d8a02d3b101b293e3","3dcfe8c90c29abc6908f41a14c3c5150c8b91c54b9bf8dbb8bd0fdf7bc1fd7d1","ee724771ff07173b7116b6c45cb6bbd0aa6c442767488960dce72c6aeaaf79d9"
"S07","S07","CROSSREF VERIFICADA: título=Eocytes: a new ribosome structure indicates a kingdom with a close relationship to eukaryotes.; autores=J A Lake; E Henderson; M Oakes; M W Clark; año=1984; contenedor=Proceedings of the National Academy of Sciences; publisher=National Academy of Sciences","autores=Lake et al.; año=1984; título=Eocytes: a new ribosome structure indicates a kingdom with a close relationship to eukaryotes; publicación=Proceedings of the National Academy of Sciences USA","COINCIDE (similitud_título=1.000; primer_autor=coincide; año=coincide)","registrado=investigación primaria; metadato externo=journal-article","investigación primaria","Crossref relation={}; update-to=[]; requiere Crossmark/editor para exhaustividad","METADATOS VERIFICADOS; TEXTO COMPLETO/PASAJE NO INSPECCIONADO EN ESTA PASADA","https://doi.org/10.1073/pnas.81.12.3786","https://doi.org/10.1073/pnas.81.12.3786","2 afirmaciones; 2 referencias con texto posterior a la clave (heurística; no valida el pasaje)","2 afirmaciones finales","SI: soporte único de 2 afirmaciones","SI: única S de 2 afirmaciones","Crossref relation={}; update-to=[]; requiere Crossmark/editor para exhaustividad","CORREGIR","CORREGIDA","P2","ETIQUETAR en notas de calidad: soporte único de 2 afirmaciones, o añadir corroboración","METADATOS/NOTAS ACTUALIZADOS y uso final recalculado.","GET api.crossref.org/works/10.1073/pnas.81.12.3786: HTTP 200; metadatos sí; pasaje citado no inspeccionado","2 C finales citan la fuente; 2 tienen esta S como única S. No se infiere inspección de texto completo desde este recuento.","CERRADO","2026-08-08","88b786aa67b421f3c47e296ced00994a9fcd37545f2d2b2d00752a9bc0778151","c9081be01b6bb3ef1853a03f3485a464a914fe82f145fd9523488e4213aea8ad","b271d606940f658ea2cbacf612eacca0a327641b288199b7481c9400714d1bfe"
"S08","S08","CROSSREF NO RESOLVIÓ: HTTP 404; DOI correcto localizado en editor/PMC=10.1073/pnas.0810647105","autores=Cox et al.; año=2008; título=The archaebacterial origin of eukaryotes; publicación=Proceedings of the National Academy of Sciences USA","NO VERIFICABLE","registrado=investigación primaria; metadato externo=no verificable","investigación primaria","SIN ALERTA AUTOMÁTICA LOCALIZADA; Crossref no sustituye Crossmark ni revisión editorial manual","DOI/REGISTRO NO RESUELTO EN ESTA PASADA; PASAJE NO INSPECCIONADO","https://doi.org/10.1073/pnas.0807880105","https://doi.org/10.1073/pnas.0810647105","8 afirmaciones; 8 referencias con texto posterior a la clave (heurística; no valida el pasaje)","8 afirmaciones finales","SI: soporte único de 6 afirmaciones","SI: única S de 6 afirmaciones","SIN ALERTA AUTOMÁTICA LOCALIZADA; Crossref no sustituye Crossmark ni revisión editorial manual","CORREGIR","CORREGIDA","P0","SUSTITUIR DOI local por https://doi.org/10.1073/pnas.0810647105; reauditar todas las C dependientes","METADATOS/NOTAS ACTUALIZADOS y uso final recalculado.","GET api.crossref.org/works/10.1073/pnas.0807880105: HTTP 404","8 C finales citan la fuente; 6 tienen esta S como única S. No se infiere inspección de texto completo desde este recuento.","CERRADO","2026-08-08","30bf2ab0efb0a47feaaf3231a8e20e6164d362684078a0dc6ae0c9aa06e2f38d","917f8ca876fbe4502d3c57252af929ba8e0735b11417cb1a80e63ce80cb0a5d1","75f57d6fdcf46c37d40c3bfae6c8f3d7d408efc283a6016f0171adccab9440b9"
"S09","S09","CROSSREF VERIFICADA: título=An archaeal origin of eukaryotes supports only two primary domains of life; autores=Tom A. Williams; Peter G. Foster; Cymon J. Cox; T. Martin Embley; año=2013; contenedor=Nature; publisher=Springer Science and Business Media LLC","autores=Williams et al.; año=2013; título=An archaeal origin of eukaryotes supports only two primary domains of life; publicación=Nature","COINCIDE (similitud_título=1.000; primer_autor=coincide; año=coincide)","registrado=investigación primaria; metadato externo=journal-article","investigación primaria","Crossref relation={""has-review"":[{""asserted-by"":""object"",""id"":""10.3410/f.718205977.793488602"",""id-type"":""doi""},{""asserted-by"":""object"",""id"":""10.3410/f.718205977.793489781"",""id-type"":""doi""}]}; update-to=[]; requiere Crossmark/editor para exhaustividad","METADATOS VERIFICADOS; TEXTO COMPLETO/PASAJE NO INSPECCIONADO EN ESTA PASADA","https://doi.org/10.1038/nature12779","https://doi.org/10.1038/nature12779","3 afirmaciones; 3 referencias con texto posterior a la clave (heurística; no valida el pasaje)","3 afirmaciones finales","NO: ninguna afirmación depende exclusivamente de esta fuente","NO","Crossref relation={""has-review"":[{""asserted-by"":""object"",""id"":""10.3410/f.718205977.793488602"",""id-type"":""doi""},{""asserted-by"":""object"",""id"":""10.3410/f.718205977.793489781"",""id-type"":""doi""}]}; update-to=[]; requiere Crossmark/editor para exhaustividad","CONFORME","CONFORME","NINGUNA","CONSERVAR; no se requiere corrección bibliográfica","CONSERVADA; uso final recalculado sin alterar su identidad.","GET api.crossref.org/works/10.1038/nature12779: HTTP 200; metadatos sí; pasaje citado no inspeccionado","3 C finales citan la fuente; 0 tienen esta S como única S. No se infiere inspección de texto completo desde este recuento.","CERRADO","2026-08-08","9a91ddc5cb83086c37a3ac82323fa8d8a00cb5e7f0bf93916c1afca4e1b4ea93","6ae0ccf2f0e80685ad5b0f8fa031040cca5406fdb41403e545393b33ad713dd0","6ae0ccf2f0e80685ad5b0f8fa031040cca5406fdb41403e545393b33ad713dd0"
"S10","S10","CROSSREF VERIFICADA: título=Phylogenomics provides robust support for a two-domains tree of life; autores=Tom A. Williams; Cymon J. Cox; Peter G. Foster; Gergely J. Szöllősi; T. Martin Embley; año=2019; contenedor=Nature Ecology &amp; Evolution; publisher=Springer Science and Business Media LLC","autores=Williams et al.; año=2020; título=Phylogenomics provides robust support for a two-domains tree of life; publicación=Nature Ecology & Evolution","COINCIDE (similitud_título=1.000; primer_autor=coincide; año=discrepa)","registrado=investigación primaria; metadato externo=journal-article","investigación primaria","Crossref relation={""correction"":[{""asserted-by"":""object"",""id"":""10.1038/s41559-020-01347-2"",""id-type"":""doi""}]}; update-to=[]; requiere Crossmark/editor para exhaustividad","METADATOS VERIFICADOS; TEXTO COMPLETO/PASAJE NO INSPECCIONADO EN ESTA PASADA","https://doi.org/10.1038/s41559-019-1040-x","https://doi.org/10.1038/s41559-019-1040-x","14 afirmaciones; 14 referencias con texto posterior a la clave (heurística; no valida el pasaje)","14 afirmaciones finales","SI: soporte único de 9 afirmaciones","SI: única S de 9 afirmaciones","Crossref relation={""correction"":[{""asserted-by"":""object"",""id"":""10.1038/s41559-020-01347-2"",""id-type"":""doi""}]}; update-to=[]; requiere Crossmark/editor para exhaustividad","CORREGIR","CORREGIDA","P1","RECONCILIAR año de publicación online/impresa con Crossref/editor","METADATOS/NOTAS ACTUALIZADOS y uso final recalculado.","GET api.crossref.org/works/10.1038/s41559-019-1040-x: HTTP 200; metadatos sí; pasaje citado no inspeccionado","14 C finales citan la fuente; 9 tienen esta S como única S. No se infiere inspección de texto completo desde este recuento.","CERRADO","2026-08-08","860ad3bcf784dbecae34c82cc99e46c522365a3d9f91b006f86b70f1116c4399","ec317160a21c4c14a3a939db8e3f9843001b689ad76877519cde3d81caabaf64","d584f0a7d920e1667e7bcc5c87ba8eee02b7e2087f6a3e2451f2b0c6f6d21b79"
