"término","estado","reemplazo o uso acotado","filas"
"protista / Protista","parafilético o informal","clados específicos; “protista” solo como rótulo histórico/ecológico no cladístico","C-1777–C-1782"
"protozoo","—","—","C-1783–C-1787"
"alga","Alga no designa un único clado.","—","C-1788–C-1793"
"invertebrado","categoría negativa parafilética","clados zoológicos específicos; uso práctico solo sin presentarlo como grupo monofilético","C-1794–C-1798"
"procariota","—","—","C-1799–C-1804"
"acritarco","taxón de forma artificial","afinidad biológica si se resuelve; si no, acritarch operacional","C-1805–C-1809"
"reino","—","—","C-1810–C-1815"
"Archezoa","hipótesis refutada","clados específicos y orgánulo relacionado con mitocondria","C-1816–C-1821"
"Excavata","Excavata se sustituye en afirmaciones filogenéticas por nombres de sus clados componentes y por la topología concreta.","clados componentes y topología","C-1822–C-1827"
"Chromalveolata","—","—","C-1828–C-1834"
"Unikonta / Bikonta","nombres históricos con diagnóstico ancestral discutido","Amorphea en la clasificación adoptada; Unikonta/Bikonta solo para hipótesis históricas circunscritas","C-1835–C-1839"
"hongo para oomicetos/mohos mucilaginosos","“Fungus-like” o “semejante a hongo” conserva uso ecológico si se acompaña del clado real.","Stramenopiles o Amoebozoa; “fungus-like” acotado","C-1840–C-1845"
"flagelo","ambigüedad entre sistemas no homólogos","flagelo bacteriano o cilio eucariota; “flagelo eucariota” solo al reproducir una fuente","C-1846–C-1850"
"simbiosis","Toda aparición de simbiosis en este corpus debe especificar efecto, localización, duración y transmisión cuando se conozcan.","tipo de interacción, efecto y transmisión","C-1851–C-1855"
"endosimbiosis seriada","Endosimbiosis seriada conserva uso legítimo si se enumeran los episodios concretos y su estado probatorio.","episodios e hipótesis componentes","C-1856–C-1861"
"eucariota primitivo","“Plesiomórfico para el carácter X respecto del nodo Y” sustituye a “primitivo” cuando la reconstrucción lo sostiene.","estado plesiomórfico X respecto del nodo Y","C-1862–C-1865"
"organismo simple","“Simple” conserva uso legítimo solo con una variable, método y comparación declarados.","variable de complejidad explícita","C-1866–C-1869"
"fósil viviente","criterios múltiples; la estasis de caracteres no implica ausencia total de evolución","estasis documentada del carácter X durante el intervalo Y; uso investigable solo con estándares explícitos","C-1870–C-1874"
"eslabón perdido","metáfora lineal","fósil transicional o miembro del grupo tronco, cuando la topología lo permite","C-1875–C-1879"
"basal aplicado a viviente","“Rama que diverge primero en el árbol enraizado bajo la hipótesis H” sustituye a “linaje basal”.","rama que diverge primero bajo árbol y raíz especificados","C-1880–C-1885"
