"id_revision","estrato","clave_matriz","tipo_revision","seleccion","resultado","revisor_independiente","declaracion_independencia","fecha","evidencia","accion","estado_cierre","huella_objeto_sha256"
"REV-00001","AFIRMACION","C-001","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","fc75fd2a9e64617d75bf887d3bfe0580cb77aec9aab9d1c7fa964dd5c910a21e"
"REV-00002","AFIRMACION","C-002","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","942dbf65f0e941f29246a59d2027c097764db3efd879f7b3707aed850002eeae"
"REV-00003","AFIRMACION","C-003","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","5f749b0ae501476dcd44fe7c0b46d6bc9a4bc8b9cef296e87d392640400cd51e"
"REV-00004","AFIRMACION","C-004","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","05a38032bc864fed17b4d2714e68d56d4a50464530af311da24e5e41d0c9eb1b"
"REV-00005","AFIRMACION","C-005","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","fdca106dd99dd0dacf7587e876a710e7fc2ad798ca82fe3961e7a08f69c36612"
"REV-00006","AFIRMACION","C-007","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","9d341a7062dfcf1f9c8479f9713d43a4163ed2760e3e165f16fda6c5f241c0c3"
"REV-00007","AFIRMACION","C-011","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","0899ab80a288ea185653b1ab712435df1a0c25d26596a0cf5ec7a7bcbbe82991"
"REV-00008","AFIRMACION","C-012","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","b28ab0c0a95eb93f493fea67f6020b1408318c085d90dd77e26794d674acbd3f"
"REV-00009","AFIRMACION","C-013","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","d39a23ae0c75c59a2a484690e19fe92e539cbda5e9b2717b361268a0c713775d"
"REV-00010","AFIRMACION","C-014","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","5da573cac665fbcf82ea75e6ef5dd299664e6fdd79bdf7c4970a2ca1d10c7b90"
"REV-00011","AFIRMACION","C-015","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","3846d81e8378ca075dc66e4eeb54161a49088b3508f7ceb27475c8cb9d089024"
