"clave","estado","hueco","términos exactos","resultado","filas o fuente"
"BN-010","NO LOCALIZADO EN ESTA SESIÓN","Prioridad histórica individual de LBCA, LACA y FECA","`""last bacterial common ancestor"" term coined`; `""last archaeal common ancestor"" term introduced`; `FECA term first introduced`; `first eukaryotic common ancestor terminology Makarova`","Se localizó el uso conjunto en S51, pero no una atribución inequívoca de prioridad para cada etiqueta.","C-155; C-401"
"BN-011","NO LOCALIZADO EN ESTA SESIÓN","Medición directa de la duración FECA–LECA independiente de reloj","`FECA LECA stem duration direct measurement`; `FECA to LECA duration without molecular clock`; `observed duration eukaryogenesis stem`","Los valores localizados son inferencias de reloj o comparaciones relativas.","C-402"
"BN-012","NO LOCALIZADO EN ESTA SESIÓN","Coste energético ancestral específico de la envoltura nuclear","`LECA nuclear envelope energetic cost`; `energetic cost nuclear membrane proto-eukaryote`; `FECA nucleus ATP cost measured`","No se localizó una cifra específica de FECA o LECA; la búsqueda cuantitativa completa corresponde a la sección 10.","C-403"
"BN-013","NO BUSCADO","Cronología fósil de cada innovación celular","n/a","Se evita duplicar las secciones 5 y 6 de la Parte 2.","C-404"
"BN-014","LA LITERATURA DECLARA QUE NO SE SABE","Orden interno completo de las innovaciones FECA–LECA","`order of events FECA LECA nucleus mitochondria phagocytosis`; `eukaryogenesis order unresolved`","Richards et al. declaran que el intervalo no resuelto impide inferir el orden y la naturaleza de los eventos.","C-390; S56 líneas 321–324"
"BN-015","LA LITERATURA DECLARA QUE NO SE SABE","Mecanismo completo de origen del núcleo","`mechanism origin eukaryotic nucleus unknown`; `viral origin nucleus controversial mechanism`","Takemura declara que el mecanismo permanece desconocido y la hipótesis viral es controvertida.","C-305; S95 Introduction; Conclusion"
"BN-016","LA LITERATURA DECLARA QUE NO SE SABE","Engullimiento y endogenización de E3 observados","`Prometheoarchaeum E3 engulfment observed`; `E3 endogenization direct observation`","Imachi et al. observan protrusiones y sintrofía, no las etapas de engullimiento y endogenización.","C-289; S34 Discussion"
"BN-017","LA LITERATURA DECLARA QUE NO SE SABE","Fagotrofia funcional de LECA","`LECA phagocytosis ancestral state`; `last eukaryotic common ancestor nonphagocytic phagosome`","Las reconstrucciones de S79 y S59 son incompatibles y ninguna observa la conducta ancestral.","C-228; C-391"
"BN-018","LA LITERATURA DECLARA QUE NO SE SABE","Identidad exacta del hospedador y del progenitor mitocondrial","`closest archaeal host eukaryogenesis exact lineage`; `closest alphaproteobacteria mitochondrial ancestor unresolved`","Las revisiones actuales mantienen sin resolver ambos linajes concretos.","C-382–C-383; S56, S57"
"BN-019","LA LITERATURA DECLARA QUE NO SE SABE","HGT transitorio frente a tercer endosimbionte para genes de afinidad adicional","`eukaryogenesis third partner transient HGT endosymbiosis distinguish`; `LECA gene ancestry extra partners`","Sin compartimento o genoma endosimbiótico no se distingue de forma general una asociación transitoria de integración prolongada.","C-385; S56 línea 333"
