"#","Afirmación","Sujeto","Predicado","Objeto","Atribución","Fuente","Aceptación","Fuerza","Motivo","Resolución","Vigencia"
"C-001","Adl et al. 2019 es la autoridad de clasificación eucariota adoptada en esta parte.","clasificación eucariota de esta parte","respaldado_por","Adl et al. 2019","glosa","n/a","no evaluado","alta","Es una convención documental explícita, no una inferencia sobre la topología.","resuelta","vigente"
"C-002","La versión de la Tabla Cronoestratigráfica Internacional localizada como vigente al 7 de agosto de 2026 es 2026/06.","Tabla Cronoestratigráfica Internacional","tiene_version*","2026/06","expresa","S02 descripción de metadatos; encabezado de versión","no evaluado","alta","La ICS identifica la versión publicada en su sitio oficial.","resuelta","vigente"
"C-003","La versión de EukProt descrita por Richter et al. contiene 993 especies eucariotas.","EukProt","tiene_valor_medido","993 especies","expresa","S03 resumen; Data set description","no evaluado","alta","Es un recuento del conjunto publicado, no una proposición de consenso; versiones posteriores pueden cambiarlo.","resuelta","vigente"
"C-004","PR2 es una base curada de secuencias SSU rRNA de eucariotas unicelulares con taxonomía asociada.","PR2","clasificado_como_por","base curada de SSU rRNA","expresa","S04 resumen","no evaluado","alta","La función del recurso está declarada por sus autores.","resuelta","vigente"
"C-005","UniEuk fue propuesto como marco comunitario para armonizar nombres, conceptos taxonómicos y datos de eucariotas.","UniEuk","propuesto_por","Berney et al. 2017","expresa","S05 tesis general (sin localizar con mayor precisión)","no evaluado","media","Es una infraestructura comunitaria y no un código nomenclatural vinculante.","parcialmente resuelta","vigente"
"C-006","En este documento, un MAG es un genoma ensamblado a partir de metagenomas y no una observación de una célula cultivada.","MAG","clasificado_como_por","evidencia genómica reconstruida de una comunidad","glosa","n/a","no evaluado","alta","Es una definición operativa que evita equiparar secuencia reconstruida con fisiología observada.","resuelta","vigente"
"C-007","En este documento, un cultivo axénico contiene un único organismo.","cultivo axénico","definido_como*","cultivo que contiene un único organismo","glosa","n/a","no evaluado","alta","Es una definición operativa usada para clasificar la evidencia experimental.","resuelta","vigente"
"C-008","En este documento, un cocultivo contiene dos o más organismos mantenidos conjuntamente.","cocultivo","definido_como*","cultivo con dos o más organismos mantenidos conjuntamente","glosa","n/a","no evaluado","alta","La definición operativa se mantiene separada de cultivo axénico para conservar una sola relación por fila.","resuelta","vigente"
"C-009","En este documento, un cultivo de enriquecimiento aumenta la proporción de un organismo sin garantizar que sea el único.","cultivo de enriquecimiento","definido_como*","cultivo que enriquece un organismo sin garantizar axenicidad","glosa","n/a","no evaluado","alta","La definición operativa distingue enriquecimiento de cultivo axénico y de cocultivo definido.","resuelta","vigente"
"C-010","En este documento, grupo corona es el clado formado por el último ancestro común de todos los representantes vivientes de un grupo y todos sus descendientes.","grupo corona","clasificado_como_por","definición operativa basada en representantes vivientes","glosa","n/a","no evaluado","alta","La definición se declara para aplicar de manera consistente corona, tallo y grupo total.","resuelta","vigente"
"C-011","En este documento, grupo tronco contiene linajes extinguidos más próximos al grupo corona de interés que a cualquier grupo corona viviente externo.","grupo tronco","clasificado_como_por","definición operativa relacional","glosa","n/a","no evaluado","alta","La definición depende de una topología y de un grupo corona externo especificado.","resuelta","vigente"
