"nodo","fósil más antiguo localizado","edad","método y clase de evidencia","filas","estado de asignación"
"Eukaryota","fósiles eucariotas más antiguos del conjunto de Lechte et al. 2026; *Bangiomorpha pubescens* como mínimo corona condicionado","aprox. 1,75–1,4 Ga; aprox. 1.047 Ga para *Bangiomorpha*","distribución fósil y paleoambiental para el conjunto más antiguo; geocronología de la sucesión y homología de rasgos preservados para *Bangiomorpha*","C-720–C-723; C-751–C-754","El conjunto más antiguo no demuestra pertenencia a Eukaryota corona; *Bangiomorpha* es un mínimo condicionado por su asignación a Rhodophyta corona."
"Amorphea","NO LOCALIZADO EN ESTA SESIÓN","n/a","Q-0171 no localizó un fósil con sinapomorfía diagnóstica directa de Amorphea","C-755","Los fósiles de subclados no se promovieron a diagnóstico de Amorphea; hueco acotado a la búsqueda."
"Amoebozoa","microfósiles con forma de vasija del Grupo Chuar comparados con amebas testadas","n/a","forma de la testa y abertura; carece de datos moleculares y partes blandas","C-713","Se interpretan dentro de Amoebozoa o su grupo total; la posición corona–tallo no está resuelta."
"Obazoa","NO LOCALIZADO EN ESTA SESIÓN","n/a","Q-0172 no localizó un fósil con sinapomorfía diagnóstica directa de Obazoa","C-756","Los fósiles de subclados no se promovieron a asignación fósil de Obazoa; hueco acotado a la búsqueda."
"Apusomonadida","SIN ASIGNACIÓN FÓSIL ESPECÍFICA EN EL CORPUS","n/a","censo documental de afirmaciones canónicas vivas al corte; no búsqueda bibliográfica específica","C-1947","Hueco documental del corpus; no demuestra inexistencia paleontológica."
"Breviatea","SIN ASIGNACIÓN FÓSIL ESPECÍFICA EN EL CORPUS","n/a","censo documental de afirmaciones canónicas vivas al corte; no búsqueda bibliográfica específica","C-1948","Hueco documental del corpus; no demuestra inexistencia paleontológica."
"Opisthokonta","*Ourasphaira giraldae* como candidato de afinidad fúngica","1010–890 Ma","morfología, ultraestructura y espectroscopía; límites publicados de la Formación Grassy Bay","C-724–C-726","La afinidad fúngica no permite asignar con seguridad *Ourasphaira* a Fungi corona ni fechar por sí sola Opisthokonta corona."
"Holomycota","*Ourasphaira giraldae* como candidato fúngico","1010–890 Ma","morfología, ultraestructura y espectroscopía","C-724–C-726","La afinidad fúngica no permite resolver su posición corona–tallo dentro de Holomycota."
"Holozoa","*Bicellum brasieri* como posible holozoo","aprox. 1.0 Ga","depósitos lacustres de Diabaig; arquitectura con dos morfotipos celulares y comparación de afinidad","C-727–C-730","*Bicellum* se considera posible Holozoa; su posición interna y, por tanto, corona–tallo, no está resuelta."
"Ichthyosporea","SIN ASIGNACIÓN FÓSIL ESPECÍFICA EN EL CORPUS","n/a","censo documental de afirmaciones canónicas vivas al corte; no búsqueda bibliográfica específica","C-1949","Hueco documental del corpus; no demuestra inexistencia paleontológica."
"Pluriformea *sensu* Hehenberger et al. 2017","SIN ASIGNACIÓN FÓSIL ESPECÍFICA EN EL CORPUS","n/a","censo documental de afirmaciones canónicas vivas al corte; no búsqueda bibliográfica específica","C-1950","Hueco documental del corpus; no demuestra inexistencia paleontológica."
"Corallochytrea","SIN ASIGNACIÓN FÓSIL ESPECÍFICA EN EL CORPUS","n/a","censo documental de afirmaciones canónicas vivas al corte; no búsqueda bibliográfica específica","C-1951","Hueco documental del corpus; no demuestra inexistencia paleontológica."
"Filasterea","SIN ASIGNACIÓN FÓSIL ESPECÍFICA EN EL CORPUS","n/a","censo documental de afirmaciones canónicas vivas al corte; no búsqueda bibliográfica específica","C-1952","Hueco documental del corpus; no demuestra inexistencia paleontológica."
"Filozoa","material putativo de coanoflagelado de la Formación Capas Blancas","Cenomaniano–Turoniano","afinidad putativa con limitaciones morfológicas","C-785","Si la afinidad propuesta se sostiene, el material queda anidado en Filozoa; no diagnostica ni calibra con seguridad su nodo corona."
"Choanozoa *sensu stricto* ≈ Apoikozoa","material putativo de coanoflagelado de la Formación Capas Blancas","Cenomaniano–Turoniano","afinidad putativa con limitaciones morfológicas","C-785","Si la afinidad propuesta se sostiene, el material queda anidado en Choanozoa; no diagnostica ni calibra con seguridad su nodo corona."
"Choanoflagellata","material putativo de coanoflagelado de la Formación Capas Blancas","Cenomaniano–Turoniano","afinidad putativa; el collar no está preservado","C-785","La afinidad propuesta no permite decidir con seguridad entre corona y tallo ni usar el material como calibración nodal."
"Metazoa","SIN ASIGNACIÓN RESUELTA; candidatos de Weng’an interpretados como animales, protistas holozoos o algas","anterior o próxima a 609 ± 5 Ma para Weng’an","posición estratigráfica; divisiones palintómicas, tomografía y series de desarrollo con interpretaciones rivales","C-732–C-739","Las interpretaciones compiten y la posición dentro o fuera de Metazoa no está resuelta; los candidatos no se promueven a Metazoa corona o tallo."
