"proceso","recuento o rango recuperado","criterio y autor","estado","límite principal","filas"
"endosimbiosis primaria con orgánulo y EGT funcional","3","mitocondria, plasto de Archaeplastida y cromatóforo de Paulinella; criterio estricto de este corpus","síntesis condicionada","nitroplasto y diazoplasto no satisfacen aquí EGT funcional demostrada","C-1649–C-1651"
"origen de mitocondrias","media 1; mediana 1 por árbol","árboles de copia única y múltiple; Bremer et al.","—","el resultado fue estable a la clase de árbol","C-1652"
"hidrogenosomas","al menos 3","recuento histórico de Lithgow y Schneider","mínimo histórico","mínimo de 2010 dependiente de la filogenia y de categorías organelares","C-1654"
"mitosomas","al menos 4","recuento histórico de Lithgow y Schneider","mínimo histórico","no se localizó un recuento global actualizado y metodológicamente uniforme","C-1654–C-1656"
"pérdida completa de orgánulo frente a pérdida de mtDNA","sin recuento global uniforme","*Monocercomonoides* y *Henneguya* ilustran pérdida de orgánulo frente a pérdida de mtDNA","no se localizó un recuento global actualizado y metodológicamente uniforme","la pérdida completa del orgánulo no debe confundirse con la pérdida exclusiva de mtDNA","C-1655–C-1656; BN-110"
"orígenes de fagocitosis","media/mediana 5.1/5 o 7.1/7","árboles de copia única o múltiple; Bremer et al.","no es consenso","otras reconstrucciones asignan repertorios endocíticos o fagosomales a LECA","C-1657–C-1658"
"transiciones hacia especialización osmotrófica / pérdidas de fagocitosis","4 transiciones en Fungi, Teretosporea, Pseudofungi y Labyrinthulea; total pan-eucariota no localizado","filogenómica y reloj molecular de Ocaña-Pallarès et al.","resultado restringido y hueco residual","cuatro grupos no constituyen inventario uniforme de todas las pérdidas","C-1659; C-1667; S509; BN-112"
"multicelularidad eucariota amplia","al menos 20 en síntesis previas; 45 linajes y 6 tipos en revisión crítica","criterios funcionales explícitos; depende de circunscripción y conocimiento filogenético","dependiente de circunscripción y de la tipología aplicada","no equivale a partición clonal/cenocítica/agregativa","C-1660–C-1662"
"multicelularidad agregativa","al menos 7","delimitación de Parfrey y Lahr","mínimo de revisión","depende de qué colectivos se incluyen","C-1663"
"parasitismo y simbiosis obligada","≥223 orígenes de parasitismo en 15 filos animales; ≥16 orígenes de simbiosis obligada en 89 familias de insectos","muestreos restringidos de parasitismo animal y simbiosis obligada en insectos","sin frecuencia pan-eucariota localizada","parasitismo animal no equivale a intracelular; ningún recuento tiene denominador pan-eucariota","C-1664–C-1665; S517; S513; BN-113"
