"clave","autores","año","título","publicación o repositorio","DOI en forma https://doi.org/10.xxxx/... o URL resoluble si no hay DOI","tipo","notas de calidad","fecha de consulta"
"S01","Adl, S. M. et al.","2019","Revisions to the Classification, Nomenclature, and Diversity of Eukaryotes","Journal of Eukaryotic Microbiology 66:4–119","https://doi.org/10.1111/jeu.12691","revisión","Autoridad de clasificación adoptada; síntesis secundaria sin datos filogenómicos nuevos. Autoridad de clasificación eucariota adoptada; síntesis secundaria y circunscripciones operativas. Revisión de consenso de la International Society of Protistologists; síntesis secundaria sin datos propios para la mayoría de los nodos. Autoridad de clasificación eucariota adoptada; síntesis secundaria y jerarquía predominantemente sin rangos. [PASAJE VERIFICADO 2026-08-08] Table 1 contiene AMORPHEA; la entrada Choanozoa define el clado y explica la preferencia frente a Apoikozoa. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 10 afirmaciones; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-08"
"S02","International Commission on Stratigraphy","2026","International Chronostratigraphic Chart, version 2026/06","International Commission on Stratigraphy","https://stratigraphy.org/chart/","otro","Fuente oficial para nombres y límites cronoestratigráficos; versión vigente localizada. Fuente oficial para nombres y límites cronoestratigráficos. Fuente oficial para nombres y límites cronoestratigráficos. Fuente oficial de nomenclatura y límites cronoestratigráficos; no es investigación primaria. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 3 afirmaciones; la condición se calcula por afirmación y no significa que la fuente se use una sola vez. [USO EN UNA SOLA C] C-002.","2026-08-07"
"S03","Richter, D. J. et al.","2022","EukProt: a database of genome-scale predicted proteins across the diversity of eukaryotes","Peer Community Journal 2:e56","https://doi.org/10.24072/pcjournal.173","base de datos taxonómica","Recurso de secuencias y muestreo; la versión descrita contiene 993 especies. Recurso de secuencias y muestreo eucariota; versiones posteriores pueden modificar contenido y taxonomía. Base de datos de proteomas y clasificación; cobertura condicionada por disponibilidad de secuencias. Metadatos corregidos durante la integración: el DOI 10.7717/peerj.14452 corresponde a un artículo vegetal no relacionado. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 2 afirmaciones; la condición se calcula por afirmación y no significa que la fuente se use una sola vez. [USO EN UNA SOLA C] C-003.","2026-08-07"
"S04","Guillou, L. et al.","2013","The Protist Ribosomal Reference database (PR2): a catalog of unicellular eukaryote Small Sub-Unit rRNA sequences with curated taxonomy","Nucleic Acids Research 41:D597–D604","https://doi.org/10.1093/nar/gks1160","base de datos taxonómica","Recurso curado de secuencias SSU rRNA; la taxonomía cambia entre versiones. Recurso curado de SSU rRNA; la clasificación asociada cambia entre versiones. Base curada de secuencias SSU rRNA; sesgos de muestreo ambiental y de marcadores. Publicado en línea en 2012 y asignado al volumen 41/D1 de 2013; el campo de año conserva el año del volumen. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 2 afirmaciones; la condición se calcula por afirmación y no significa que la fuente se use una sola vez. [USO EN UNA SOLA C] C-004.","2026-08-08"
"S05","Berney, C. et al.","2017","UniEuk: Time to Speak a Common Language in Protistology!","Journal of Eukaryotic Microbiology 64:407–411","https://doi.org/10.1111/jeu.12414","base de datos taxonómica","Propuesta de marco comunitario para taxonomía y datos eucariotas; no es un código nomenclatural. Marco comunitario para armonizar nombres, conceptos taxonómicos y datos; no es un código nomenclatural. Los registros locales discreparon sobre el tipo documental (otro / base de datos taxonómica). Iniciativa de taxonomía y nomenclatura comunitaria; fuente institucional. Los registros locales discreparon sobre el tipo documental (base de datos taxonómica / otro). Marco comunitario de nombres y conceptos; no constituye código nomenclatural. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 2 afirmaciones; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
"S06","Woese, Kandler y Wheelis","1990","Towards a natural system of organisms: proposal for the domains Archaea, Bacteria, and Eucarya","Proceedings of the National Academy of Sciences USA","https://doi.org/10.1073/pnas.87.12.4576","investigación primaria","Trabajo histórico que formalizó el esquema de tres dominios a partir de caracteres moleculares. Propone los tres dominios y usa Eucarya; la topología profunda fue revisada después. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 2 afirmaciones; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
"S07","Lake et al.","1984","Eocytes: a new ribosome structure indicates a kingdom with a close relationship to eukaryotes","Proceedings of the National Academy of Sciences USA","https://doi.org/10.1073/pnas.81.12.3786","investigación primaria","Trabajo histórico basado en ultraestructura ribosómica; antecedente de la hipótesis del eocito. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 2 afirmaciones; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
"S08","Cox et al.","2008","The archaebacterial origin of eukaryotes","Proceedings of the National Academy of Sciences USA","https://doi.org/10.1073/pnas.0810647105","investigación primaria","Filogenómica con modelos de heterogeneidad composicional; DOI corregido contra el registro editorial durante la auditoría integral. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 6 afirmaciones; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-08"
"S09","Williams et al.","2013","An archaeal origin of eukaryotes supports only two primary domains of life","Nature","https://doi.org/10.1038/nature12779","investigación primaria","Filogenómica que recupera Eukaryota dentro de Archaea; una de las fuentes centrales del árbol de dos dominios.","2026-08-07"
"S10","Williams et al.","2020","Phylogenomics provides robust support for a two-domains tree of life","Nature Ecology & Evolution","https://doi.org/10.1038/s41559-019-1040-x","investigación primaria","Comparación cuantitativa de topologías y modelos; incluye pruebas AU, CAT-GTR y recodificación SR4. Publicado en línea en 2019 y asignado al volumen 4 de 2020; el campo de año conserva el año del volumen. [CORRECCIÓN VERIFICADA 2026-08-08] La Author Correction https://doi.org/10.1038/s41559-020-01347-2 corrige en la tabla 1 la summed quartet distance de MSC (ASTRAL), de 17213379 a 17145892, y atribuye a ASTRAL, no a SPA, la mejor distancia; declara que los árboles y las conclusiones no cambian. Ninguna C vigente transcribe esa distancia, por lo que C-028–C-036 no requieren cambio por esta corrección. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 9 afirmaciones; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-08"
"S11","Da Cunha et al.","2017","Lokiarchaea are close relatives of Euryarchaeota, not bridging the gap between prokaryotes and eukaryotes","PLOS Genetics","https://doi.org/10.1371/journal.pgen.1006810","investigación primaria","Posición discrepante; resultados sensibles a selección de proteínas y sitios rápidos. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 5 afirmaciones; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
"S12","Spang et al.","2018","Asgard archaea are the closest prokaryotic relatives of eukaryotes","PLOS Genetics","https://doi.org/10.1371/journal.pgen.1007080","investigación primaria","Respuesta metodológica y reanálisis frente a Da Cunha et al.; documenta controversia explícita. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 1 afirmación; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
"S13","Cavalier-Smith y Chao","2020","Multidomain ribosomal protein trees and the planctobacterial origin of neomura (eukaryotes, archaebacteria)","Protoplasma","https://doi.org/10.1007/s00709-019-01442-7","investigación primaria","Única defensa reciente localizada de una variante neomurana; posición minoritaria.","2026-08-07"
"S14","Fournier y Poole","2018","A Briefly Argued Case That Asgard Archaea Are Part of the Eukaryote Tree","Frontiers in Microbiology","https://doi.org/10.3389/fmicb.2018.01896","otro","Ensayo sistemático sobre consecuencias cladísticas y terminológicas; sin matriz nueva. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 2 afirmaciones; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
"S15","Villanueva et al.","2021","Bridging the membrane lipid divide: bacteria of the FCB group superphylum have the potential to synthesise archaeal ether lipids","The ISME Journal","https://doi.org/10.1038/s41396-020-00772-2","investigación primaria","Genómica y lipidómica comparada; muestra que la divisoria lipídica no coincide de manera absoluta con dominios. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 8 afirmaciones; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
"S16","Caforio et al.","2018","Converting Escherichia coli into an archaebacterium with a hybrid heterochiral membrane","Proceedings of the National Academy of Sciences USA","https://doi.org/10.1073/pnas.1721604115","investigación primaria","Experimento de ingeniería de membranas; no reconstruye el evento histórico de eucariogénesis. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 3 afirmaciones; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
"S17","Justice et al.","2024","A tuneable minimal cell membrane reveals that two lipid species suffice for life","Nature Communications","https://doi.org/10.1038/s41467-024-53975-y","investigación primaria","Sistema celular mínimo; cuantifica costes de heteroquiralidad en ese modelo experimental. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 2 afirmaciones; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
"S18","Rivera et al.","1998","Genomic evidence for two functionally distinct gene classes","Proceedings of the National Academy of Sciences USA","https://doi.org/10.1073/pnas.95.11.6239","investigación primaria","Trabajo histórico sobre afinidades arqueanas y bacterianas de clases funcionales de genes eucariotas. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 1 afirmación; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
"S19","Cotton y McInerney","2010","Eukaryotic genes of archaebacterial origin are more important than the more numerous eubacterial genes, irrespective of function","Proceedings of the National Academy of Sciences USA","https://doi.org/10.1073/pnas.1000265107","investigación primaria","Compara esencialidad, expresión e interacciones; depende del modelo y del organismo analizado. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 1 afirmación; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
"S20","Brueckner y Martin","2020","Bacterial Genes Outnumber Archaeal Genes in Eukaryotic Genomes","Genome Biology and Evolution","https://doi.org/10.1093/gbe/evaa047","investigación primaria","Análisis de 150 genomas eucariotas; los porcentajes dependen del conjunto identificable y del muestreo. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 3 afirmaciones; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
"S21","Tobiasson et al.","2026","Dominant contribution of Asgard archaea to eukaryogenesis","Nature","https://doi.org/10.1038/s41586-025-09960-6","investigación primaria","Resultado reciente basado en pruebas filogenéticas restringidas; no debe presentarse aún como consenso consolidado. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 3 afirmaciones; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
"S22","Spang et al.","2015","Complex archaea that bridge the gap between prokaryotes and eukaryotes","Nature","https://doi.org/10.1038/nature14447","investigación primaria","Descripción metagenómica de Lokiarchaeota; no procedía de cultivo ni de observación celular directa. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 2 afirmaciones; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
"S23","Zaremba-Niedzwiedzka et al.","2017","Asgard archaea illuminate the origin of eukaryotic cellular complexity","Nature","https://doi.org/10.1038/nature21031","investigación primaria","Introdujo Asgard como agrupación de Loki-, Thor-, Odin- y Heimdallarchaeota; evidencia metagenómica. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 1 afirmación; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
"S24","Liu et al.","2021","Expanded diversity of Asgard archaea and their relationships with eukaryotes","Nature","https://doi.org/10.1038/s41586-021-03494-3","investigación primaria","Amplía muestreo de MAG y topologías; varias clases propuestas dependen de circunscripción genómica.","2026-08-07"
"S25","Eme et al.","2023","Inference and reconstruction of the heimdallarchaeial ancestry of eukaryotes","Nature","https://doi.org/10.1038/s41586-023-06186-2","investigación primaria","Recupera Hodarchaeales como grupo hermano de Eukaryota bajo análisis principales; sensible a sitios rápidos. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 6 afirmaciones; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
"S26","Zhang et al.","2025","Deep origin of eukaryotes outside Heimdallarchaeia within Asgardarchaeota","Nature","https://doi.org/10.1038/s41586-025-08955-7","investigación primaria","223 MAG nuevos y matrices amplias; contradice la ubicación de Hodarchaeales en el punto exacto. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 10 afirmaciones; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
"S27","Appler et al.","2026","Oxygen metabolism in descendants of the archaeal-eukaryotic ancestor","Nature","https://doi.org/10.1038/s41586-026-10128-z","investigación primaria","Genómica comparada de 404 MAG; reconstrucciones metabólicas inferidas, no mediciones en cultivo. [PASAJES VERIFICADOS 2026-08-08] Supplementary Discussion §Oxygen metabolism and ROS tolerance, pp. 24–25: SOD protege frente a subproductos oxidativos de la respiración y convierte superóxido en H₂O₂ y O₂; se identificó en 58 MAG asgard de 8 grupos taxonómicos y 3 familias enzimáticas. La página 25 describe catalasas que degradan H₂O₂ a agua y O₂ e informa genes de catalasa en 116 MAG asgard. Figs. S62–S63 y tabla S8 localizan el inventario. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 3 afirmaciones; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-08"
"S28","Seitz et al.","2016","Genomic reconstruction of a novel, deeply branched sediment archaeal phylum with pathways for acetogenesis and sulfur reduction","The ISME Journal","https://doi.org/10.1038/ismej.2015.233","investigación primaria","Reconstrucción metabólica de Thorarchaeota a partir de MAG sedimentarios. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 1 afirmación; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
"S29","Seitz et al.","2019","Asgard archaea capable of anaerobic hydrocarbon cycling","Nature Communications","https://doi.org/10.1038/s41467-019-09364-x","investigación primaria","Helarchaeota inferidos por MAG; actividad no demostrada mediante cultivo aislado. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 1 afirmación; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
