"intervalo u organismo","valor","proxy o método","observado/inferido","fuente","fila"
"Mesoproterozoico, partes del intervalo","<0.1% PAL O₂","isótopos de Cr","inferido","S182 resumen; fig. 3","C-798"
"aprox. 1.4 Ga, Formación Xiamaling","4–8% PAL O₂","modelo biogeoquímico sedimentario","inferido","S183 resumen; resultados","C-799"
"edad media de la Tierra","aprox. 1–2% PAL O₂","termodinámica de anomalías de Ce","inferido","S184 resumen; fig. 4","C-800"
"parte del Mesoproterozoico",">4% PAL O₂","fraccionamiento de isótopos de Cr","inferido","S185 resumen y discusión","C-801"
"cultivo de *Saccharomyces cerevisiae*","7 nM O₂","biosíntesis experimental de esteroles","observado","S176 resultados","C-804"
"cultivo de *Escherichia coli* K-12","≤3 nM O₂","crecimiento aerobio con entrada controlada y microsensores","observado","S461 resumen; resultados","C-838"
"cultivo de *Halichondria panicea*","0,5–4% PAL O₂","supervivencia, alimentación y crecimiento de esponja","observado","S199 resultados; conclusión","C-839"
"mayor parte del registro de paleosuelos estudiado","<1% PAL pO₂","isótopos de Cr en paleosuelos","inferido","S462 resumen; resultados","C-841"
"Paleoproterozoico, Grupo Pethei","cerca de 0,1% PAL pO₂","anomalías de Ce en carbonatos, circulación oceánica y oxidación de Ce","inferido; específico del modelo","S554 resumen; modelo","C-1939"
"Neoproterozoico","aprox. 1–50% PAL pO₂","balance isotópico y tasas de reciclaje tectónico","inferido; intervalo oscilante, no subida monótona","S555 resumen; modelo","C-1941"
