"clave","qué sostiene en una frase","supuestos que da por buenos","# de las filas que la componen","fuentes a favor","fuentes en contra","con qué otras hipótesis es incompatible y en qué punto exacto","qué observación la falsaría"
"H01","Eukaryota, Archaea y Bacteria son tres dominios primarios y Archaea excluyendo Eukaryota es monofilético.","Los marcadores universales retienen una señal vertical suficiente; la heterogeneidad no altera la monofilia arqueana.","C-011–C-012; C-018; C-033","S06; S08 bajo GTR homogéneo; S11","S08 bajo NDCH/CAT; S09, S10; S12; S25, S26","H02 en la monofilia de Archaea excluyendo Eukaryota.","Una filogenómica amplia, robusta a modelos sitio- y rama-heterogéneos, que recuperara de forma estable Eukaryota dentro de Archaea falsaría la versión estricta; ese patrón es precisamente la contraevidencia actual."
"H02","Eukaryota se ramifica dentro de Archaea y dentro de Asgardarchaeota, por lo que existen dos dominios celulares primarios.","Los modelos y marcadores usados corrigen suficientemente ramas largas, composición y transferencias; Asgard no es un artefacto de MAG quiméricos.","C-013–C-015; C-019–C-030; C-036–C-041","S07, S08, S09, S10; S12; S25, S26","S11; S13","H01 en la posición de Eukaryota; H03 en el origen bacteriano de Neomura.","Un conjunto amplio de caracteres verticales, con muestreo arqueano denso y modelos adecuados, que recuperara de forma estable monofilia arqueana excluyente falsaría su formulación actual."
"H03","Neomura deriva de bacterias planctobacterianas y reúne arqueas y eucariotas como descendientes de ese origen.","La polaridad de caracteres celulares y árboles de proteínas ribosómicas reconstruyen un origen bacteriano común posterior.","C-042–C-043","S13","S08, S09, S10, S11, S12; S22, S23, S24, S25, S26","H01 y H02 en la raíz y el origen de Archaea/Eukaryota.","Filogenias independientes robustas que excluyan de forma estable una ascendencia planctobacteriana y sinapomorfías incompatibles con esa polaridad la falsarían; la mayor parte de la evidencia localizada ya la contradice."
"H04","La membrana eucariota adquirió rutas bacterianas que reemplazaron una ruta lipídica arqueana ancestral.","El linaje hospedador arqueano no identificado poseía inicialmente una membrana arqueana típica; la transferencia y selección pudieron sustituir la biosíntesis.","C-044–C-049; C-056; C-059","S15 Discussion; S18, S19, S20, S21 como contexto genómico","S15 por excepciones de distribución; ausencia de orden histórico directo","H06 solo si el hospedador ya poseía predominantemente la ruta moderna; parcialmente compatible con H05 como etapa intermedia.","Una reconstrucción ancestral robusta que mostrara que el hospedador ya poseía la ruta bacteriana completa antes de la asociación eliminaría la necesidad del reemplazo."
"H05","La transición lipídica pasó por una membrana heteroquiral estable durante algún intervalo.","Las dos rutas pudieron coexistir y la célula toleró la mezcla durante sustitución o segregación.","C-050–C-057; C-059","S16; S17","No hay observación ancestral; S17 muestra costes en un sistema mínimo","Compatible con H04; parcialmente incompatible con una transición instantánea sin coexistencia.","Evidencia de incompatibilidad bioquímica absoluta en composiciones ancestrales relevantes o una ruta demostrada sin coexistencia la falsaría; los experimentos actuales no la falsan."
"H06","El linaje hospedador arqueano no identificado ya poseía una membrana mixta o distinta del patrón arqueano típico.","La diversidad lipídica ancestral fue mayor que la representada por los linajes actuales y pudo perderse diferencialmente.","C-048–C-049; C-058–C-059","S15 Discussion","Ausencia de muestra del hospedador; S16, S17 solo prueban posibilidad","Parcialmente incompatible con H04 si esta exige una membrana arqueana típica pura; compatible con H05.","Una reconstrucción ancestral con alta confianza que fijara exclusivamente la ruta arqueana en el hospedador inmediato la falsaría."
"H07","Hodarchaeales es el grupo asgard hermano de Eukaryota.","La depuración de sitios rápidos y las matrices no ribosómicas recuperan la señal vertical correcta; los MAG usados no son quiméricos de forma decisiva.","C-111–C-116","S25","S26","H08 en el nodo interno exacto; ambas son compatibles con H02.","Muestreo más denso y modelos mejores que recuperen de manera estable Eukaryota fuera de Heimdallarchaeia la falsarían; S26 constituye esa contraevidencia publicada."
"H08","Eukaryota se origina dentro de Asgardarchaeota pero fuera de Heimdallarchaeia, como su grupo hermano desde una posición más profunda.","Las matrices de 97 y 150 proteínas y NM57 y la depuración de MAG reducen artefactos de muestreo y quimerismo.","C-117–C-122","S26","S25","H07 en el nodo interno exacto; compatible con H02.","Genomas nuevos no quiméricos y análisis heterogéneos que recuperen consistentemente Eukaryota dentro de Heimdallarchaeia la falsarían."
"H09","La mitocondria se ramifica como hermana de las alfa-proteobacterias vivientes conocidas o muestreadas.","Modelos sitio- y rama-heterogéneos y muestreo divergente corrigen atracción de ramas y composición.","C-136–C-137; C-140–C-142; C-145–C-146","S46; S48","S47","H10 en la inserción dentro de Alpha IIb; compatible con H11 como semejanza funcional no topológica.","Una filogenia estable dentro de un clado alfa viviente bajo modelos que ajusten mejor y muestreo exhaustivo la falsaría."
"H10","La mitocondria se ramifica dentro de Alphaproteobacteria, en Alpha IIb.","El muestreo sistemático y la retirada de sitios retienen una señal interna auténtica.","C-138–C-139; C-145","S47","S46; S48","H09 en la posición interna o externa respecto de los grupos alfa vivientes muestreados.","La recuperación estable como hermana de todas las alfa conocidas bajo muestreo equivalente y modelos de mejor ajuste la falsaría."
"H11","Iodidimonadales es el mejor análogo o candidato funcional viviente para el ancestro mitocondrial por su combinación metabólica.","Los rasgos metabólicos relevantes conservan información histórica suficiente y su combinación no es principalmente convergente.","C-143–C-144","S49","S46, S47, S48 no lo recuperan necesariamente como hermano filogenético","No es incompatible por sí misma con H09 o H10 porque responde a semejanza funcional, no al mismo criterio topológico.","Un muestreo metabólico más amplio que encuentre una combinación más próxima o demuestre convergencia de los rasgos debilitaría o falsaría la prioridad funcional."
"H12","Una arquea metanógena dependiente de H₂ integra una alfa-proteobacteria que produce H₂ y CO₂.","Hospedador arqueano anaerobio metanógeno; simbionte facultativamente anaerobio; flujo H₂/CO₂ desde simbionte a hospedador.","C-250–C-257","S85; S84","S90; S58; S59","H15: H12 requiere mitocondria antes de fagocitosis compleja; H15 requiere fagocitosis y núcleo antes de mitocondria. [C-333]","Una reconstrucción robusta que mostrara que el hospedador ancestral no podía consumir H₂/CO₂ y que el simbionte no los producía bajo anoxia falsaría el montaje metabólico estricto."
"H13","Una asociación tripartita con Asgard, bacteria sulfatorreductora y alfa-proteobacteria se integra en gradientes de tapetes microbianos.","Hospedador bacteriano sulfatorreductor; asgard productor de H₂; socio alfa oxidante de sulfuro; ambiente estratificado.","C-261–C-266","S87","S88; S56 líneas 316–317","H15: H13 inicia con un consorcio procariótico y no con un protoeucariota fagocítico; H15 requiere fagocitosis premitocondrial. [C-342]; H21: H13 revisada coloca al asgard dentro de un hospedador bacteriano; H21 requiere que el cuerpo asgard ancestral sea el núcleo y origen topológico central. [C-348]","Una asignación inequívoca de las membranas nucleares y citoplasmáticas al hospedador arqueano, junto con ausencia de un hospedador bacteriano sulfatorreductor, falsaría la versión revisada estricta."
"H14","Protrusiones de una arquea rodean ectosimbiontes y originan citoplasma, retículo y membrana plasmática.","Hospedador arqueano; ectosimbiosis inicial; crecimiento y fusión de protrusiones; cuerpo arqueano homólogo al núcleo.","C-267–C-274","S88","S96; la transición completa no está observada en S34","H20: H14 deriva núcleo y retículo por exteriorización; H20 por invaginación interior de la membrana ancestral. [C-355]","Una topología ancestral demostrada de invaginación interna incompatible con exteriorización y con el cuerpo arqueano como núcleo falsaría inside-out."
"H15","Un protoeucariota con citosqueleto, endomembranas, núcleo y fagocitosis incorpora tardíamente al progenitor mitocondrial.","Complejidad y fagocitosis premitocondriales; internalización por fagocitosis; sintrofía no obligatoria.","C-275–C-280","S89; S84","S79; S81; S85","H12: H12 requiere mitocondria antes de fagocitosis compleja; H15 requiere fagocitosis y núcleo antes de mitocondria. [C-333]; H13: H13 inicia con un consorcio procariótico y no con un protoeucariota fagocítico; H15 requiere fagocitosis premitocondrial. [C-342]; H16: H15 requiere protoeucariota fagocítico y mitocondria tardía; H16 inicia con sintrofía procariótica antes de fagocitosis. [C-358]; H17: H15 internaliza por fagocitosis preexistente; E3 propone engullimiento por protrusiones sin maquinaria fagocítica moderna. [C-359]; H21: H15 suele asumir invaginación y fagocitosis de una célula ya interiorizada; H21 requiere topología inside-out y no necesita fagocitosis para la asociación inicial. [C-363]","Una cronología robusta que situara la maquinaria fagocítica funcional después de la endosimbiosis mitocondrial falsaría la versión estricta fagocitosis-primero."
"H16","Un hospedador asgard organoheterótrofo transfiere equivalentes reductores a un socio bacteriano antes de la integración.","Hospedador arqueano organoheterótrofo; flujo reductor arquea→bacteria; asociación anaerobia próxima.","C-281–C-286","S90","S85; identidad del socio no resuelta en S90","H15: H15 requiere protoeucariota fagocítico y mitocondria tardía; H16 inicia con sintrofía procariótica antes de fagocitosis. [C-358]","Una reconstrucción metabólica segura que mostrara flujo obligatorio de H₂ desde el simbionte bacteriano hacia el hospedador arqueano, y no a la inversa, falsaría flujo inverso."
"H17","Protrusiones asgard entrelazan, engullen y endogenizan un socio bacteriano sin fagocitosis moderna previa.","Hospedador asgard sintrófico; protrusiones; engullimiento por fusión; endogenización posterior.","C-287–C-294","S34","S34 declara no observadas las etapas de engullimiento y endogenización","H15: H15 internaliza por fagocitosis preexistente; E3 propone engullimiento por protrusiones sin maquinaria fagocítica moderna. [C-359]","Demostrar que las protrusiones asgard no pueden fusionarse ni producir internalización heredable bajo ninguna condición relevante falsaría el mecanismo E3 estricto."
"H18","Intrones de grupo II del endosimbionte generan presión para separar empalme nuclear y traducción citosólica.","Donación mitocondrial de intrones; empalme lento; envoltura ventajosa tras la invasión.","C-296–C-302","S91; S68","No se localizó una refutación directa; S91 depende de causalidad y orden mitocondrial","Ninguna incompatibilidad total localizada; véase la matriz para compatibilidades parciales.","Demostrar que la envoltura nuclear y el espliceosoma funcional precedieron a la llegada de intrones de grupo II del endosimbionte falsaría su versión causal estricta."
"H19","Un virus complejo de ADN contribuye decisivamente al compartimento o a la maquinaria nuclear.","Infección persistente; homologías virus–eucariota; integración heredable; dirección viral→hospedador.","C-303–C-311","S92, S93, S94, S95","S95 declara controversia y dirección de HGT ambigua; S56 líneas 314–315","Ninguna incompatibilidad total localizada; véase la matriz para compatibilidades parciales.","Filogenias y estructuras que polarizaran sistemáticamente todas las homologías relevantes de eucariotas hacia virus, junto con un origen celular anterior de la compartimentación, falsarían la versión virus→núcleo."
"H20","Invaginaciones internas de la membrana ancestral rodean el ADN y originan núcleo y retículo.","Remodelado interno de membrana; continuidad núcleo–retículo; origen celular autógeno.","C-312–C-316","S96; S99","S88 propone orientación opuesta","H14: H14 deriva núcleo y retículo por exteriorización; H20 por invaginación interior de la membrana ancestral. [C-355]; H21: H20 invagina hacia dentro; H21 exterioriza protrusiones y conserva el cuerpo arqueano como núcleo. [C-383]","Una orientación ancestral de membranas demostrada como exteriorización inside-out, sin etapa de invaginación interna, falsaría la invaginación autógena estricta."
